Ticker,ROE %,RSI,Debt/Eq,ATR/Price %,Price,Change %,Rel Volume,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
AVTR,12.52,30.61,0.67,7.037896365042537,12.93,-16.58,5.17,8.44,-3.04635249455199,-8.760241705383939,10.883179090811725,1.9199016575992203,6.116953622379998,0.1,0.06512858674180519,0.29809658229023706
CNC,12.59,40.89,0.66,4.385508753683481,57.69,-6.32,1.81,4.72,-1.5191283028967522,-3.3438008469814218,2.5576856546268547,0.018990830517184903,2.2116632503310134,0.1,0.1045188300001716,0.10778065305063966
SKX,14.67,40.34,0.48,6.465787821720024,47.79,-5.35,1.97,3.24,-1.6008377684035981,-2.831720181031086,2.9541377230166104,1.5098834085279025,1.991234486052671,0.1,0.0708913216036485,0.0970385311830771
UNH,15.88,27.72,0.88,5.486814446780049,418.64,-1.32,1.58,5.86,-3.4756985951243284,-0.704209785381754,1.9877858063165808,0.8082736287661456,1.7796977315638305,0.1,0.08353995717123307,0.0867297422932641
FI,11.88,30.69,1.1,5.537092322424379,177.53,0.36,2.23,3.55,-3.034467481387358,0.1826928113157345,3.5983723341499636,0.8443067325876568,1.6333649280962954,0.1,0.08278139810567846,0.0795985277568281
FUTU,20.67,46.54,0.31,7.8429140580535,87.85,-6.43,1.5,3.2,-0.6797492481446031,-3.4018718503366143,1.7895597721217027,2.4968410318006593,1.5367952357127006,0.1,0.058443614260930546,0.07489241143986826
GILD,32.58,41.05,1.43,3.9740234564311328,103.17,-2.81,1.51,9.43,-1.4953582765674882,-1.4908079217384549,1.8143380263960625,-0.27591209143217094,1.4356169838295099,0.1,0.11534110176142373,0.0699617068848867
TAP,8.54,37.72,0.49,3.1514084507042255,56.8,-2.66,0.95,2.4,-1.9900719495453034,-1.411620189890465,0.4267557870319171,-0.8654630922774794,1.3624897154366502,0.1,0.14544869415073108,0.06639800669589448
SNY,7.34,47.02,0.23,2.771406727828746,52.32,-2.28,1.88,2.92,-0.6084391691568094,-1.21101126920889,2.7311334345473726,-1.1378023937544992,1.2968145797129191,0.1,0.16539190703690615,0.06319747016917246
TMO,13.75,35.18,0.69,4.224024137280784,424.24,-0.57,1.2,2.24,-2.3674211175223756,-0.3082711261418037,1.0462121438909104,-0.09674182273924775,1.1554088963345697,0.1,0.10851458916747166,0.056306368236132054
