Ticker,Change %,ROE %,Debt/Eq,Rel Volume,"Avg Volume, M",ATR/Price %,Price,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
AVTR,-3.4,12.52,0.67,2.9,8.99,7.365892714171338,12.49,28.75,-3.375598293919479,-2.89879725106737,6.343083352673488,2.2806271629766233,3.2365923949824325,0.1,0.06152218085816495,0.20037677051178787
CART,-4.75,12.68,0.01,1.18,4.17,4.609218436873747,39.92,45.11,-0.9745777521443243,-3.9292181608942887,1.2041964089109136,0.2664648585083808,1.930521365494859,0.1,0.09831727221208748,0.11951818128892512
KHC,-2.31,5.56,0.42,1.73,11.14,2.7073932662270046,28.81,43.17,-1.2592953469514023,-2.066827775725636,2.847445140928016,-1.1231024907980203,1.8459423702023687,0.1,0.16738084909792797,0.11428191305937782
TMO,-0.68,13.75,0.69,1.12,2.25,4.219869938766792,421.34,34.33,-2.55666830473211,-0.8226899364531353,1.0249329108726848,-0.018012373584896206,1.3895632039478623,0.1,0.10738856654798251,0.08602757259787629
UNH,0.32,15.88,0.88,1.11,5.92,5.226190476190476,420.0,28.25,-3.4489791173233653,-0.05941518843319594,0.9950556611996466,0.717255085970754,1.3552236306576502,0.1,0.08671053720824475,0.08390161666740055
FI,0.28,11.88,1.1,1.36,3.62,5.4092006965118244,178.03,31.12,-3.0277731909850587,-0.0899461783539935,1.741986903025602,0.8509713868552544,1.354502021188263,0.1,0.08377684785024096,0.0838569419733394
IR,-0.24,8.4,0.49,2.44,2.89,4.1310160427807485,74.8,48.32,-0.5034728658913751,-0.48684904732436196,4.96872986771373,-0.08293341607950493,1.3486519847762044,0.1,0.1096983838963852,0.08349476742042321
LKQ,-0.53,11.37,0.95,1.02,2.76,4.084923407686106,37.21,34.97,-2.462740850775136,-0.7081987242501444,0.7261604141423023,-0.11661097054642199,1.266722031141951,0.1,0.11093617640184424,0.07842250081593428
SPOT,-3.7,28.91,0.36,1.53,2.56,5.351914744115235,597.73,55.68,0.5766928546138291,-3.1277796754733522,2.2499001474672515,0.8091154422327782,1.2619488725710057,0.1,0.08467358046788258,0.07812699554901548
LYB,-1.21,7.19,1.04,1.25,3.65,5.057901907356949,58.72,41.82,-1.4574235701418952,-1.227225552903703,1.4133371566221813,0.5942951503668683,1.1628651093537088,0.1,0.0895956054592396,0.07199274011591995
