Ticker,Debt/Eq,Price,ROE %,RSI,Rel Volume,"Avg Volume, M",Change %,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
UNH,0.88,409.13,15.88,26.57,1.47,6.0,-2.59,5.201280766504535,-3.759401442927498,-1.5729148135844895,1.6750874440167014,0.8322781108972588,2.1181003674928096,0.1,0.08971947456884319,0.1557291874512736
SPOT,0.36,579.88,28.91,51.39,3.88,2.58,-2.99,5.83224115334207,-0.17892098172093535,-1.7780338205373485,6.506464633375866,1.3094804734868217,1.8552790601168903,0.1,0.08001318278624454,0.13640576478883346
NXPI,1.26,182.24,26.02,48.16,1.66,3.52,-7.14,6.079894644424934,-0.6448739184532968,-3.9061435176732595,2.055984400854146,1.4967835649544734,1.8543746263196768,0.1,0.07675399077576539,0.1363392680625663
PCAR,0.91,90.24,24.93,44.27,2.48,3.08,-1.95,3.911790780141844,-1.2060370527842195,-1.2447244024599156,3.6998554777315382,-0.14297751665817438,1.6120353565475722,0.1,0.11929476899040485,0.11852174716112916
AVTR,0.67,12.69,12.52,30.85,2.09,9.44,1.63,7.0133963750985036,-3.141977737288332,0.5910907097681714,2.9180143558020464,2.202801312901582,1.2561331995023073,0.1,0.06653783024622827,0.09235473705177331
EPD,1.13,30.81,20.78,44.84,1.51,5.53,-1.79,3.1483284647841607,-1.123810063949097,-1.162676799678772,1.755276277035111,-0.7203925624153874,1.2233649139183151,0.1,0.1482234724475641,0.0899455129345013
BKR,0.35,35.9,18.04,37.54,0.62,8.62,-0.86,4.596100278551532,-2.176892552539263,-0.6857751085133751,-0.028925257624497498,0.37457337274126673,0.958691292569397,0.1,0.10153307133735652,0.07048590250950429
PBR,1.02,11.53,10.52,37.08,0.89,22.02,0.21,4.076322636600174,-2.2432511751079587,-0.13708176491447757,0.5123493652497657,-0.018540242526449122,0.9374404263104508,0.1,0.11447969629926741,0.06892347412512198
IR,0.49,74.79,8.4,48.29,2.15,2.97,-0.01,3.9711191335740073,-0.6261203946838825,-0.24989721873854998,3.0382976053296606,-0.09810682268596016,0.9240763680323795,0.1,0.11751251014114661,0.06794090787442113
HAL,0.83,20.44,20.99,39.15,0.68,12.94,-0.99,5.430528375733855,-1.9446373735488294,-0.7524387857730542,0.09135799190311665,1.0056606290780856,0.861682191235474,0.1,0.08593200240717924,0.06335349804087546
