Ticker,Debt/Eq,ATR/Price %,RSI,Change %,ROE %,"Avg Volume, M",Price,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FSLR,0.09,7.227667543230537,44.82,-8.57,17.62,3.27,125.49,3.91,-0.984332166189353,-4.179846561110849,9.681458005432715,2.348681137674808,3.5088860418741326,0.1,0.05824698977569458,0.19639929099994122
SMCI,0.31,10.449187639375596,43.17,-12.81,32.21,75.92,31.39,1.18,-1.2049227183110562,-6.293959474761755,1.5531433485279162,4.735913555611319,2.4616460817199353,0.1,0.040289244678338026,0.13778319938950045
YUMC,0.42,4.610419548178884,40.23,-7.08,15.02,3.27,43.38,1.13,-1.5979749748188194,-3.4369153721156,1.4042731167164728,0.4092304829844613,2.0021431964718954,0.1,0.09131270442815984,0.11206391418098424
EQNR,0.71,3.27795240233498,39.06,-3.53,19.39,4.52,22.27,1.29,-1.754393729959663,-1.666844418469204,1.8806578585130915,-0.5781632539660697,1.631381249049329,0.1,0.12843074755837988,0.091311634758237
PBR-A,1.02,3.6896877956480605,35.59,-2.22,10.52,5.9,10.57,1.12,-2.218302345633791,-1.013663305996872,1.3744990703541848,-0.2730563326387763,1.4333934254054466,0.1,0.11409905141275661,0.08022986472460229
PAA,0.82,3.612385321100917,41.86,-3.6,7.56,4.0,17.44,1.19,-1.3800582475713181,-1.7017472260058937,1.5829173948902049,-0.3303395305447822,1.4282493477845435,0.1,0.11654068989638322,0.07994194052713978
IP,0.99,4.710780017528483,39.56,-4.18,6.74,9.31,45.64,0.91,-1.6875481081046015,-1.990941917024178,0.7492440967461232,0.4836002707742002,1.3889603010668774,0.1,0.08936733957565303,0.07774285488362545
CVX,0.19,3.2407407407407405,38.36,-2.31,11.28,9.27,136.08,1.12,-1.8479776005567499,-1.05853834425833,1.3744990703541848,-0.605738088898607,1.3527542036459754,0.1,0.1299054479120235,0.07571632800914709
EPD,1.11,3.274306715669897,39.34,-2.79,20.78,5.61,29.93,1.06,-1.7169601817208284,-1.2978718816527723,1.195854792180453,-0.5808648051384308,1.3524486611306938,0.1,0.12857374523832216,0.07569922619032039
PBR,1.02,4.078014184397164,33.84,-2.04,10.52,22.21,11.28,0.87,-2.4522620221265066,-0.9239132294739562,0.6301479112969687,0.01470389119821729,1.3062205311997337,0.1,0.10323403952428917,0.07311174633650205
