Ticker,Change %,ROE %,Rel Volume,Price,"Avg Volume, M",Debt/Eq,ATR/Price %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BDX,-18.13,6.92,5.95,169.54,2.21,0.74,4.647870708977233,21.65,-3.7120311308929277,-6.909476029973597,9.410281667534305,0.4815639997126237,5.551427439838882,0.1,0.08701954653260807,0.2744847179463478
AGI,-9.78,8.74,3.5,25.73,3.61,0.08,5.402254178002332,41.21,-1.310651649751493,-3.745796769182831,4.813146405525525,1.064185421405664,2.625967685591552,0.1,0.07486793255384211,0.12983831768081983
QCOM,-8.92,41.96,2.59,135.21,8.78,0.54,4.888691664817691,40.59,-1.3867689952682458,-3.419956749508573,3.1056390224936923,0.6675535573133041,2.2367264594392946,0.1,0.08273289239084652,0.110592678729157
FTV,-4.18,8.12,3.8,66.78,2.84,0.38,3.758610362383947,43.82,-0.9902221791083876,-1.6240478038620791,5.376060927404151,-0.2052248134846973,2.010729160868963,0.1,0.10760774925892005,0.0994184707570693
UNH,-2.62,15.88,1.48,400.68,6.22,0.88,4.999001697114905,25.79,-3.2037636947004153,-1.0329891635227266,1.0228552915427764,0.7527476137618948,1.6121597973104655,0.1,0.08090727428054596,0.07971161148096487
AFL,-4.75,22.64,1.6,103.52,2.11,0.29,2.9945904173106648,40.28,-1.4248276680266225,-1.8400115378322273,1.2480211002942272,-0.7952886270193281,1.4718268048113756,0.1,0.13506207697031822,0.07277298852639778
PAA,-4.3,7.56,1.38,16.71,3.86,0.82,3.8300418910831837,36.17,-1.9294120068554208,-1.6695138531189524,0.8352171175832344,-0.1500571958031493,1.4416731940879923,0.1,0.10560082968779365,0.07128207372580515
TMO,-2.12,13.75,1.23,419.89,2.25,0.69,3.891495391650194,35.46,-2.0165786444633156,-0.8435472916190879,0.5537598566439216,-0.10259575564906458,1.122055624522532,0.1,0.10393320837671104,0.055478906093046045
IP,-3.92,6.74,0.67,43.89,9.27,0.99,4.853041695146958,35.06,-2.0656866093128334,-1.525538030472187,-0.49701391752951346,0.6400205626683946,1.0935237841520147,0.1,0.08334064012716932,0.05406817808813873
PEG,-1.59,11.22,1.56,78.66,3.01,1.42,2.911263666412408,39.94,-1.4665694381487133,-0.642738907401231,1.1729658307104103,-0.8596430993358325,1.0588153970181458,0.1,0.13892784982124512,0.05235205697225341
