Ticker,ROE %,Rel Volume,RSI,Change %,"Avg Volume, M",Price,Debt/Eq,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
XYZ,14.5,5.89,32.27,-20.43,9.19,46.53,0.37,7.930367504835589,-2.704717364891703,-8.58632895291612,9.23922783907611,3.2818234421569183,5.471529434832267,0.1,0.05128965058412094,0.24696719716166732
BDX,6.92,4.4,21.41,-0.45,2.39,168.78,0.74,4.550302168503377,-3.992077839190409,-0.9574043350364274,6.449528046773125,0.5245530379072162,2.969769066543296,0.1,0.08938874019007524,0.1340458004141401
HOLX,15.78,2.78,29.69,-5.45,2.82,54.16,0.53,3.305022156573117,-3.010554383647749,-2.866544629801115,3.416431628296052,-0.49127753938714847,2.7893987343050277,0.1,0.12306900197862135,0.12590446517423026
MGA,8.62,2.12,44.1,-5.57,2.16,33.06,0.61,3.8112522686025407,-1.3023716548591364,-2.912363996875467,2.180725680027616,-0.07832300545101713,1.919134914657736,0.1,0.10672234469428718,0.08662356229518232
OHI,10.02,2.03,43.24,-3.99,2.42,37.02,1.08,2.5661804430037813,-1.4043173277778183,-2.3090756637298258,2.012220323445556,-1.093983755847586,1.811529987301545,0.1,0.15850240751214587,0.0817666228184859
UNH,15.88,1.81,25.67,-0.19,6.3,399.92,0.88,4.808461692338468,-3.4870911338025183,-0.8581290397086636,1.6003183406894108,0.7351453027946457,1.767376198587331,0.1,0.08458958485096599,0.07977366315835896
AGI,8.74,1.4,37.14,-3.93,3.78,24.72,0.08,5.744336569579287,-2.1274203566196324,-2.2861659801926497,0.8326828273711393,1.4985802794383376,1.5614337554146926,0.1,0.07080813831151857,0.07047808528150676
PAA,7.56,1.62,35.6,-0.48,3.82,16.63,0.82,3.788334335538184,-2.3099742360321556,-0.9688591768050155,1.2445848101272852,-0.09701818802210195,1.406210475320677,0.1,0.10736797291385333,0.06347180689524516
AAPL,136.52,1.7,48.05,-3.74,58.75,205.35,1.45,4.105186267348429,-0.8341328083140278,-2.2136186489915914,1.3943673493113378,0.16145209795696966,1.3294412701235372,0.1,0.09908095561018343,0.06000669249502486
EOG,22.29,1.66,43.57,-0.73,3.85,110.86,0.2,3.7254194479523726,-1.3651986393322777,-1.06431619154325,1.3194760797193112,-0.14834067450258384,1.1290594742005553,0.1,0.10918120335422814,0.050962104306158225
