Ticker,Price,RSI,ROE %,"Avg Volume, M",Change %,Rel Volume,Debt/Eq,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PAAS,22.82,40.9,6.56,4.06,-16.13,5.08,0.17,6.310254163014899,-1.9078846568961176,-4.896563295047611,8.156959822649448,2.485207242801457,3.7644280234300482,0.1,0.05961394532834538,0.19603638857559946
AEM,106.46,40.79,11.45,3.48,-9.26,2.14,0.06,4.349051286868307,-1.9191726527093649,-3.165651265872153,2.081337995366125,0.6929958829413039,2.126656382282626,0.1,0.08649682927809653,0.11074777743899199
LNT,59.55,41.13,10.71,2.17,-3.58,2.19,1.5,2.518891687657431,-1.8842824838320544,-1.7345624266120954,2.1846648971906713,-0.9794638426468553,1.8014750823582721,0.1,0.14934312123272778,0.09381363305564307
UNH,378.75,23.27,24.33,6.72,-0.5,1.62,0.86,4.150495049504951,-3.7170425313283952,-0.9585494644781204,1.0067382163908438,0.5115486963693125,1.7866499721735178,0.1,0.09063476577975986,0.09304160048050396
GFI,20.18,40.5,25.35,4.08,-10.51,1.21,0.57,5.649157581764123,-1.948931914398835,-3.4805915914135395,0.15945762142956382,1.8810755554105443,1.7441171957791892,0.1,0.06659030859685464,0.09082666322349131
AU,40.16,49.11,19.42,3.12,-10.36,1.9,0.32,5.57768924302789,-1.065389696652839,-3.442798752348573,1.5853688666083026,1.8157654489900006,1.7133631855731546,0.1,0.067443547012261,0.08922511710347417
ED,103.54,34.57,8.33,3.03,-3.84,1.28,1.1,2.4628163028781147,-2.557457506876623,-1.8000700143247037,0.3041152839839288,-1.030707364075644,1.6890284256248147,0.1,0.15274348567626447,0.0879578599192659
WPM,78.98,46.22,8.51,2.01,-7.92,1.42,0.0,3.937705748290706,-1.3619561321099736,-2.8280352368917874,0.5934306090926582,0.31709487033669786,1.5534736139354781,0.1,0.09553256914771431,0.08089870629161604
AGI,24.88,40.59,7.85,3.97,-8.02,1.17,0.08,5.426045016077171,-1.9396962814607233,-2.853230462935098,0.07679609996992673,1.677187992519875,1.5251647812805353,0.1,0.0693284234773816,0.07942449526037168
CME,270.47,49.59,13.4,2.53,-4.88,1.87,0.14,2.3181868599105258,-1.0161329876495773,-2.062100365175137,1.5233727255135752,-1.1628744814143932,1.4983436667328043,0.1,0.16227300447059442,0.07802775865104243
