Ticker,Debt/Eq,RSI,Rel Volume,Change %,"Avg Volume, M",ATR/Price %,Price,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
MDT,0.59,37.32,1.94,-4.15,7.54,2.4100852799406747,80.91,9.49,-1.6273889903569647,-2.075290677843179,2.2548762922477206,-0.7103257166562922,1.8179457139852238,0.1,0.1338763571546047,0.12584107997961413
ONB,0.86,44.64,4.58,0.24,3.0,2.9922779922779927,20.72,9.29,-0.8937158043915542,0.20340898155505288,7.74355882267243,-0.1778248390169281,1.8081016364289544,0.1,0.10782869724773139,0.1251596573488094
YMM,0.0,40.75,1.51,-6.47,9.5,4.757630161579892,11.14,10.3,-1.2836049701573258,-3.279523755247256,1.3608863346406659,1.4368494081439638,1.7255873800053405,0.1,0.06781809992629773,0.1194478899059303
WSM,0.63,47.24,2.55,-4.48,2.61,4.750919633393604,160.39,53.91,-0.6331215033655885,-2.2465824517842763,3.5230946042019142,1.430711642979786,1.5694441408448572,0.1,0.06791389091124667,0.1086394077294212
UNH,0.86,27.23,2.03,-2.08,13.27,7.125762631880541,296.67,24.33,-2.638695335492346,-1.0008240958490242,2.44199046942129,3.602854911268053,1.4019444037269322,0.1,0.04527984643592353,0.09704481078790193
MKC,0.79,35.22,1.83,-1.7,2.45,2.3979806478754733,71.31,14.73,-1.837869002724091,-0.8035790228259426,2.026181186813358,-0.7213971833057866,1.4018827646357621,0.1,0.13455214411186045,0.09704054403244156
TAP,0.49,35.53,1.28,-2.39,2.6,2.6330325906831153,54.31,7.9,-1.8067981437556102,-1.1617345501573277,0.8827056596415436,-0.5064076047976531,1.2661683352776023,0.1,0.12254061679756263,0.0876461764075639
KHC,0.44,31.33,1.45,-0.49,11.24,2.30188679245283,26.5,5.36,-2.2277581684898626,-0.17550918504191965,1.236143549858286,-0.8092891497697366,1.1693011986847546,0.1,0.14016911638238394,0.08094087987994943
CNC,0.66,41.41,0.87,-4.4,4.97,3.5991045290167034,58.07,12.59,-1.2174541091276578,-2.2050571732531012,0.030296630295281825,0.37720729474327064,1.1662175454179948,0.1,0.08964825420020352,0.08072742451965649
CVS,1.06,37.07,0.98,-3.04,10.25,3.5702424443706406,60.22,7.0,-1.6524461346863846,-1.499127438223125,0.2589917357296447,0.35080867263955506,1.1197682304003016,0.1,0.09037297683218548,0.07751212940871165
