Ticker,RSI,Change %,"Avg Volume, M",ATR/Price %,Price,ROE %,Rel Volume,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ISRG,40.1,-5.55,2.16,2.8508980328803575,526.15,15.94,2.22,0.0,-1.647475989791839,-3.5101579582802054,3.3442355587299364,0.06271480916095003,2.4677475126551083,0.1,0.09955556447395267,0.13160029811647797
LTH,41.36,-3.31,2.21,4.029957203994294,28.04,8.24,3.17,1.47,-1.5240100875507958,-2.195938979578855,5.684991776219581,1.2369040500461173,2.315290123734682,0.1,0.07042823249829408,0.12347003449384295
BF-B,23.64,-1.6,3.37,4.3383947939262475,27.66,23.14,2.71,0.68,-3.260371823829595,-1.1926735985166632,4.551572976171964,1.5440676839462635,2.3144737246609566,0.1,0.06542114685331014,0.12342649747843382
BAM,45.85,-4.31,2.27,2.561307901907357,55.05,19.09,2.68,0.18,-1.0840403248029509,-2.7826438807848146,4.477654358777555,-0.2256792124332088,2.2714382649545497,0.1,0.11081165318301946,0.12113149797062382
LULU,32.04,-2.35,2.68,5.2964793082149475,259.04,42.49,2.0,0.4,-2.4372658088893067,-1.6327022744211332,2.8021656978375966,2.4981949712762503,1.7351024715985484,0.1,0.05358706159408012,0.09252972654375417
PGR,40.39,-2.87,3.24,2.4105267037705946,271.31,34.34,1.76,0.24,-1.6190592345141386,-1.9377888230482325,2.2108167586823173,-0.37583763104140644,1.7246439349874338,0.1,0.11774304863626855,0.09197199260670164
CPRT,21.74,0.04,5.78,2.55234297108674,50.15,18.54,1.5,0.01,-3.4465505653041846,-0.2304775605388886,1.5701887412640985,-0.23460711492762173,1.6244583037906573,0.1,0.11120087156634707,0.08662928276103438
KVUE,31.38,-1.98,18.09,2.8638497652582156,21.3,10.22,1.13,0.88,-2.501938424348901,-1.415621460974928,0.6585257933997097,0.0756130463160346,1.4952898139116788,0.1,0.09910532541342815,0.07974097198849525
SRE,43.53,-2.81,4.53,2.1154103628330434,74.69,9.76,1.37,1.19,-1.3113743670245546,-1.902586528975875,1.2498747325549893,-0.6697350374038781,1.441834763851536,0.1,0.13416912761123959,0.07689031547372999
CME,38.64,-2.15,2.67,2.0570150922302957,268.35,13.4,1.13,0.14,-1.7905396542933654,-1.5153612941799413,0.6585257933997097,-0.7278891149431286,1.3615594021399122,0.1,0.13797796817006022,0.0726093825669062
