Ticker,ATR/Price %,RSI,Change %,Rel Volume,ROE %,"Avg Volume, M",Price,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
UNH,5.201280766504535,26.57,-2.59,1.47,15.88,6.0,409.13,0.88,-3.794329622559943,-1.575647721917503,1.6866267123753582,0.8541837536431794,2.1313990376778595,0.1,0.08971947456884319,0.15654627241626473
NXPI,6.079894644424934,48.16,-7.14,1.66,26.02,3.52,182.24,1.26,-0.6308775157085774,-3.9248514245720343,2.0688105288369196,1.524512164642299,1.8558160184013681,0.1,0.07675399077576539,0.13630534444063955
SPOT,5.83224115334207,51.39,-2.99,3.88,28.91,2.58,579.88,0.36,-0.15760515326624647,-1.7821711243486706,6.53432670012464,1.3355677655976474,1.8522302606303842,0.1,0.08001318278624454,0.1360419789220707
PCAR,3.911790780141844,44.27,-1.95,2.48,24.93,3.08,90.24,0.91,-1.2008556859564603,-1.2452102780276348,3.718235420934186,-0.12961788582522277,1.6127319601637926,0.1,0.11929476899040485,0.11845138911448437
AVTR,7.0133963750985036,30.85,1.63,2.09,12.52,9.44,12.69,0.67,-3.16720711133605,0.603174173731315,2.9337528503025596,2.2367166352437002,1.260490434697799,0.1,0.06653783024622827,0.09258007321955138
EPD,3.1483284647841607,44.84,-1.79,1.51,20.78,5.53,30.81,1.13,-1.1173370337607549,-1.1626009170551679,1.7670864632093712,-0.7120927289528316,1.2226048483227303,0.1,0.1482234724475641,0.0897974655423972
BKR,4.596100278551532,37.54,-0.86,0.62,18.04,8.62,35.9,0.35,-2.1869618776706665,-0.6824340064027032,-0.023142992847417658,0.3924682207433435,0.9604131387818615,0.1,0.10153307133735652,0.07054009793478615
PBR,4.076322636600174,37.08,0.21,0.89,10.52,22.02,11.53,1.02,-2.254362895232113,-0.12998390489932987,0.5199603252821701,-0.004090187401547779,0.9389224638425937,0.1,0.11447969629926741,0.06896165814290307
IR,3.9711191335740073,48.29,-0.01,2.15,8.4,2.97,74.79,0.49,-0.6118294020499074,-0.24357177623647205,3.054442476553579,-0.08435399700809293,0.918714307411758,0.1,0.11751251014114661,0.06747741633471556
HAL,5.430528375733855,39.15,-0.99,0.68,20.99,12.94,20.44,0.83,-1.9510583162056039,-0.7495541121928326,0.09754663340360192,1.02908559560334,0.8618151170598392,0.1,0.08593200240717924,0.06329830393218729
