Ticker,Change %,Price,RSI,ATR/Price %,"Avg Volume, M",ROE %,Rel Volume,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ZBH,-11.62,90.48,26.58,3.857206012378426,2.06,7.24,3.42,0.51,-2.971033208803892,-4.814192538086964,1.8984138551594338,0.027397062643632942,3.1017720761793224,0.1,0.09826273840047055,0.19010532563023982
TSN,-7.75,56.08,32.3,2.9243937232524964,2.53,5.74,4.73,0.53,-2.3548838435719515,-3.1518086067527897,2.887310504233425,-0.7471552055777008,2.5795199790181145,0.1,0.12960622310785144,0.15809687931196584
HOLX,-2.64,52.73,26.39,3.3756874644414943,2.9,11.77,1.38,0.55,-2.9914997086979596,-0.9567745268774328,0.35845266118161634,-0.372427519260909,1.4908292666138014,0.1,0.11227924070090771,0.09137182753215402
BRK-B,-5.12,512.15,44.79,2.868300302645709,5.11,14.7,3.2,0.22,-1.0094807715882206,-2.022074823959798,1.7323396087500615,-0.7937318712903617,1.486885567320855,0.1,0.13214084487647865,0.09113012110761337
BDX,-1.05,167.0,20.81,4.4670658682634725,2.52,5.97,1.71,0.76,-3.5925684950605876,-0.2737795783447875,0.6075640307956751,0.5337886916770802,1.4213557626833084,0.1,0.08484755688153833,0.08711384765387473
ON,-8.35,38.41,48.11,6.612861234053632,10.31,18.97,2.35,0.41,-0.6518556155445068,-3.4095425495952973,1.0906891112593042,2.3155305137846796,1.4080741286723242,0.1,0.057315526809977736,0.08629982608925031
PBR-A,-4.13,10.45,36.83,3.6363636363636367,5.93,10.52,1.16,1.02,-1.8669193987291732,-1.5968138182696603,0.1923784147722439,-0.15597741178779412,1.2663800500828197,0.1,0.10423039697154242,0.07761550039136907
PAA,-2.77,16.17,32.43,3.896103896103896,3.85,7.56,1.23,0.82,-2.3408804489075887,-1.012616881159976,0.24522022044795336,0.05969556944911653,1.2167985526683267,0.1,0.09728170384010627,0.07457668693901914
PBR,-3.53,11.2,35.69,3.9285714285714293,22.26,10.52,1.21,1.02,-1.9897183980935809,-1.3390798754271522,0.23012256168346495,0.086654692103731,1.2024384388585763,0.1,0.0964777228166343,0.07369656614198992
OXY,-4.43,38.81,39.84,4.328781241947951,13.16,8.88,1.17,0.79,-1.542686953038938,-1.7256807896909139,0.1999272441544881,0.4189652998527823,1.1420176288010675,0.1,0.0875580455944927,0.0699934192025236
