Ticker,Rel Volume,"Avg Volume, M",RSI,Debt/Eq,Price,ATR/Price %,ROE %,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
DOCS,7.34,2.42,37.45,0.01,52.56,5.955098934550989,22.5,-10.08,-2.287540746860382,-6.7249241474798005,5.866370420779518,2.4687623476533243,4.080760562409634,0.1,0.06635697498218045,0.27200979875039044
DFS,12.9,2.42,65.08,0.77,200.05,3.609097725568607,28.29,-0.21,0.4510720415417415,-0.5987574172490622,10.994063501001873,0.26865361153828476,2.2236372205441084,0.1,0.10949062094298159,0.14822019170292217
AMAT,2.07,7.94,59.6,0.33,165.57,3.8895935253971134,36.37,-5.25,-0.09209111735958424,-3.7270127688562478,1.006128958050776,0.5317060163211276,1.4847415501535837,0.1,0.10159476779159454,0.09896788700955848
NVO,2.02,9.38,45.93,0.86,64.37,4.396457977318626,87.53,-2.69,-1.447025493670009,-2.1380576696272007,0.96001661020705,1.0070497222105201,1.3460774569743812,0.1,0.08988198068878543,0.08972500409527442
JD,0.83,16.01,42.65,0.37,33.55,4.202682563338301,19.81,-2.33,-1.7721304500927006,-1.9146108587981165,-0.1374572684736339,0.8253247599598194,1.180335528421077,0.1,0.09402621898298252,0.07867720358338536
TSN,1.95,2.87,40.39,0.49,55.94,2.4132999642474084,5.01,0.52,-1.996135694457116,-0.14565693973452942,0.8954593232258332,-0.8527802100797217,1.0139973076202147,0.1,0.16374356974709584,0.06758965623220638
CAVA,2.55,3.81,56.02,0.52,96.81,4.648280136349551,21.73,-2.27,-0.4469312832111803,-1.8773697236599354,1.4488074973505476,1.2432116346213036,0.9789456884128696,0.1,0.08501259378199687,0.06525323297466652
SHOP,7.84,12.23,65.58,0.1,110.9,5.09467989179441,16.15,0.63,0.5006307239232494,-0.07738152531453134,6.327493899216781,1.661850805817582,0.9511764797485467,0.1,0.07756372518180495,0.06340223075468335
INFY,1.03,12.52,55.97,0.09,18.31,2.4576734025122886,29.0,-2.19,-0.4518871514493315,-1.8277148768090277,0.046992122901271006,-0.8111662548932402,0.888375759960004,0.1,0.1607871699357879,0.05921614561447256
UNH,6.8,10.31,19.76,0.86,291.91,7.666746599979445,24.33,6.4,-4.04092692951813,3.503974303807187,5.3683570640672755,4.073966542536728,0.8542081775586123,0.1,0.051542377964790026,0.05693864928244028
