Ticker,RSI,Rel Volume,"Avg Volume, M",ROE %,Price,Change %,Debt/Eq,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PBR-A,36.83,1.26,6.53,11.25,10.37,-3.51,0.94,2.603664416586307,-1.7576131749966297,-2.025544200298245,1.5132716253083986,-0.28266627885817525,1.6550260343007035,0.1,0.10749800859621704,0.11237739769484666
BF-B,40.03,2.42,2.97,27.99,33.2,-0.03,0.75,2.469879518072289,-1.4527221004589554,-0.023514521117484095,5.2592459442002655,-0.4149389954568542,1.6100259059374924,0.1,0.11332080686037231,0.10932185825523388
KVUE,33.45,1.39,17.94,10.22,21.68,-2.39,0.88,2.9981549815498156,-2.079654372477047,-1.3812128092975404,1.9330790920807628,0.10736532620226721,1.5871827994170316,0.1,0.09335365968679121,0.10777079572640773
OKE,41.33,1.51,4.06,16.04,80.52,-3.27,1.5,2.943368107302534,-1.328860101428026,-1.8874731879409512,2.320593676793715,0.05319771258421137,1.5845156153794637,0.1,0.09509131363537293,0.10758969210924213
CPRT,22.06,1.09,5.77,18.54,50.38,-1.24,0.01,2.838427947598253,-3.1648760409095806,-0.719622541752174,0.9642926302983837,-0.050556299703879704,1.5574886599616786,0.1,0.09860695603447965,0.1057545433837729
CVE,47.89,1.48,11.83,9.5,12.98,-4.35,0.36,3.697996918335901,-0.7038333986257943,-2.5087927435487734,2.2237150306154767,0.7992968909496652,1.4892324667892274,0.1,0.07568658006394695,0.10111990126557938
PBR,36.59,0.99,23.72,11.25,11.11,-3.28,0.94,2.7902790279027907,-1.7804800055869547,-1.8932261467891718,0.641363809704257,-0.09816098812649046,1.4238860140851446,0.1,0.10030851288956116,0.09668283251180776
RRC,47.22,1.53,2.95,6.96,37.71,-3.41,0.46,3.1291434632723414,-0.7676699673571199,-1.9680146118160393,2.38517944091254,0.2368732341427095,1.4108381674788428,0.1,0.08944579982381572,0.0957968748188478
YPF,45.52,0.96,2.17,15.54,33.61,-4.84,0.88,4.819994049390062,-0.9296433507052587,-2.7906877271115818,0.544485163526019,1.9086119944395206,1.220151710497146,0.1,0.058068274974587844,0.08284913419898032
BRK-B,34.87,0.96,5.52,13.2,491.0,-1.37,0.21,1.659877800407332,-1.9443589581509548,-0.7944110067790416,0.544485163526019,-1.2157851958515389,1.1890450400158565,0.1,0.1686200874348551,0.08073697003528156
