Ticker,ROE %,Price,RSI,Change %,Rel Volume,"Avg Volume, M",Debt/Eq,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CWAN,58.14,23.1,47.68,-6.69,2.91,3.06,0.06,3.3766233766233764,-0.9064282851357423,-3.692336257302686,7.347583578898681,0.6346644816551928,3.015617857467667,0.1,0.09476221142497247,0.19779229870856377
NUE,6.54,116.66,49.38,-6.43,1.03,2.6,0.39,3.900222869878279,-0.7388603086433818,-3.5472203252284134,1.2196027695251193,1.1671185382072888,1.6273369219394231,0.1,0.08204051639953461,0.10673590812133205
LULU,42.49,252.53,30.34,-2.31,1.42,2.77,0.4,5.084544410565081,-2.615621645357815,-1.2476909400514866,2.4908328310441026,2.3714680777392605,1.61317916332815,0.1,0.06293116402980295,0.10580731048309011
BF-B,23.14,27.66,24.18,-0.41,1.48,3.44,0.68,4.1214750542299345,-3.222809136647779,-0.18722835950872896,2.6864066866624077,1.392112306529558,1.5915832303343032,0.1,0.0776363544866521,0.10439084810904248
GME,6.62,28.5,46.87,-5.48,1.06,12.34,0.35,5.087719298245614,-0.9862694974644552,-3.016989034957035,1.317389697334272,2.3746966557771967,1.4271487602366562,0.1,0.06289189311769333,0.09360570444536562
AMH,5.81,36.28,37.97,-1.79,0.98,2.04,0.69,2.0396912899669237,-1.8635371391009286,-0.9574590759029423,1.0566245565098649,-0.7248763927060741,1.271161225823935,0.1,0.15687486625649008,0.08337458947667994
ROST,39.57,136.63,39.04,-2.46,0.9,3.44,0.9,2.825148210495499,-1.7580678833086782,-1.331411670094336,0.7958594156854581,0.07386334820264416,1.233103392007882,0.1,0.11326000424663336,0.08087840236341393
CAVA,21.73,76.91,30.54,-1.8,0.87,3.62,0.57,4.368742686256664,-2.595907765770479,-0.963040457905799,0.6980724878763055,1.643561468384587,1.2208902290234998,0.1,0.07324219376084587,0.08007734941328587
HBAN,10.3,16.08,58.9,-1.44,2.0,23.2,0.92,2.238805970149254,0.19952035971383436,-0.7621107058029607,4.381380102021053,-0.5223944947135911,1.125422091006764,0.1,0.14292274658207968,0.07381565998039026
CPRT,18.54,50.46,24.37,0.36,0.73,5.83,0.01,2.397938961553706,-3.204080951039809,0.2425380547112307,0.2417334914335934,-0.3605704137202184,1.1209437533737427,0.1,0.13343804969529557,0.07352192889883599
