

=== CLUSTER STATISTICS ===
 Cluster_ID  Size  Avg_Correlation  Avg_Raw_Score  Avg_Risk_Adj_Score  Avg_Volatility
          1    56           0.8200         0.1900            122.8100          0.0000
          2    13           0.5900         0.0300            526.4900          0.0100
          3    34           0.6500         0.2300             17.5600          0.0200
          4    13           0.6700         0.2900             18.3400          0.0200
          5    20           0.6100         0.0400              5.4200          0.0100
          6    29           0.7000         0.7500             36.3200          0.0200
          7    45           0.8200         0.6100             44.5300          0.0200
          8     6           0.8200         1.2100             70.9500          0.0200
          9    12           0.5600         0.0500             17.4700          0.0200
         10    12           0.3400        -0.2900             -9.8600          0.0300
         11    51           0.7000        -0.4300            -16.0400          0.0300
         12    25           0.7500        -0.3700            -20.2600          0.0200
         13    43           0.6900        -0.1700             -6.8800          0.0200
         14    20           0.6800         1.2300             86.7000          0.0200
         15    24           0.7600        -0.2100             -6.8000          0.0400
         16    14           0.5300         0.4100             21.1100          0.0200
         17     6           0.5700         0.2900             27.8200          0.0300
         18    11           0.2200        -0.5400            -14.5900          0.0300
         19    63           0.7700        -0.2300             -8.5000          0.0300
         20     5           0.8000        -0.3300             -9.4300          0.0400
         21     5           0.3900         0.3700             23.6000          0.0300
         22     8           0.7400        -0.3200             -6.9000          0.0300
         23     4           0.7700        -0.1900             -7.3000          0.0300
         24    27           0.6800        -0.3700             -9.5100          0.0400
         25    13           0.7200        -0.3300             -9.3800          0.0500
         26    13           0.6600         0.3800             29.0300          0.0200
         27     9           0.5200         0.2300             12.3100          0.0200
         28    14           0.7200         0.1900             12.3900          0.0200
         29    18           0.5300        -0.3000            -12.5300          0.0200
         30    48           0.7400        -0.3800            -23.4700          0.0200
         31     5           0.7100         0.4400           1066.2200          0.0200
         32     5           0.6700        -0.1000             -3.4900          0.0200
         33    34           0.6700        -0.3900            -28.3500          0.0200
         34    74           0.8300        -0.3400             16.4400          0.0200
         35    13           0.6100        -0.3300            -11.1900          0.0300
         36    32           0.6700         0.1400             12.6300          0.0100
         37    13           0.7300        -0.0900             -4.8800          0.0100
         38     8           0.6700         0.2300            709.8700          0.0100
         39    15           0.7300         0.7900             60.6700          0.0100
         40    15           0.6800         0.6400             54.3700          0.0100
         41     7           0.5200         0.4600             50.9500          0.0200
         42    24           0.6900        -0.3200            -14.9500          0.0200
         43    12           0.5300        -0.4000            -18.7100          0.0200
         44    21           0.5600        -0.2300            328.5200          0.0200
         45     6           0.2300         0.5700             22.0400          0.0400
         46     6           0.2400         0.7900             37.2500          0.0200
         47     5           0.2800         0.4600           1436.4400          0.0100
         48     5           0.5700         0.2400              9.9500          0.0200
         49     3           0.3100         0.6000             41.4700          0.0200
         50     3           0.2200         0.8600             70.0300          0.0200
         51     6           0.1900        -0.3500              0.3700          0.0400
         52     6           0.6100         0.4300             34.4900          0.0200
         53     6           0.6200        -0.0600             -3.9900          0.0200
         54    19           0.6500         0.0900             15.8300          0.0200
         55    11           0.4700         0.0600             12.3500          0.0200
         56     5           0.5900        -0.2000             -7.7700          0.0200
         57     7           0.6400        -0.4000            -22.2800          0.0200
         58     7           0.5000         0.1200              6.1300          0.0200
         59    11           0.6300        -0.1400             -4.3900          0.0200
         60     5           0.5700        -0.0600             48.3700          0.0200

=== DETAILED CLUSTERS ===
 Cluster_ID Ticker  Raw_Score  Risk_Adj_Score  Volatility
          1   ICSH     0.4937       1678.4130      0.0003
          1   FTSM     0.3325       1357.3493      0.0002
          1   VGSH     0.3906        440.7065      0.0009
          1    SHY     0.3780        439.2177      0.0009
          1   IBDR     0.2503        429.3904      0.0006
          1   SPTS     0.4086        409.3519      0.0010
          1   VTIP     0.3917        353.9414      0.0011
          1   SCHO     0.3404        316.2509      0.0011
          1    BSV     0.3394        255.3419      0.0013
          1   SPSB     0.1934        229.4248      0.0008
          1   IGSB     0.2195        188.8003      0.0012
          1   UCON     0.2342        177.1705      0.0013
          1   VCSH     0.1638        154.2222      0.0011
          1    IEI     0.3492        147.0180      0.0024
          1   SPTI     0.3441        129.9483      0.0026
          1   VGIT     0.3297        122.6790      0.0027
          1   SCHR     0.3065        110.0777      0.0028
          1   PYLD     0.1797         98.5785      0.0018
          1   GOVT     0.2486         80.7096      0.0031
          1    BIV     0.2201         73.5253      0.0030
          1    IEF     0.2864         73.5251      0.0039
          1    MCK     0.9324         73.2870      0.0127
          1   SPIB     0.1278         70.4993      0.0018
          1   SCHZ     0.2048         70.4289      0.0029
          1   SPAB     0.2057         70.0433      0.0029
          1   SPMB     0.2148         67.2665      0.0032
          1    BND     0.1957         66.6049      0.0029
          1    AGG     0.1956         65.3005      0.0030
          1   IUSB     0.1715         64.0146      0.0027
          1   VMBS     0.1963         61.2771      0.0032
          1    TIP     0.1751         61.2669      0.0029
          1   FIXD     0.1964         59.6426      0.0033
          1   FBND     0.1706         58.3050      0.0029
          1    COR     0.7146         56.4590      0.0127
          1   SCHP     0.1562         55.5724      0.0028
          1    MBB     0.1723         54.6322      0.0032
          1   JCPB     0.1384         53.4389      0.0026
          1   DFCF     0.1286         47.5269      0.0027
          1   IGIB     0.1128         41.1739      0.0027
          1    TLH     0.2164         34.2378      0.0063
          1   VCIT     0.0911         33.2092      0.0027
          1   SCHI     0.0844         30.3249      0.0028
          1   USIG     0.0804         27.6574      0.0029
          1   SPTL     0.1753         24.3995      0.0072
          1   VGLT     0.1725         23.8530      0.0072
          1    TLT     0.1520         19.3570      0.0079
          1    BLV     0.1148         18.6294      0.0062
          1   CGCP     0.0320         14.9034      0.0021
          1    LQD     0.0476         13.3668      0.0036
          1    EDV     0.1018          9.0023      0.0113
          1    TMF    -0.0066         -0.2801      0.0234
          1   VCLT    -0.0036         -0.6853      0.0053
          1    HYD    -0.0066         -2.2969      0.0029
          1   BNDX    -0.2050        -73.0722      0.0028
          1   BSCR    -0.5609       -546.0303      0.0010
          1   BSCQ    -0.6035      -1111.6857      0.0005
          2   TBIL     0.6113       3314.3945      0.0002
          2   PULS     0.4727       1757.3493      0.0003
          2   VUSB     0.6440       1444.8979      0.0004
          2   JPST     0.3227        828.5918      0.0004
          2    EMB     0.1409         48.7444      0.0029
          2   EXEL     0.1077          5.1333      0.0210
          2   KVUE    -0.0103         -0.6901      0.0150
          2    ABT    -0.3639        -23.9334      0.0152
          2    PPC    -0.6344        -26.8875      0.0236
          2    MUB    -0.0994        -46.7333      0.0021
          2   BINC    -0.1289       -118.1529      0.0011
          2   VTEB    -0.2997       -142.5261      0.0021
          2    TFI    -0.4282       -195.7891      0.0022
          3     MO     1.0664         86.0224      0.0124
          3    EXC     1.0251         83.9123      0.0122
          3    DUK     0.9215         82.0707      0.0112
          3     ED     1.0803         64.9031      0.0166
