portfolio_name,generation_date,buy_date,sell_date,raw_factor,risk_adj_factor,penalty_factor,portfolio_return,num_stocks_initial,num_stocks_calc
2025-04-14_portf_rawF_0.5_riskAdjF_0.5_pen_0.0,2025-04-14,2025-04-15,2025-04-16,0.5,0.5,0.0,-9.990251678351382e-05,35,35
2025-04-14_portf_rawF_0.5_riskAdjF_0.5_pen_0.1,2025-04-14,2025-04-15,2025-04-16,0.5,0.5,0.1,-9.990251678351414e-05,35,35
2025-04-14_portf_rawF_0.5_riskAdjF_0.5_pen_0.2,2025-04-14,2025-04-15,2025-04-16,0.5,0.5,0.2,-9.990251678351414e-05,35,35
2025-04-14_portf_rawF_0.5_riskAdjF_0.5_pen_0.3,2025-04-14,2025-04-15,2025-04-16,0.5,0.5,0.3,-9.990251678351414e-05,35,35
2025-04-14_portf_rawF_0.5_riskAdjF_0.5_pen_0.4,2025-04-14,2025-04-15,2025-04-16,0.5,0.5,0.4,-9.990251678351382e-05,35,35
2025-04-14_portf_rawF_0.5_riskAdjF_0.6_pen_0.0,2025-04-14,2025-04-15,2025-04-16,0.5,0.6,0.0,0.0007336017451101957,29,29
2025-04-14_portf_rawF_0.5_riskAdjF_0.6_pen_0.1,2025-04-14,2025-04-15,2025-04-16,0.5,0.6,0.1,0.0007336017451101957,29,29
2025-04-14_portf_rawF_0.5_riskAdjF_0.6_pen_0.2,2025-04-14,2025-04-15,2025-04-16,0.5,0.6,0.2,0.0007336017451101957,29,29
2025-04-14_portf_rawF_0.5_riskAdjF_0.6_pen_0.3,2025-04-14,2025-04-15,2025-04-16,0.5,0.6,0.3,0.0007336017451101957,29,29
2025-04-14_portf_rawF_0.5_riskAdjF_0.6_pen_0.4,2025-04-14,2025-04-15,2025-04-16,0.5,0.6,0.4,0.0007336017451101959,29,29
2025-04-14_portf_rawF_0.5_riskAdjF_0.7_pen_0.0,2025-04-14,2025-04-15,2025-04-16,0.5,0.7,0.0,0.0007125988464792771,19,19
2025-04-14_portf_rawF_0.5_riskAdjF_0.7_pen_0.1,2025-04-14,2025-04-15,2025-04-16,0.5,0.7,0.1,0.0007125988464792771,19,19
2025-04-14_portf_rawF_0.5_riskAdjF_0.7_pen_0.2,2025-04-14,2025-04-15,2025-04-16,0.5,0.7,0.2,0.0007125988464792771,19,19
2025-04-14_portf_rawF_0.5_riskAdjF_0.7_pen_0.3,2025-04-14,2025-04-15,2025-04-16,0.5,0.7,0.3,0.0007125988464792771,19,19
