Date,Portfolio,VGT
2/1/2016,0.001985493,0.002452928
2/2/2016,-0.009029541,-0.020258746
2/3/2016,0.002505018,-0.002297152
2/4/2016,-0.002030642,0.002403406
2/5/2016,-0.014716301,-0.037455783
2/8/2016,-0.012073506,-0.018055358
2/9/2016,-0.00025657,-0.004649541
2/10/2016,0.003039074,0.00456536
2/11/2016,-0.007174986,-0.003488103
2/12/2016,0.009997362,0.014635978
2/16/2016,0.011628008,0.020800895
2/17/2016,0.010078017,0.024574782
2/18/2016,0.001290946,-0.006295674
2/19/2016,0.002540095,0.004022701
2/22/2016,0.007866452,0.013722741
2/23/2016,-0.003071241,-0.016995415
2/24/2016,0.004239969,0.009650072
2/25/2016,0.011977366,0.011748131
2/26/2016,-0.006224695,-0.000983733
2/29/2016,-0.003022904,-0.00571386
3/1/2016,0.012328313,0.030315666
3/2/2016,0.003272155,0.002595927
3/3/2016,0.003850064,0.000383703
3/4/2016,0.001930515,0.003067394
3/7/2016,0.000372837,-0.005447644
3/8/2016,-0.004691616,-0.009994301
3/9/2016,0.005991719,0.009416366
3/10/2016,0.001024838,-0.002212494
3/11/2016,0.01112453,0.017444465
3/14/2016,-0.001642078,0.000378978
3/15/2016,-0.002018818,0.002177519
3/16/2016,0.011351234,0.01114874
3/17/2016,0.009685926,0.00551342
3/18/2016,0.000846042,0.003345122
3/21/2016,-0.002117203,0.002761388
3/22/2016,-0.000328921,0.00120478
3/23/2016,-0.00807134,-0.007778167
3/24/2016,0.001917196,0.001400283
3/28/2016,0.002816696,-0.002329524
3/29/2016,0.016074987,0.017000658
3/30/2016,0.002466061,0.006799528
3/31/2016,-0.001280353,-0.000727265
4/1/2016,0.006611964,0.007577042
4/4/2016,-0.007355848,-0.005264043
4/5/2016,-0.007009986,-0.010379883
4/6/2016,0.005115155,0.010951125
4/7/2016,-0.006092949,-0.014384004
4/8/2016,0.006417837,0.000277413
4/11/2016,0.001659223,-0.002031106
4/12/2016,0.006879842,0.00462628
4/13/2016,0.004882591,0.015659735
4/14/2016,-0.005914304,-0.001455864
4/15/2016,0.003351127,-0.004988892
4/18/2016,0.003926588,0.005113585
4/19/2016,0.005515163,-0.006178472
4/20/2016,-0.00659547,0.002464799
4/21/2016,-0.010060643,-0.000726672
4/22/2016,0.004219894,-0.014961399
4/25/2016,-0.001201336,-0.001944721
4/26/2016,0.004394249,-0.001763082
4/27/2016,0.003218205,-0.00725054
4/28/2016,-0.006698413,-0.013389228
4/29/2016,-0.002990955,-0.009111542
5/2/2016,0.006712595,0.005842253
5/3/2016,-0.010011402,-0.009045215
5/4/2016,-0.004264023,-0.004420661
5/5/2016,0.001405926,9.70E-05
5/6/2016,0.004826607,0.006369454
5/9/2016,-0.001076121,0.000959215
5/10/2016,0.010945082,0.013124252
5/11/2016,-0.006210156,-0.006430134
5/12/2016,0.000464561,-0.00513936
5/13/2016,-0.005890754,-0.002391257
5/16/2016,0.009079816,0.012946255
5/17/2016,-0.00910978,-0.010319329
5/18/2016,-0.002276344,0.005643828
5/19/2016,-0.00354899,-0.00542207
5/20/2016,0.009008221,0.012719423
5/23/2016,-0.00115603,-0.000187689
5/24/2016,0.012421237,0.021251995
5/25/2016,0.004083811,0.006936582
5/26/2016,0.000907932,0.002755318
