Ticker,ATR,ATRP,ROC_1,ROC_3,ROC_5,ROC_10,ROC_21,RollingStalePct,RollMedDollarVol,RollingSameVolCount,Calculated_Cutoff,Passed_Vol_Check,Passed_Final
NVDA,5.80564761,0.04217014,0.03099608,0.04515502,0.01324031,-0.00433927,0.04325422,0.00000000,35389804606.10029602,0.00000000,63997373.56077001,True,True
SPY,7.34737602,0.01243960,0.01003979,0.02643401,0.02944129,0.02213362,-0.01186312,0.00000000,28303249444.30500031,0.00000000,63997373.56077001,True,True
TSLA,24.27798367,0.05692376,0.03064134,0.07604198,0.08045802,0.12449905,-0.07887348,0.00000000,18898512016.00000000,0.00000000,63997373.56077001,True,True
QQQ,8.85687097,0.01706174,0.01687787,0.03298503,0.02868631,0.02255863,-0.02896602,0.00000000,15981206723.15449905,0.00000000,63997373.56077001,True,True
AAPL,5.04875871,0.02205228,0.00753855,-0.01414546,-0.02900536,-0.05687698,-0.08389020,0.00000000,10079251702.96300125,0.00000000,63997373.56077001,True,True
MSFT,8.29966480,0.01948790,0.01047996,0.03214049,0.02405971,0.02496420,-0.04995728,0.00000000,7884476542.00499916,0.00000000,63997373.56077001,True,True
AMD,4.53610988,0.03734653,0.02549814,0.04625721,0.04670803,0.00688054,-0.04128187,0.00000000,7042622467.50000000,0.00000000,63997373.56077001,True,True
AMZN,5.15495280,0.02281558,0.02392822,0.03756429,0.03197223,0.02597403,-0.03000902,0.00000000,6795723916.50000000,0.00000000,63997373.56077001,True,True
META,17.80261862,0.02914430,0.00240573,0.03116570,-0.00501691,0.02257950,-0.01837442,0.00000000,6377908610.11299896,0.00000000,63997373.56077001,True,True
IWM,4.02968507,0.01807415,0.00431994,0.02612334,0.03980058,0.01953530,-0.03544930,0.00000000,5850016731.48399925,0.00000000,63997373.56077001,True,True
SMCI,2.69867472,0.08756245,-0.00964010,0.00949885,-0.05460123,0.02562396,-0.07834928,0.00000000,4125237974.99999952,0.00000000,63997373.56077001,True,True
GOOGL,4.73949209,0.02427583,0.01601815,0.03342685,0.02061780,0.03468104,-0.00335898,0.00000000,3992921807.12699986,0.00000000,63997373.56077001,True,True
AVGO,9.41938968,0.04002902,0.03500238,0.05669816,0.05853775,0.02353601,-0.04769343,0.00000000,3747068205.88549995,0.00000000,63997373.56077001,True,True
TQQQ,2.07852554,0.05033664,0.04934868,0.09741092,0.08212828,0.05735598,-0.10583973,0.00000000,3558109111.90065002,0.00000000,63997373.56077001,True,True
TLT,0.89076152,0.01067101,0.00172324,0.02227641,0.02024356,-0.00433928,-0.03197417,0.00000000,3377096604.31519985,0.00000000,63997373.56077001,True,True
GOOG,4.72678563,0.02402017,0.01615235,0.03402361,0.02267424,0.03629977,-0.00308017,0.00000000,2869547067.41949987,0.00000000,63997373.56077001,True,True
SOXL,2.26881489,0.07028982,0.08336158,0.15540601,0.15787623,0.17419805,0.00221071,0.00000000,2738526494.52900028,0.00000000,63997373.56077001,True,True
LQD,0.60146895,0.00589277,0.00084328,0.01482432,0.01309181,-0.00065599,-0.01563314,0.00000000,2733938698.82520008,0.00000000,63997373.56077001,True,True
HYG,0.28969117,0.00386178,0.00088193,0.01081354,0.01184294,0.00786515,0.00391583,0.00000000,2572131676.49925041,0.00000000,63997373.56077001,True,True
IVV,7.32788061,0.01236466,0.00948596,0.02610242,0.02902252,0.02180693,-0.01223689,0.00000000,2365792586.11199951,0.00000000,63997373.56077001,True,True
VOO,6.72067531,0.01238186,0.00959215,0.02653020,0.02916366,0.02232879,-0.01177961,0.00000000,2325749261.65149975,0.00000000,63997373.56077001,True,True
MSTR,32.24318438,0.08131951,0.08038147,0.15878072,0.20917325,0.32162261,-0.02937576,0.00000000,2257653230.00000000,0.00000000,63997373.56077001,True,True
LLY,23.11496760,0.03208866,-0.04208029,-0.02576160,-0.09273683,-0.06728257,-0.06839474,0.00000000,2246072533.89299965,0.00000000,63997373.56077001,True,True
