Ticker,Strategy_Score,Lookback_Return_Ann,Lookback_ATRP
A,0.44102269,2.53048120,0.02276888
AA,0.11005739,1.08357368,0.03906958
AAL,0.21539307,1.89489245,0.03491020
AAPL,-0.29456154,-1.43760630,0.01936705
ABBV,-0.18171387,-0.87989736,0.01921513
ABNB,0.10394163,0.73929492,0.02822459
ABT,0.04027293,0.15679618,0.01544976
ACGL,0.23737914,1.14335886,0.01911347
ACM,0.13181386,0.63412883,0.01909044
ACN,0.07032349,0.39112456,0.02207060
ACWI,0.17747112,0.50618155,0.01131822
ADBE,-0.08102530,-0.59996066,0.02938337
ADI,0.14412812,0.95652706,0.02633589
ADM,0.09603264,0.55075478,0.02275825
ADP,0.15108906,0.57511733,0.01510508
ADSK,-0.02376793,-0.13306189,0.02221579
AEE,0.34424283,1.45647325,0.01678947
AEM,0.14363624,0.95101224,0.02627372
AEP,0.33614484,1.43296047,0.01691637
AER,-0.03272345,-0.16300865,0.01976747
AES,-0.26611984,-2.43276528,0.03627625
AFL,0.22940754,1.01735603,0.01759806
AFRM,-0.10307829,-1.68893865,0.06501987
AGCO,0.36108567,2.79014228,0.03066306
AGG,0.00392982,0.00420170,0.00424280
AGNC,0.20870580,0.89939082,0.01710068
AIG,0.15280020,0.73847894,0.01917846
AJG,0.33421743,1.69240433,0.02009437
AKAM,-0.19128710,-1.15360391,0.02393153
ALAB,-0.00660175,-0.10044041,0.06037381
ALB,0.33010865,3.48530173,0.04189700
ALC,0.07266364,0.28129293,0.01536177
ALGN,0.21364181,1.89187354,0.03514029
ALL,-0.05586124,-0.32606627,0.02316300
ALLE,0.20646052,0.97959599,0.01882823
ALLY,0.12087367,0.87722942,0.02879924
ALNY,0.18335830,1.51212867,0.03272560
AMAT,0.56452676,4.10072306,0.02882540
AMCR,0.19329591,0.93528392,0.01920084
AMD,0.03025036,0.28952383,0.03797985
AME,0.08406907,0.34329363,0.01620425
AMGN,0.23342466,1.23786278,0.02104385
AMH,-0.20659517,-1.05730219,0.02030853
AMP,0.22722072,1.07115081,0.01870691
AMT,0.22488102,1.33476844,0.02355334
AMZN,0.11529775,0.68053763,0.02342237
AN,0.44993152,2.65443469,0.02341128
ANET,0.22494273,1.82987581,0.03228116
AON,0.20223158,0.80198454,0.01573680
AOS,0.33303847,1.65469446,0.01971618
APA,0.13964629,1.11333752,0.03163712
APD,0.61802037,2.93183621,0.01882506
APH,0.03203595,0.18583462,0.02301911
APO,0.03194575,0.24398898,0.03030796
APP,0.01045580,0.17110487,0.06493887
APTV,0.05457388,0.38089733,0.02769635
AR,0.40762390,3.30438629,0.03216849
ARCC,0.36929900,1.08580554,0.01166738
ARE,0.18925100,1.11683588,0.02341804
ARES,0.26432641,1.75653740,0.02637037
ARGX,0.15011200,0.85254395,0.02253725
ARKK,0.13978881,1.26603302,0.03593950
ARM,0.33192008,4.04480765,0.04835750
ARMK,0.26687740,1.46796385,0.02182745
ASML,0.29555632,2.03801562,0.02736319
ASTS,-0.03661552,-0.75319298,0.08162826
ASX,0.18555153,1.29054049,0.02759984
ATI,0.15288864,0.98576532,0.02558573
ATO,0.30830443,1.28579930,0.01654980
AVB,0.03013371,0.14690271,0.01934535
AVGO,0.05713704,0.62843386,0.04364569
AVTR,0.17393102,1.10303492,0.02516585
AVY,0.23103765,1.09097116,0.01873829
AWK,0.12137029,0.56618576,0.01851169
AXON,-0.00555300,-0.05346371,0.03820595
AXP,0.24775080,1.26541808,0.02026835
AZN,0.06985580,0.28588387,0.01624002
AZO,-0.03462465,-0.15767452,0.01807072
