Ticker,ATR,ATRP,TRP,RSI,RelStrength,VolRegime,RVol,Spy_RVol,OBV_Score,Spy_OBV_Score,ROC_1,ROC_3,ROC_5,ROC_10,ROC_21,RollingStalePct,RollMedDollarVol,RollingSameVolCount,Calculated_Cutoff,Passed_Vol_Check,Passed_Final
NVDA,5.80558117,0.04216966,0.03580249,50.31797974,0.05577905,0.97872984,0.96210404,0.98164860,-0.86867524,1.05405110,0.03099608,0.04515502,0.01324031,-0.00433927,0.04325422,0.00000000,35389803487.87730408,0.00000000,64171297.73840001,True,True
SPY,7.34734073,0.01243954,0.01291810,55.64588021,0.00000000,0.73965364,0.98164860,0.98164860,1.05405110,1.05405110,0.01003979,0.02643401,0.02944129,0.02213362,-0.01186312,0.00000000,28303270556.14400101,0.00000000,64171297.73840001,True,True
TSLA,24.27798367,0.05692376,0.06077374,56.22374196,-0.06781486,0.97907568,1.08099903,0.98164860,-0.18829085,1.05405110,0.03064134,0.07604198,0.08045802,0.12449905,-0.07887348,0.00000000,18898512016.00000000,0.00000000,64171297.73840001,True,True
QQQ,8.85686707,0.01706174,0.02106309,54.46766223,-0.01730823,0.95031493,1.47629740,0.98164860,-0.68107917,1.05405110,0.01687787,0.03298503,0.02868631,0.02255863,-0.02896602,0.00000000,15981207195.59449959,0.00000000,64171297.73840001,True,True
AAPL,5.04876066,0.02205229,0.01752386,35.40460115,-0.07289181,1.45620089,1.25522946,0.98164860,-0.95474982,1.05405110,0.00753855,-0.01414546,-0.02900536,-0.05687698,-0.08389020,0.00000000,10079252068.28300095,0.00000000,64171297.73840001,True,True
MSFT,8.29964279,0.01948785,0.02307414,51.28824954,-0.03855151,1.00451898,1.31785610,0.98164860,-0.60957351,1.05405110,0.01047996,0.03214049,0.02405971,0.02496420,-0.04995728,0.00000000,7884476542.00499916,0.00000000,64171297.73840001,True,True
AMD,4.53610988,0.03734653,0.03540260,45.10181913,-0.02977194,0.79432771,0.90422024,0.98164860,-0.65317690,1.05405110,0.02549814,0.04625721,0.04670803,0.00688054,-0.04128187,0.00000000,7042622467.50000000,0.00000000,64171297.73840001,True,True
AMZN,5.15495280,0.02281558,0.02589183,56.54461591,-0.01836375,1.00215034,1.32263420,0.98164860,0.30381755,1.05405110,0.02392822,0.03756429,0.03197223,0.02597403,-0.03000902,0.00000000,6795723916.50000000,0.00000000,64171297.73840001,True,True
META,17.80257489,0.02914422,0.03476010,53.17412785,-0.00658948,1.18096758,1.30771508,0.98164860,0.30701487,1.05405110,0.00240573,0.03116570,-0.00501691,0.02257950,-0.01837442,0.00000000,6377908864.73999977,0.00000000,64171297.73840001,True,True
IWM,4.02969040,0.01807417,0.01099783,51.33068194,-0.02386935,0.54412267,0.89757824,0.98164860,2.20515662,1.05405110,0.00431994,0.02612334,0.03980058,0.01953530,-0.03544930,0.00000000,5850016731.48399925,0.00000000,64171297.73840001,True,True
SMCI,2.69867472,0.08756245,0.03471772,44.11540118,-0.06728437,0.51691980,0.65879469,0.98164860,-1.13010631,1.05405110,-0.00964010,0.00949885,-0.05460123,0.02562396,-0.07834928,0.00000000,4125237974.99999952,0.00000000,64171297.73840001,True,True
GOOGL,4.73951315,0.02427594,0.02204523,59.03094904,0.00860624,1.19970247,1.12846447,0.98164860,-0.54150397,1.05405110,0.01601815,0.03342685,0.02061780,0.03468104,-0.00335898,0.00000000,3992921649.19799995,0.00000000,64171297.73840001,True,True
AVGO,9.41939745,0.04002906,0.03659791,63.33836225,-0.03626048,0.51274838,0.91226229,0.98164860,1.50205082,1.05405110,0.03500238,0.05669816,0.05853775,0.02354047,-0.04769343,0.00000000,3747068384.51850033,0.00000000,64171297.73840001,True,True
TQQQ,2.07527807,0.05033662,0.05665082,52.67608902,-0.09510357,0.94126818,0.86440590,0.98164860,-1.19440330,1.05405110,0.04934957,0.09741165,0.08213098,0.05735866,-0.10583847,0.00000000,3558107795.33760023,0.00000000,64171297.73840001,True,True
TLT,0.89076222,0.01067102,0.00504703,44.69347650,-0.02035136,0.99835981,0.77261107,0.98164860,-0.12686811,1.05405110,0.00172324,0.02227641,0.02024356,-0.00433928,-0.03197305,0.00000000,3377096649.52935028,0.00000000,64171297.73840001,True,True
GOOG,4.72678198,0.02402015,0.02227315,59.26150983,0.00888840,1.18686915,1.27035071,0.98164860,-0.80850456,1.05405110,0.01615235,0.03402361,0.02267424,0.03629977,-0.00308017,0.00000000,2869547079.94050026,0.00000000,64171297.73840001,True,True
SOXL,2.26881720,0.07028989,0.08371956,58.35875241,0.01424279,0.72276876,1.04298016,0.98164860,1.69581878,1.05405110,0.08336158,0.15540601,0.15787623,0.17419805,0.00221071,0.00000000,2738526512.87290001,0.00000000,64171297.73840001,True,True
LQD,0.60147258,0.00589280,0.00299797,48.34790858,-0.00381528,1.13937942,0.84976462,0.98164860,1.34256481,1.05405110,0.00084328,0.01482432,0.01309181,-0.00065599,-0.01563314,0.00000000,2733938809.51380014,0.00000000,64171297.73840001,True,True
HYG,0.28970006,0.00386190,0.00163568,61.18897884,0.01596702,0.91105158,0.82761654,0.98164860,2.20905838,1.05405110,0.00088060,0.01081219,0.01184159,0.00786381,0.00391449,0.00000000,2572131788.31360006,0.00000000,64171297.73840001,True,True
IVV,7.32788428,0.01236467,0.01267871,55.56054854,-0.00037826,0.73770663,0.44168677,0.98164860,0.07893750,1.05405110,0.00948596,0.02610242,0.02902252,0.02180693,-0.01223689,0.00000000,2365792586.11199951,0.00000000,64171297.73840001,True,True
VOO,6.72066034,0.01238183,0.01252063,55.67102681,0.00008451,0.74106585,0.87987113,0.98164860,0.68116842,1.05405110,0.00959215,0.02653020,0.02916366,0.02232879,-0.01177961,0.00000000,2325749261.65149975,0.00000000,64171297.73840001,True,True
MSTR,32.24318438,0.08131951,0.07989912,59.14597934,-0.01772290,0.41585575,1.29796425,0.98164860,1.92774657,1.05405110,0.08038147,0.15878072,0.20917325,0.32162261,-0.02937576,0.00000000,2257653230.00000000,0.00000000,64171297.73840001,True,True
LLY,23.11494702,0.03208863,0.04490752,35.09278456,-0.05721153,1.53558936,1.36977152,0.98164860,-0.82803022,1.05405110,-0.04208029,-0.02576160,-0.09273683,-0.06728136,-0.06839594,0.00000000,2246072533.89299965,0.00000000,64171297.73840001,True,True
TSM,7.33856594,0.03516525,0.02184601,56.92776398,0.05844912,1.11286712,1.46689551,0.98164860,1.74350134,1.05405110,-0.01531609,0.04988630,0.01501946,0.04921066,0.04589262,0.00000000,2189167464.68300009,0.00000000,64171297.73840001,True,True
NFLX,2.16526781,0.02523328,0.02637222,44.84646575,-0.05719161,1.00401561,1.18635120,0.98164860,-0.98149935,1.05405110,0.01867350,0.03585225,0.02436462,-0.03228717,-0.06837625,0.00000000,2068887031.50000000,0.00000000,64171297.73840001,True,True
COIN,18.78330909,0.06356880,0.06335454,57.01194786,-0.05163998,0.85108401,1.57733376,0.98164860,1.07769778,1.05405110,0.04917800,0.15706622,0.14181931,0.14878893,-0.06289049,0.00000000,2041830626.00000000,0.00000000,64171297.73840001,True,True
MU,4.77206896,0.04527365,0.03196243,60.20728847,-0.01016606,0.76409542,0.68142706,0.98164860,0.72237690,1.05405110,0.03070454,0.08617918,0.06453030,0.21092956,-0.02190858,0.00000000,2003437628.19155025,0.00000000,64171297.73840001,True,True
UNH,15.19339373,0.03053899,0.03731196,41.72381981,0.03486370,1.72145861,1.29715979,0.98164860,-1.45102547,1.05405110,-0.00162547,-0.06249258,-0.02099080,0.01040651,0.02258699,0.00000000,1771766962.23400021,0.00000000,64171297.73840001,True,True
XOM,2.02041128,0.01864811,0.01824743,59.72323241,0.04792821,1.05919099,1.29938108,0.98164860,1.43612867,1.05405110,0.00898686,0.02369704,0.05425813,0.04669069,0.03549651,0.00000000,1724011755.05599999,0.00000000,64171297.73840001,True,True
V,4.57198995,0.01440605,0.01214056,60.39145278,0.02395620,0.87663164,0.88603071,0.98164860,0.60804137,1.05405110,0.00746953,0.03406862,0.03870524,0.01660244,0.01180889,0.00000000,1709943479.25600004,0.00000000,64171297.73840001,True,True
XLF,0.68654452,0.01385825,0.01174595,62.95966608,0.03235230,0.63027756,1.06688114,0.98164860,1.80872120,1.05405110,0.00843338,0.04103581,0.06149722,0.04190064,0.02010539,0.00000000,1664660093.56290007,0.00000000,64171297.73840001,True,True
JPM,5.05162242,0.01980267,0.03272076,73.30948992,0.10036779,0.38502270,1.74375769,0.98164860,2.27005966,1.05405110,0.01923008,0.04723472,0.08041557,0.08540794,0.08731400,0.00000000,1651768434.61500001,0.00000000,64171297.73840001,True,True
SMH,6.44828234,0.02504683,0.02474665,59.34250484,0.03656182,0.75895306,1.03613682,0.98164860,1.26185030,1.05405110,0.02362558,0.05219083,0.04478660,0.05498482,0.02426497,0.00000000,1634326912.38849998,0.00000000,64171297.73840001,True,True
INTC,0.79584192,0.03703313,0.09073988,58.85283216,0.04407101,1.32295887,2.83403434,0.98164860,2.36925797,1.05405110,0.09252669,0.11927083,0.12219321,0.06280910,0.03168507,0.00000000,1512085134.00000000,0.00000000,64171297.73840001,True,True
COST,17.02439803,0.01814399,0.02549840,52.42281912,-0.03863183,1.37966204,1.17066893,0.98164860,-0.11211569,1.05405110,0.02548482,0.02830233,0.00667113,0.03668929,-0.05003665,0.00000000,1508487146.39499998,0.00000000,64171297.73840001,True,True
BRK-B,6.47810911,0.01384359,0.01651886,61.80522067,0.04035148,0.59387426,1.55370328,0.98164860,1.94670744,1.05405110,0.01110607,0.03981957,0.05713188,0.03735314,0.02800967,0.00000000,1473762198.50000000,0.00000000,64171297.73840001,True,True
PLTR,4.04430804,0.05635095,0.04319353,51.36960642,-0.04116650,0.72135667,0.62374462,0.98164860,-0.45034905,1.05405110,0.03653957,0.08890912,0.06705323,-0.04548477,-0.05254125,0.00000000,1472800860.00000000,0.00000000,64171297.73840001,True,True
ADBE,11.70730056,0.02722691,0.02393079,40.12253217,-0.05715281,0.44586336,0.91741450,0.98164860,0.51053999,1.05405110,0.00716745,0.04186959,0.05929740,-0.02496599,-0.06833792,0.00000000,1439199263.50000000,0.00000000,64171297.73840001,True,True
BRK-A,9847.76788561,0.01401299,0.01721214,61.75523923,0.04008408,0.55274902,1.15813396,0.98164860,1.47939405,1.05405110,0.01422419,0.03995501,0.05996983,0.04035529,0.02774544,0.00000000,1433612050.00000000,17.00000000,64171297.73840001,True,False
CRM,8.79734331,0.02728239,0.02948628,44.12830901,-0.07949799,0.70978794,1.11734691,0.98164860,-0.81046226,1.05405110,0.01425183,0.00315142,0.02111227,-0.01844665,-0.09041801,0.00000000,1424063698.52749991,0.00000000,64171297.73840001,True,True
