Date,RPRX,SGOV,SHV,BIL,SNX,MINT,TRGP,QRVO,LNG,USFR
2025-01-02,0.01473599,0.00019935,0.00017972,0.00021878,0.02008944,0.00029964,0.02627685,0.02551606,0.03322811,0.00039762
2025-01-03,0.00909744,0.00039857,0.00036879,0.00032813,0.01831275,0.00069707,0.02444327,0.02548492,0.01869871,0.00039754
2025-01-06,0.02698958,0.00019929,0.00017964,0.00021759,0.02603399,0.00019927,0.01750986,0.03105073,0.01357613,0.00019873
2025-01-07,0.01958661,0.00029887,0.00017960,0.00032916,0.04016579,0.00029842,0.02715646,0.02797773,0.01937109,0.00039738
2025-01-08,0.02309438,0.00019921,0.00008508,0.00021750,0.02751471,0.00039843,0.02625386,0.02463054,0.02131512,0.00019865
2025-01-10,0.12496002,0.00049782,0.00036856,0.00043826,0.09238169,0.00059654,0.02503807,0.02524759,0.02646555,0.00059559
2025-01-13,0.04301454,0.00019909,0.00017952,0.00021740,0.02898252,0.00029821,0.02633145,0.02593520,0.02615037,0.00019849
2025-01-14,0.01764652,0.00009953,0.00009448,0.00021849,0.02653516,0.00029815,0.03322048,0.01750893,0.05750963,0.00059317
2025-01-15,0.02635028,0.00009952,0.00017947,0.00010923,0.02620227,0.00039811,0.02160191,0.03000270,0.02245217,0.00019841
2025-01-16,0.03160060,0.00019905,0.00009445,0.00010923,0.01785714,0.00039799,0.03568754,0.01902432,0.03824332,0.00019841
2025-01-17,0.01824353,0.00059685,0.00045316,0.00054587,0.01298759,0.00059669,0.03189352,0.12931956,0.02476781,0.00039667
2025-01-21,0.01798662,0.00019893,0.00017934,0.00010917,0.03572971,0.00009997,0.01717542,0.05617721,0.02479947,0.00039659
2025-01-22,0.01911679,0.00019889,0.00009439,0.00021830,0.01441729,0.00039771,0.04676524,0.02698358,0.07211653,0.00019833
2025-01-23,0.01975733,0.00009944,0.00017931,0.00010915,0.01990205,0.00029875,0.02095643,0.04598653,0.01702815,0.00039659
2025-01-24,0.01577405,0.00039762,0.00045283,0.00043641,0.01690962,0.00049628,0.02200548,0.03241511,0.03429139,0.00059465
2025-01-27,0.02553619,0.00019881,0.00017921,0.00010909,0.01459055,0.00019872,0.06058290,0.04598882,0.04445943,0.00039636
2025-01-28,0.01624779,0.00029813,0.00008488,0.00010909,0.01219877,0.00009988,0.02050660,0.04534857,0.02128371,0.00039832
