Date,SHV,BIL,QRVO,MINT,RPRX,USFR,TRGP,SNX,SGOV,LNG
2025-01-02,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
2025-01-03,1.00027431,1.00010939,1.01247133,1.00049801,1.00193989,1.00019881,1.01699117,1.01245041,1.00029902,1.00852320
2025-01-06,1.00045403,1.00021764,1.03411697,1.00069742,0.99844968,1.00039762,1.01693534,1.01562609,1.00029902,1.01500595
2025-01-07,1.00063374,1.00043755,1.05547592,1.00059719,1.00969546,1.00059642,1.02600325,1.05794529,1.00049836,1.01319425
2025-01-08,1.00063374,1.00065519,1.04759174,1.00099602,1.01589674,1.00079523,1.04872887,1.04824424,1.00069771,1.02080703
2025-01-10,1.00090805,1.00098450,1.02766628,1.00109625,1.14346818,1.00139165,1.05594300,1.15050115,1.00109640,1.02094428
2025-01-13,1.00108777,1.00109275,1.03081995,1.00129566,1.16285513,1.00159046,1.07871888,1.14045208,1.00129575,1.04007228
2025-01-14,1.00118236,1.00131152,1.04386468,1.00149507,1.16440545,1.00198600,1.10008208,1.16792824,1.00139542,1.10194894
2025-01-15,1.00136208,1.00142091,1.06307339,1.00179367,1.19193754,1.00198600,1.12258436,1.16981625,1.00149509,1.11459877
2025-01-16,1.00145666,1.00142091,1.05490252,1.00209331,1.20007871,1.00198600,1.16328388,1.17762929,1.00149509,1.14986733
2025-01-17,1.00191069,1.00196786,1.20713876,1.00259132,1.19232313,1.00238362,1.17841568,1.17702896,1.00199346,1.14578644
2025-01-21,1.00209041,1.00196786,1.25544725,1.00259132,1.17487607,1.00258243,1.18660696,1.20853344,1.00209313,1.13159484
2025-01-22,1.00209041,1.00218663,1.24842317,1.00279073,1.16634534,1.00238362,1.15410429,1.21479780,1.00229248,1.05784152
2025-01-23,1.00227013,1.00218663,1.29830849,1.00299014,1.18728261,1.00258243,1.15476317,1.22931022,1.00239215,1.06205966
2025-01-24,1.00263902,1.00262419,1.27494266,1.00348815,1.20434408,1.00298004,1.14208819,1.22715250,1.00269117,1.05104310
2025-01-27,1.00281874,1.00273358,1.25616399,1.00348815,1.22993628,1.00317885,1.08838983,1.21587666,1.00269117,1.01749931
2025-01-28,1.00290387,1.00273358,1.22964450,1.00348815,1.23846701,1.00341908,1.10548709,1.22104476,1.00299019,1.02661268
