,Value
portfolio_series,"<Series shape=(17,)>"
benchmark_series,"<Series shape=(17,)>"
normalized_plot_data,"<DataFrame shape=(17, 10)>"
tickers,"['RPRX', 'SGOV', 'SHV', 'BIL', 'SNX', 'MINT', 'TRGP', 'QRVO', 'LNG', 'USFR']"
initial_weights,"<Series shape=(10,)>"
perf_metrics,"{'full_p_gain': 0.08367908991328399, 'full_p_sharpe': 10.048099144382226, 'full_p_sharpe_atrp': 0.3908509489614872, 'full_p_sharpe_trp': 0.31596683568073697, 'lookback_p_gain': 0.09115399156232074, 'lookback_p_sharpe': 23.587657603938236, 'lookback_p_sharpe_atrp': 0.7154349157945373, 'lookback_p_sharpe_trp': 0.5455843173699623, 'holding_p_gain': -0.011301083804511447, 'holding_p_sharpe': -5.071286643142111, 'holding_p_sharpe_atrp': -0.17210186461694463, 'holding_p_sharpe_trp': -0.15385045989849813, 'full_b_gain': 0.034003398782391336, 'full_b_sharpe': 3.575198806729765, 'full_b_sharpe_atrp': 0.17460368945308, 'full_b_sharpe_trp': 0.16618696908722327, 'lookback_b_gain': 0.022133618526478882, 'lookback_b_sharpe': 3.4734882627039427, 'lookback_b_sharpe_atrp': 0.17886692615622382, 'lookback_b_sharpe_trp': 0.16179112987440686, 'holding_b_gain': 0.0024377149567991196, 'holding_b_sharpe': 0.8946109530190471, 'holding_b_sharpe_atrp': 0.04462293285535193, 'holding_b_sharpe_trp': 0.047327486643585805}"
results_df,"<DataFrame shape=(10, 3)>"
start_date,2025-01-02 00:00:00
decision_date,2025-01-17 00:00:00
buy_date,2025-01-21 00:00:00
holding_end_date,2025-01-28 00:00:00
portfolio_atrp_series,"<Series shape=(17,)>"
benchmark_atrp_series,"<Series shape=(17,)>"
portfolio_trp_series,"<Series shape=(17,)>"
benchmark_trp_series,"<Series shape=(17,)>"
error_msg,
