Ticker,ATR,ATRP,TRP,RSI,RelStrength,VolRegime,RVol,Spy_RVol,OBV_Score,Spy_OBV_Score,ROC_1,ROC_3,ROC_5,ROC_10,ROC_21,RollingStalePct,RollMedDollarVol,RollingSameVolCount,Calculated_Cutoff,Passed_Vol_Check,Passed_Final
NVDA,5.80564749,0.04217014,0.03580249,50.31797974,0.05577905,0.97872984,0.96210404,0.98164851,-0.86867532,1.05405093,0.03099608,0.04515502,0.01324031,-0.00433927,0.04325422,0.00000000,35389805662.19979858,0.00000000,64074969.38559001,True,True
SPY,7.34734292,0.01243955,0.01291810,55.64589101,0.00000000,0.73965364,0.98164851,0.98164851,1.05405093,1.05405093,0.01003979,0.02643401,0.02944129,0.02213362,-0.01186312,0.00000000,28303269578.35600281,0.00000000,64074969.38559001,True,True
TSLA,24.27798367,0.05692376,0.06077374,56.22374196,-0.06781486,0.97907568,1.08099903,0.98164851,-0.18829085,1.05405093,0.03064134,0.07604198,0.08045802,0.12449905,-0.07887348,0.00000000,18898512016.00000000,0.00000000,64074969.38559001,True,True
QQQ,8.85688411,0.01706177,0.02106502,54.46766707,-0.01730823,0.95031493,1.47629727,0.98164851,-0.68107940,1.05405093,0.01687787,0.03298503,0.02868631,0.02255863,-0.02896602,0.00000000,15981206471.65000153,0.00000000,64074969.38559001,True,True
AAPL,5.04876072,0.02205229,0.01752386,35.40460108,-0.07289181,1.45620089,1.25522939,0.98164851,-0.95474988,1.05405093,0.00753855,-0.01414546,-0.02900536,-0.05687698,-0.08389020,0.00000000,10079251702.96300125,0.00000000,64074969.38559001,True,True
MSFT,8.29966285,0.01948790,0.02307414,51.28824954,-0.03855151,1.00451898,1.31785622,0.98164851,-0.60957349,1.05405093,0.01047996,0.03214049,0.02405971,0.02496420,-0.04995728,0.00000000,7884476939.96699905,0.00000000,64074969.38559001,True,True
AMD,4.53610988,0.03734653,0.03540260,45.10181913,-0.02977194,0.79432771,0.90422024,0.98164851,-0.65317690,1.05405093,0.02549814,0.04625721,0.04670803,0.00688054,-0.04128187,0.00000000,7042622467.50000000,0.00000000,64074969.38559001,True,True
AMZN,5.15495280,0.02281558,0.02589183,56.54461591,-0.01836375,1.00215034,1.32263420,0.98164851,0.30381755,1.05405093,0.02392822,0.03756429,0.03197223,0.02597403,-0.03000902,0.00000000,6795723916.50000000,0.00000000,64074969.38559001,True,True
META,17.80261717,0.02914429,0.03476010,53.17414415,-0.00658948,1.18096119,1.30771510,0.98164851,0.30701477,1.05405093,0.00240573,0.03116570,-0.00501691,0.02257950,-0.01837442,0.00000000,6377908355.48600006,0.00000000,64074969.38559001,True,True
IWM,4.02969040,0.01807417,0.01099783,51.33067498,-0.02386935,0.54412267,0.89757826,0.98164851,2.20515665,1.05405093,0.00431994,0.02612334,0.03980058,0.01953530,-0.03544930,0.00000000,5850016731.48399925,0.00000000,64074969.38559001,True,True
SMCI,2.69867472,0.08756245,0.03471772,44.11540118,-0.06728437,0.51691980,0.65879469,0.98164851,-1.13010631,1.05405093,-0.00964010,0.00949885,-0.05460123,0.02562396,-0.07834928,0.00000000,4125237974.99999952,0.00000000,64074969.38559001,True,True
GOOGL,4.73951315,0.02427594,0.02204523,59.03094904,0.00860624,1.19970247,1.12846439,0.98164851,-0.54150404,1.05405093,0.01601815,0.03342685,0.02061780,0.03468104,-0.00335898,0.00000000,3992921824.79099989,0.00000000,64074969.38559001,True,True
AVGO,9.41938091,0.04002899,0.03659791,63.33834268,-0.03626048,0.51274864,0.91226210,0.98164851,1.50205078,1.05405093,0.03500238,0.05669816,0.05853775,0.02353601,-0.04769343,0.00000000,3747068403.87500000,0.00000000,64074969.38559001,True,True
TQQQ,2.07527720,0.05033660,0.05665082,52.67608895,-0.09510357,0.94126818,0.86440591,0.98164851,-1.19440329,1.05405093,0.04934957,0.09741165,0.08213098,0.05735866,-0.10583847,0.00000000,3558107720.05900002,0.00000000,64074969.38559001,True,True
TLT,0.89076653,0.01067107,0.00504703,44.69354481,-0.02035136,0.99835019,0.77261110,0.98164851,-0.12686795,1.05405093,0.00172324,0.02227641,0.02024356,-0.00433928,-0.03197305,0.00000000,3377096201.37425041,0.00000000,64074969.38559001,True,True
GOOG,4.72678818,0.02402019,0.02227315,59.26150983,0.00888840,1.18686915,1.27035069,0.98164851,-0.80850452,1.05405093,0.01615235,0.03402361,0.02267424,0.03629977,-0.00308017,0.00000000,2869546828.02999973,0.00000000,64074969.38559001,True,True
SOXL,2.26881459,0.07028981,0.08371956,58.35876326,0.01424279,0.72276876,1.04298015,0.98164851,1.69581877,1.05405093,0.08336158,0.15540601,0.15787623,0.17419805,0.00221071,0.00000000,2738526494.52900028,0.00000000,64074969.38559001,True,True
LQD,0.60147258,0.00589280,0.00299797,48.34788495,-0.00381528,1.13921865,0.84976396,0.98164851,1.34256464,1.05405093,0.00084328,0.01482432,0.01309181,-0.00065599,-0.01563314,0.00000000,2733939861.64649963,0.00000000,64074969.38559001,True,True
HYG,0.28969579,0.00386184,0.00163568,61.18885312,0.01596702,0.91102079,0.82761662,0.98164851,2.20905834,1.05405093,0.00088060,0.01081219,0.01184159,0.00786381,0.00391449,0.00000000,2572131638.41580009,0.00000000,64074969.38559001,True,True
IVV,7.32780048,0.01236453,0.01267702,55.56067815,-0.00037826,0.73765870,0.44168674,0.98164851,0.07893770,1.05405093,0.00948424,0.02610242,0.02902252,0.02180693,-0.01223689,0.00000000,2365792604.36699963,0.00000000,64074969.38559001,True,True
VOO,6.72068521,0.01238188,0.01252063,55.67117267,0.00008451,0.74107553,0.87987131,0.98164851,0.68116881,1.05405093,0.00959215,0.02653020,0.02916366,0.02232879,-0.01177961,0.00000000,2325749015.67299986,0.00000000,64074969.38559001,True,True
MSTR,32.24318438,0.08131951,0.07989912,59.14597934,-0.01772290,0.41585575,1.29796425,0.98164851,1.92774657,1.05405093,0.08038147,0.15878072,0.20917325,0.32162261,-0.02937576,0.00000000,2257653230.00000000,0.00000000,64074969.38559001,True,True
LLY,23.11495015,0.03208863,0.04490752,35.09276488,-0.05721153,1.53558936,1.36977152,0.98164851,-0.82803022,1.05405093,-0.04208029,-0.02576160,-0.09273683,-0.06728136,-0.06839594,0.00000000,2246072533.89299965,0.00000000,64074969.38559001,True,True
TSM,7.33854069,0.03516513,0.02184601,56.92776587,0.05844912,1.11286712,1.46689543,0.98164851,1.74350133,1.05405093,-0.01531609,0.04988630,0.01501946,0.04921066,0.04589262,0.00000000,2189167415.09850025,0.00000000,64074969.38559001,True,True
NFLX,2.16526781,0.02523328,0.02637222,44.84646575,-0.05719161,1.00401561,1.18635120,0.98164851,-0.98149935,1.05405093,0.01867350,0.03585225,0.02436462,-0.03228717,-0.06837625,0.00000000,2068887031.50000000,0.00000000,64074969.38559001,True,True
COIN,18.78330909,0.06356880,0.06335454,57.01194786,-0.05163998,0.85108401,1.57733376,0.98164851,1.07769778,1.05405093,0.04917800,0.15706622,0.14181931,0.14878893,-0.06289049,0.00000000,2041830626.00000000,0.00000000,64074969.38559001,True,True
MU,4.77206898,0.04527365,0.03196243,60.20728463,-0.01016606,0.76409542,0.68142702,0.98164851,0.72237682,1.05405093,0.03070454,0.08617918,0.06453030,0.21092956,-0.02190858,0.00000000,2003437564.85905027,0.00000000,64074969.38559001,True,True
UNH,15.19337178,0.03053895,0.03731196,41.72381991,0.03486370,1.72145861,1.29715981,0.98164851,-1.45102549,1.05405093,-0.00162547,-0.06249258,-0.02099080,0.01040651,0.02258699,0.00000000,1771767211.09999990,0.00000000,64074969.38559001,True,True
XOM,2.02041128,0.01864811,0.01824743,59.72323240,0.04792821,1.05919099,1.29938108,0.98164851,1.43612867,1.05405093,0.00898686,0.02369704,0.05425813,0.04669069,0.03549651,0.00000000,1724011755.05599999,0.00000000,64074969.38559001,True,True
V,4.57200351,0.01440609,0.01214056,60.39145445,0.02395620,0.87663164,0.88603054,0.98164851,0.60804132,1.05405093,0.00746953,0.03406862,0.03870524,0.01660244,0.01180889,0.00000000,1709943084.12199998,0.00000000,64074969.38559001,True,True
XLF,0.68654561,0.01385827,0.01174595,62.95967011,0.03235230,0.63027756,1.06688118,0.98164851,1.80872116,1.05405093,0.00843338,0.04103581,0.06149722,0.04190064,0.02010539,0.00000000,1664660093.56290007,0.00000000,64074969.38559001,True,True
JPM,5.05161864,0.01980266,0.03272076,73.30948179,0.10036779,0.38502270,1.74375780,0.98164851,2.27005967,1.05405093,0.01923008,0.04723472,0.08041557,0.08540794,0.08731400,0.00000000,1651768434.61500001,0.00000000,64074969.38559001,True,True
SMH,6.44829560,0.02504689,0.02474665,59.34245255,0.03656182,0.75895306,1.03613681,0.98164851,1.26185031,1.05405093,0.02362558,0.05219083,0.04478660,0.05498482,0.02426497,0.00000000,1634326912.38849998,0.00000000,64074969.38559001,True,True
INTC,0.79584192,0.03703313,0.09073988,58.85283216,0.04407101,1.32295887,2.83403434,0.98164851,2.36925797,1.05405093,0.09252669,0.11927083,0.12219321,0.06280910,0.03168507,0.00000000,1512085134.00000000,0.00000000,64074969.38559001,True,True
