Ticker,Strategy_Score,Lookback_Return_Ann,Lookback_ATRP
A,0.32146928,2.53048120,0.02276888
AA,0.11733489,1.08357368,0.03906963
AAL,0.18930919,1.89489245,0.03491020
AAPL,-0.23582219,-1.43760630,0.01936706
ABBV,-0.17748967,-0.87989736,0.01921513
ABNB,0.10124313,0.73929492,0.02822459
ABT,0.04088519,0.15679618,0.01544976
ACGL,0.21546336,1.14335886,0.01911347
ACM,0.11826373,0.63412883,0.01909125
ACN,0.07394036,0.39112456,0.02207074
ACWI,0.16031811,0.50618155,0.01131822
ADBE,-0.09458232,-0.59996066,0.02938337
ADI,0.13276732,0.95652706,0.02633589
ADM,0.09340538,0.55075478,0.02275825
ADP,0.14092036,0.57511733,0.01510495
ADSK,-0.02286047,-0.13306189,0.02221579
AEE,0.30582842,1.45647243,0.01678943
AEM,0.12736665,0.95101224,0.02627368
AEP,0.28958465,1.43296047,0.01691641
AER,-0.03528959,-0.16300855,0.01976746
AES,-0.25739519,-2.43276528,0.03627626
AFL,0.21309157,1.01735603,0.01759814
AFRM,-0.11160415,-1.68893865,0.06501987
AGCO,0.34655918,2.79014228,0.03066311
AGG,0.00389979,0.00420170,0.00424281
AGNC,0.20346392,0.89936846,0.01710070
AIG,0.13534868,0.73847822,0.01917837
AJG,0.33745714,1.69240433,0.02009440
AKAM,-0.17049570,-1.15360391,0.02393153
ALAB,-0.00616009,-0.10044041,0.06037381
ALB,0.34086224,3.48530173,0.04189697
ALC,0.07880291,0.28129293,0.01536177
ALGN,0.19984697,1.89187354,0.03514029
ALL,-0.04281296,-0.32606627,0.02316298
ALLE,0.19933355,0.97959599,0.01882822
ALLY,0.11075218,0.87722942,0.02879923
ALNY,0.14172054,1.51212867,0.03272560
AMAT,0.45194561,4.10072306,0.02882540
AMCR,0.20419955,0.93528392,0.01920084
AMD,0.02939893,0.28952383,0.03797985
AME,0.07833686,0.34315336,0.01620429
AMGN,0.23987454,1.23785876,0.02104396
AMH,-0.18068008,-1.05730219,0.02030860
AMP,0.19709806,1.07115081,0.01870691
AMT,0.19745814,1.33477073,0.02355302
AMZN,0.11533109,0.68053763,0.02342237
AN,0.42994219,2.65443469,0.02341128
ANET,0.22455307,1.82987581,0.03228116
AON,0.18280987,0.80198454,0.01573680
AOS,0.28784731,1.65469495,0.01971607
APA,0.13292246,1.11333752,0.03163713
APD,0.48775529,2.93183621,0.01882506
APH,0.02730745,0.18583462,0.02301903
APO,0.03279992,0.24398898,0.03030796
APP,0.01153188,0.17110487,0.06493887
APTV,0.06024931,0.38089733,0.02769635
AR,0.37687673,3.30438629,0.03216849
ARCC,0.38099221,1.08580554,0.01166756
ARE,0.18820860,1.11681366,0.02341837
ARES,0.23511088,1.75653740,0.02636995
ARGX,0.12886263,0.85254395,0.02253725
ARKK,0.12964261,1.26603302,0.03593950
ARM,0.31499878,4.04480765,0.04835750
ARMK,0.26069872,1.46796385,0.02182739
ASML,0.23558485,2.03801562,0.02736318
ASTS,-0.04272859,-0.75319298,0.08162826
ASX,0.17527178,1.29054049,0.02759984
ATI,0.16699547,0.98576532,0.02558573
ATO,0.28477934,1.28579477,0.01654980
AVB,0.02785317,0.14688508,0.01934479
AVGO,0.06696375,0.62843386,0.04364563
AVTR,0.13497138,1.10303492,0.02516585
AVY,0.22024228,1.09097116,0.01873829
AWK,0.11666233,0.56618576,0.01851207
AXON,-0.00589459,-0.05346371,0.03820595
AXP,0.23376944,1.26541808,0.02026827
AZN,0.07016695,0.28588387,0.01624002
AZO,-0.03720536,-0.15767452,0.01807072
B,0.01019739,0.07030408,0.02587499
BA,-0.01330173,-0.09895230,0.03132993
BABA,0.01682132,0.08912883,0.02379287
BAC,0.21579229,1.27212980,0.01966136
BAH,0.21498315,1.53938626,0.02995451
BALL,-0.00804988,-0.04594798,0.02208678
BAX,0.22718342,1.46762993,0.02472784
BBJP,-0.11124265,-0.32017721,0.01136792
BBY,-0.20806037,-1.25679689,0.02764404
BCE,-0.01361258,-0.08442714,0.02362300
BCS,0.31085788,2.19854428,0.02177673
BDX,0.21974550,1.19465072,0.01847277
BEKE,-0.11554745,-1.05028223,0.04178570
BEN,-0.09756210,-0.70066484,0.02862493
BF-B,-0.20952442,-1.96552406,0.03434483
BG,0.10676047,0.66987711,0.02444011
BHP,0.11912193,0.45579903,0.01592769
BIDU,0.01882297,0.12714464,0.02879178
BIIB,-0.23995467,-1.59802036,0.02502736
BIL,0.73353837,0.04954874,0.00025058
BILI,0.05098262,0.57968427,0.05019787
BIV,-0.01650461,-0.01824745,0.00436600
BJ,0.25358789,1.94515483,0.02594135
BK,0.31182194,1.94146724,0.01839191
BKLN,0.27543483,0.09561633,0.00150480
BKNG,0.00554574,0.03210913,0.02004828
BKR,0.44936512,2.88489565,0.02244141
BLD,0.35016887,2.82468882,0.03298142
BLDR,0.37014886,3.76123866,0.03420466
BLK,-0.03776476,-0.24498272,0.02168611
BMRN,-0.25950862,-1.90178984,0.02550462
BMY,0.01370418,0.06203688,0.02016432
BN,0.04781947,0.34217905,0.02523969
BND,0.00452461,0.00490404,0.00426271
BNDX,-0.11003370,-0.09667502,0.00300265
BNS,-0.24996524,-0.96624964,0.01368037
BP,0.27634347,1.46708274,0.01845248
BR,0.08677161,0.42338763,0.01696277
BRK-B,0.26048517,0.93982284,0.01392924
BRKR,-0.05553893,-0.73460522,0.03653019
BRO,0.28191465,1.23829207,0.01719313
BROS,0.12969547,1.55419637,0.04057489
BSV,0.03601450,0.01988394,0.00202594
BSX,0.48748420,2.52377447,0.01773511
BTI,-0.03641406,-0.15096009,0.01293783
BUD,-0.17445680,-0.93421294,0.01768053
BURL,0.05969236,0.43695079,0.02877522
BWA,0.12474369,0.79244504,0.02631659
BX,0.12727032,0.95557823,0.02777135
BXP,-0.01715467,-0.12119866,0.02898713
C,0.49556793,3.46577649,0.02078963
CAG,-0.33009504,-1.71510422,0.02066750
CAH,0.33922946,1.72297625,0.01847699
CARR,0.08837654,0.50845158,0.02236488
CART,0.18335430,1.96239763,0.03601449
CASY,-0.03426610,-0.18858555,0.02170318
CAT,0.32675417,1.81413574,0.02116828
CB,-0.04371839,-0.24919254,0.01777814
CBOE,-0.03856008,-0.20340763,0.02105150
CBRE,0.16884605,1.41222606,0.02662206
CCEP,0.03941951,0.19085066,0.01730692
CCI,0.09339706,0.55749181,0.02102559
CCJ,-0.01339189,-0.14650129,0.03950639
CCK,0.23992253,1.35470445,0.02043874
CCL,0.09945348,0.87461711,0.03500299
