Date,TRGP,QRVO
2025-01-02,179.09300000,69.76000000
2025-01-03,182.13600000,70.63000000
2025-01-06,182.12600000,72.14000000
2025-01-07,183.75000000,73.63000000
2025-01-08,187.82000000,73.08000000
2025-01-10,189.11200000,71.69000000
2025-01-13,193.19100000,71.91000000
2025-01-14,197.01700000,72.82000000
2025-01-15,201.04700000,74.16000000
2025-01-16,208.33600000,73.59000000
2025-01-17,211.04600000,84.21000000
2025-01-21,212.51300000,87.58000000
2025-01-22,206.69200000,87.09000000
2025-01-23,206.81000000,90.57000000
2025-01-24,204.54000000,88.94000000
2025-01-27,194.92300000,87.63000000
2025-01-28,197.98500000,85.78000000
