Ticker,ATR,ATRP,TRP,RSI,RelStrength,VolRegime,RVol,Spy_RVol,OBV_Score,Spy_OBV_Score,ROC_1,ROC_3,ROC_5,ROC_10,ROC_21,RollingStalePct,RollMedDollarVol,RollingSameVolCount,Calculated_Cutoff,Passed_Vol_Check,Passed_Final
SPY,7.26311112,0.01059467,0.01114006,60.94167782,0.00000000,0.45506244,1.07243747,1.07243747,1.33705143,1.33705143,0.00663115,0.00274109,0.00538075,0.01859201,0.00899575,0.00000000,41277078808.39199829,0.00000000,92059076.50000000,True,True
TSLA,17.09222559,0.03786073,0.02939417,58.04750962,0.00493021,0.78177416,0.87979116,1.07243747,1.98629954,1.33705143,0.01410697,-0.00780220,0.01054305,0.07641869,0.01397031,0.00000000,32626081020.00000000,0.00000000,92059076.50000000,True,True
NVDA,6.36333714,0.03462475,0.01871803,49.00213009,-0.08489542,0.66185963,0.79889350,1.07243747,-0.87792123,1.33705143,-0.00643348,0.00751055,0.02338791,0.03357516,-0.07666337,0.00000000,29915350482.94899750,0.00000000,92059076.50000000,True,True
QQQ,9.29714252,0.01483266,0.01309664,60.56620937,-0.00195088,0.26192674,0.95422724,1.07243747,1.65148457,1.33705143,0.00409454,0.00340497,0.00655835,0.03074294,0.00702732,0.00000000,24335550310.49250031,0.00000000,92059076.50000000,True,True
AAPL,4.96069350,0.01779429,0.01187316,58.82123768,0.02547795,0.62316315,0.75279292,1.07243747,-0.04041927,1.33705143,0.00577242,0.00000000,-0.01889847,0.00653500,0.03470289,0.00000000,11112928717.18249893,0.00000000,92059076.50000000,True,True
MSFT,9.99299361,0.02088138,0.03539786,40.80058182,-0.06090747,1.14310519,1.38562506,1.07243747,0.54178832,1.33705143,-0.02735661,-0.00952066,0.00173738,0.00329147,-0.05245963,0.00000000,9254857976.77099991,0.00000000,92059076.50000000,True,True
PLTR,7.74654468,0.04122476,0.04550051,61.53398224,-0.03809370,0.50771391,1.45399309,1.07243747,1.16249672,1.33705143,0.03338099,0.03383583,0.06718537,0.14894528,-0.02944063,0.00000000,9214894263.00000000,0.00000000,92059076.50000000,True,True
META,17.02358126,0.02620625,0.02085745,50.50199469,0.01990267,1.19672025,0.93953952,1.07243747,-0.14685337,1.33705143,-0.01039723,-0.03458464,0.01646275,0.02186405,0.02907746,0.00000000,8730558389.41550064,0.00000000,92059076.50000000,True,True
AMZN,5.58911672,0.02411389,0.01941496,51.41534376,-0.07522724,0.73667266,0.92672834,1.07243747,1.10046684,1.33705143,0.01693577,0.00980264,-0.00258198,0.00918709,-0.06690821,0.00000000,8569014765.00000000,0.00000000,92059076.50000000,True,True
IWM,4.26993458,0.01681355,0.02366533,65.00134218,0.03486570,0.50062302,1.15595262,1.07243747,1.98496594,1.33705143,0.01360208,0.01610838,0.02074792,0.03948656,0.04417509,0.00000000,6918599130.70349979,0.00000000,92059076.50000000,True,True
GOOGL,8.98222637,0.02805105,0.02070516,66.10337142,0.09466784,0.68865777,0.78234638,1.07243747,1.36483419,1.33705143,0.00987133,-0.00264748,0.00247009,-0.00934013,0.10451519,0.00000000,6441752042.76399994,0.00000000,92059076.50000000,True,True
AVGO,15.00723877,0.03640934,0.03644273,68.08924412,0.14201657,0.31998692,1.44911715,1.07243747,2.39602127,1.33705143,0.01644086,0.05824465,0.08502091,0.07256405,0.15228987,0.00000000,5965063889.17749977,0.00000000,92059076.50000000,True,True
AMD,10.75020537,0.04855119,0.01779424,48.73775657,-0.10055775,0.23082812,0.49476574,1.07243747,-0.18955300,1.33705143,-0.00090245,0.01582787,0.01755515,0.07417649,-0.09246660,0.00000000,5917527342.00000000,0.00000000,92059076.50000000,True,True
TQQQ,2.39418214,0.04232891,0.03883390,59.04242866,-0.00372823,0.25871627,0.90741477,1.07243747,1.43462044,1.33705143,0.01142655,0.00890440,0.01723831,0.08921271,0.00523398,0.00000000,4964409488.95320034,0.00000000,92059076.50000000,True,True
MSTR,14.27956048,0.07733731,0.04803943,39.04197531,-0.23395080,0.68994744,1.00997770,1.07243747,-0.36025780,1.33705143,-0.02301709,0.03156601,-0.01990552,0.07230385,-0.22705961,0.00000000,4505172623.50000000,0.00000000,92059076.50000000,True,True
GOOG,8.90889836,0.02775358,0.02015576,66.38952971,0.09551313,0.70709917,0.84919499,1.07243747,1.26367989,1.33705143,0.01022817,-0.00273394,0.00183826,-0.00751015,0.10536809,0.00000000,4331543298.76500034,0.00000000,92059076.50000000,True,True
NFLX,3.70949265,0.04001179,0.04983281,26.17279015,-0.17966342,0.70040532,1.39272537,1.07243747,-2.60371472,1.33705143,-0.04136077,-0.07511971,-0.10821470,-0.11197318,-0.17228388,0.00000000,3761425312.00000000,0.00000000,92059076.50000000,True,True
VOO,6.68536431,0.01060536,0.01113621,61.01115975,0.00008621,0.44703624,2.68568756,1.07243747,1.52381513,1.33705143,0.00646467,0.00266422,0.00539078,0.01852941,0.00908273,0.00000000,3608441746.24800014,0.00000000,92059076.50000000,True,True
IVV,7.27732404,0.01057010,0.01107218,60.94750300,-0.00008821,0.44403677,2.25263618,1.07243747,2.07781299,1.33705143,0.00642315,0.00262714,0.00532537,0.01848559,0.00890675,0.00000000,3429828716.20800018,0.00000000,92059076.50000000,True,True
UNH,8.86607758,0.02700027,0.02780400,50.39815050,0.01881590,0.64468178,0.82648925,1.07243747,-0.40455526,1.33705143,0.01474042,-0.00100395,-0.02688174,0.01317182,0.02798092,0.00000000,3121556051.06099987,0.00000000,92059076.50000000,True,True
GLD,5.32176042,0.01367886,0.01352011,62.70008560,0.01903221,0.41634840,0.90258998,1.07243747,0.10191092,1.33705143,0.00425916,0.00675396,0.00560897,0.02360029,0.02819916,0.00000000,2965428780.00000000,0.00000000,92059076.50000000,True,True
LQD,0.44004157,0.00398001,0.00567097,53.37642165,-0.00318147,0.96762850,1.09273821,1.07243747,0.41555493,1.33705143,0.00461587,0.00125878,-0.00153522,-0.00231908,0.00578566,0.00000000,2965122630.17549992,0.00000000,92059076.50000000,True,True
TLT,0.61453383,0.00698591,0.00747321,42.69303887,-0.01914914,0.81435069,1.43975002,1.07243747,0.77611798,1.33705143,0.00386402,0.00158719,-0.00842138,-0.01789321,-0.01032566,0.00000000,2900104625.01060009,0.00000000,92059076.50000000,True,True
TSM,8.84303355,0.02859001,0.03701524,66.50237840,0.04099627,0.83391918,1.14496282,1.07243747,2.32428045,1.33705143,0.02218161,0.05231911,0.04971916,0.08943201,0.05036081,0.00000000,2855159303.67450047,0.00000000,92059076.50000000,True,True
HYG,0.23512416,0.00292628,0.00458374,61.91908890,-0.00269958,1.07845383,1.28837496,1.07243747,1.21634391,1.33705143,0.00335537,-0.00024761,0.00049558,0.00291203,0.00627189,0.00000000,2820911679.68324995,0.00000000,92059076.50000000,True,True
LLY,28.22112506,0.02840176,0.02604565,49.97311170,0.02026389,0.71565718,0.77745010,1.07243747,-1.22992624,1.33705143,0.01162672,-0.01649989,-0.03862379,-0.10478044,0.02944193,0.00000000,2777185531.30300045,0.00000000,92059076.50000000,True,True
HOOD,7.70355842,0.05678578,0.02970662,55.85930050,-0.01052019,0.56986561,0.72595509,1.07243747,0.81024783,1.33705143,-0.00036843,0.02811671,0.01511523,0.17383404,-0.00161908,0.00000000,2698225972.00000000,0.00000000,92059076.50000000,True,True
IBIT,2.28940833,0.04361609,0.03238712,46.15684617,-0.13570322,0.71549354,0.78597944,1.07243747,-0.52580687,1.33705143,-0.00681173,0.03550996,-0.00474024,0.05912026,-0.12792823,0.00000000,2609332279.00000000,0.00000000,92059076.50000000,True,True
COIN,15.70538790,0.05709182,0.03155331,46.61478407,-0.14246085,0.37210363,0.71305945,1.07243747,0.08509684,1.33705143,-0.00818431,0.01987172,-0.00660841,0.08252007,-0.13474664,0.00000000,2603841487.00000000,0.00000000,92059076.50000000,True,True
