Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,88.379100,88.379100,88.352400,88.379100,532137,Calculation,,,,
2023-04-04,88.379100,88.405800,88.361300,88.405800,194035,Calculation,0.000302,0.044500,0.044500,0.000503
2023-04-05,88.441400,88.459200,88.441400,88.450300,291277,Calculation,0.000503,0.053400,0.045136,0.000510
2023-04-06,88.459200,88.468100,88.441400,88.450300,384252,Calculation,0.000000,0.026700,0.043819,0.000495
2023-04-10,88.432500,88.432500,88.405800,88.414700,579186,Calculation,-0.000402,0.026700,0.042596,0.000482
2023-04-11,88.432500,88.432500,88.405800,88.423600,332936,Calculation,0.000101,0.026700,0.041461,0.000469
2023-04-12,88.432500,88.432500,88.423600,88.432500,302731,Calculation,0.000101,0.008900,0.039135,0.000443
2023-04-13,88.459200,88.468100,88.450300,88.468100,353934,Calculation,0.000403,0.035600,0.038882,0.000440
2023-04-14,88.468100,88.468100,88.441400,88.450300,256243,Calculation,-0.000201,0.026700,0.038012,0.000430
2023-04-17,88.459200,88.459200,88.432500,88.441400,274322,Calculation,-0.000101,0.026700,0.037204,0.000421
2023-04-18,88.450300,88.468200,88.450300,88.459300,268370,Calculation,0.000202,0.026800,0.036461,0.000412
2023-04-19,88.459200,88.477100,88.459200,88.477100,302843,Calculation,0.000201,0.017900,0.035135,0.000397
2023-04-20,88.530500,88.530500,88.512700,88.530500,376055,Calculation,0.000604,0.053400,0.036440,0.000412
2023-04-21,88.548300,88.548300,88.521600,88.539400,434109,Calculation,0.000101,0.026700,0.035744,0.000404
2023-04-24,88.548300,88.557200,88.530500,88.557200,317104,Calculation,0.000201,0.026700,0.035098,0.000396
2023-04-25,88.575000,88.583900,88.557200,88.583900,216156,Calculation,0.000302,0.026700,0.034498,0.000389
2023-04-26,88.601700,88.601700,88.566100,88.583900,507097,Calculation,0.000000,0.035600,0.034577,0.000390
2023-04-27,88.592800,88.610700,88.583900,88.601700,430740,Calculation,0.000201,0.026800,0.034021,0.000384
2023-04-28,88.601700,88.619600,88.601700,88.619600,307222,Calculation,0.000202,0.017900,0.032870,0.000371
2023-05-01,88.628500,88.628500,88.601700,88.618700,381666,Calculation,-0.000010,0.026800,0.032436,0.000366
2023-05-02,88.637400,88.655300,88.628500,88.637400,538830,Calculation,0.000211,0.036600,0.032734,0.000369
2023-05-03,88.637400,88.655300,88.637400,88.646400,450460,Calculation,0.000102,0.017900,0.031674,0.000357
2023-05-04,88.700000,88.717900,88.673200,88.700000,405381,Calculation,0.000605,0.071500,0.034519,0.000389
2023-05-05,88.709000,88.709000,88.673200,88.691100,260298,Calculation,-0.000100,0.035800,0.034610,0.000390
2023-05-08,88.691100,88.700000,88.682100,88.700000,170474,Calculation,0.000100,0.017900,0.033417,0.000377
2023-05-09,88.717900,88.717900,88.691100,88.700000,226964,Calculation,0.000000,0.026800,0.032944,0.000371
2023-05-10,88.726800,88.735800,88.709000,88.735800,338824,Calculation,0.000404,0.035800,0.033148,0.000374
2023-05-11,88.762600,88.780500,88.753700,88.753700,377080,Calculation,0.000202,0.044700,0.033973,0.000383
2023-05-12,88.762600,88.771500,88.753700,88.771500,272938,Calculation,0.000201,0.017800,0.032818,0.000370
2023-05-15,88.771500,88.780500,88.762600,88.771500,238262,Calculation,0.000000,0.017900,0.031753,0.000358
2023-05-16,88.780400,88.780400,88.762600,88.780400,1968404,Calculation,0.000100,0.017800,0.030756,0.000346
