Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,81.441600,81.441600,81.432700,81.432700,14035001,Calculation,,,,
2023-04-04,81.441600,81.450500,81.441600,81.441600,11531146,Calculation,0.000109,0.017800,0.017800,0.000219
2023-04-05,81.486100,81.495000,81.486100,81.486100,7766096,Calculation,0.000546,0.053400,0.020343,0.000250
2023-04-06,81.503900,81.503900,81.495000,81.495000,5550471,Calculation,0.000109,0.017800,0.020161,0.000247
2023-04-10,81.512800,81.512800,81.504000,81.504000,6449637,Calculation,0.000110,0.017800,0.019993,0.000245
2023-04-11,81.512800,81.521700,81.512800,81.512800,8674476,Calculation,0.000108,0.017700,0.019829,0.000243
2023-04-12,81.530700,81.539600,81.521800,81.530700,9869172,Calculation,0.000220,0.026800,0.020327,0.000249
2023-04-13,81.566300,81.575200,81.566300,81.575200,9743030,Calculation,0.000546,0.044500,0.022053,0.000270
2023-04-14,81.575200,81.584100,81.566300,81.575200,10548630,Calculation,0.000000,0.017800,0.021750,0.000267
2023-04-17,81.584100,81.593000,81.584100,81.593000,5811516,Calculation,0.000218,0.017800,0.021467,0.000263
2023-04-18,81.593000,81.610800,81.593000,81.601900,5100378,Calculation,0.000109,0.017800,0.021206,0.000260
2023-04-19,81.619700,81.619700,81.610800,81.610800,6629359,Calculation,0.000109,0.017800,0.020962,0.000257
2023-04-20,81.655300,81.673100,81.646400,81.673100,6778190,Calculation,0.000763,0.062300,0.023915,0.000293
2023-04-21,81.664200,81.664200,81.655300,81.664200,6605770,Calculation,-0.000109,0.008900,0.022842,0.000280
2023-04-24,81.682000,81.682000,81.664200,81.673100,9206113,Calculation,0.000109,0.017800,0.022482,0.000275
2023-04-25,81.673100,81.682000,81.664200,81.664200,4742958,Calculation,-0.000109,0.017800,0.022148,0.000271
2023-04-26,81.673100,81.682000,81.673100,81.682000,8273025,Calculation,0.000218,0.017800,0.021837,0.000267
2023-04-27,81.708700,81.717600,81.699800,81.708700,6273848,Calculation,0.000327,0.035600,0.022820,0.000279
2023-04-28,81.699800,81.708700,81.699800,81.708700,7345100,Calculation,0.000000,0.008900,0.021826,0.000267
2023-05-01,81.720300,81.729300,81.711400,81.711400,12614127,Calculation,0.000033,0.020600,0.021738,0.000266
2023-05-02,81.720300,81.720300,81.693500,81.693500,6149573,Calculation,-0.000219,0.026800,0.022100,0.000271
2023-05-03,81.711400,81.711400,81.702500,81.702500,6191195,Calculation,0.000110,0.017900,0.021800,0.000267
2023-05-04,81.738200,81.738200,81.720300,81.729300,9010473,Calculation,0.000328,0.035700,0.022793,0.000279
2023-05-05,81.747100,81.765000,81.738200,81.747100,8023010,Calculation,0.000218,0.035700,0.023715,0.000290
2023-05-08,81.756100,81.765000,81.756100,81.756100,6163783,Calculation,0.000110,0.017900,0.023299,0.000285
2023-05-09,81.773900,81.773900,81.765000,81.765000,7665063,Calculation,0.000109,0.017800,0.022907,0.000280
