Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,26.176200,26.176200,26.176200,26.176200,0,Calculation,,,,
2023-04-04,26.176200,26.176200,26.176200,26.176200,0,Calculation,0.000000,0.000000,0.000000,0.000000
2023-04-05,26.176200,26.176200,26.176200,26.176200,0,Calculation,0.000000,0.000000,0.000000,0.000000
2023-04-06,26.176200,26.176200,26.176200,26.176200,0,Calculation,0.000000,0.000000,0.000000,0.000000
2023-04-10,26.176200,26.176200,26.176200,26.176200,0,Calculation,0.000000,0.000000,0.000000,0.000000
2023-04-11,26.176200,26.176200,26.176200,26.176200,0,Calculation,0.000000,0.000000,0.000000,0.000000
2023-04-12,26.176200,26.176200,26.176200,26.176200,0,Calculation,0.000000,0.000000,0.000000,0.000000
2023-04-13,26.176200,26.176200,26.176200,26.176200,0,Calculation,0.000000,0.000000,0.000000,0.000000
2023-04-14,26.176200,26.176200,26.176200,26.176200,0,Calculation,0.000000,0.000000,0.000000,0.000000
2023-04-17,26.176200,26.176200,26.176200,26.176200,0,Calculation,0.000000,0.000000,0.000000,0.000000
2023-04-18,26.176200,26.176200,26.176200,26.176200,0,Calculation,0.000000,0.000000,0.000000,0.000000
2023-04-19,28.224800,28.224800,28.224800,28.224800,105,Calculation,0.078262,2.048600,0.146329,0.005184
2023-04-20,28.224800,28.224800,28.224800,28.224800,0,Calculation,0.000000,0.000000,0.135877,0.004814
2023-04-21,28.224800,28.224800,28.224800,28.224800,0,Calculation,0.000000,0.000000,0.126171,0.004470
2023-04-24,28.224800,28.224800,28.224800,28.224800,0,Calculation,0.000000,0.000000,0.117159,0.004151
2023-04-25,28.224800,28.224800,28.224800,28.224800,0,Calculation,0.000000,0.000000,0.108790,0.003854
2023-04-26,28.224800,28.224800,28.224800,28.224800,0,Calculation,0.000000,0.000000,0.101020,0.003579
2023-04-27,28.224800,28.224800,28.224800,28.224800,0,Calculation,0.000000,0.000000,0.093804,0.003323
2023-04-28,28.224800,28.224800,28.224800,28.224800,0,Calculation,0.000000,0.000000,0.087104,0.003086
2023-05-01,28.224800,28.224800,28.224800,28.224800,0,Calculation,0.000000,0.000000,0.080882,0.002866
2023-05-02,28.224800,28.224800,28.224800,28.224800,0,Calculation,0.000000,0.000000,0.075105,0.002661
2023-05-03,28.224800,28.224800,28.224800,28.224800,0,Calculation,0.000000,0.000000,0.069740,0.002471
