Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,89.054000,89.054000,89.036100,89.045100,1067880,Calculation,,,,
2023-04-04,89.054000,89.089700,89.054000,89.089700,733102,Calculation,0.000501,0.044600,0.044600,0.000501
2023-04-05,89.152100,89.170000,89.138800,89.152100,786227,Calculation,0.000700,0.080300,0.047150,0.000529
2023-04-06,89.161100,89.161100,89.134300,89.152100,969811,Calculation,0.000000,0.026800,0.045696,0.000513
2023-04-10,89.116400,89.125400,89.107500,89.125400,885416,Calculation,-0.000299,0.026700,0.044340,0.000497
2023-04-11,89.129800,89.134300,89.116500,89.116500,947620,Calculation,-0.000100,0.017800,0.042444,0.000476
2023-04-12,89.143200,89.161100,89.134300,89.134300,6049302,Calculation,0.000200,0.044600,0.042598,0.000478
2023-04-13,89.187800,89.196800,89.178900,89.187800,680089,Calculation,0.000600,0.062500,0.044019,0.000494
2023-04-14,89.187800,89.187800,89.161000,89.161000,355063,Calculation,-0.000300,0.026800,0.042789,0.000480
2023-04-17,89.178900,89.178900,89.152100,89.170000,738706,Calculation,0.000101,0.026800,0.041647,0.000467
2023-04-18,89.196700,89.196700,89.178900,89.196700,514214,Calculation,0.000299,0.026700,0.040580,0.000455
2023-04-19,89.205700,89.205700,89.187800,89.196700,717523,Calculation,0.000000,0.017900,0.038960,0.000437
2023-04-20,89.250300,89.250300,89.241400,89.241400,742965,Calculation,0.000501,0.053600,0.040005,0.000448
2023-04-21,89.268100,89.268100,89.250300,89.259200,630999,Calculation,0.000199,0.026700,0.039055,0.000438
2023-04-24,89.259200,89.277100,89.259200,89.277100,839128,Calculation,0.000201,0.017900,0.037544,0.000421
2023-04-25,89.277100,89.294900,89.277100,89.294900,594574,Calculation,0.000199,0.017800,0.036134,0.000405
2023-04-26,89.303800,89.303800,89.286000,89.303800,490005,Calculation,0.000100,0.017800,0.034824,0.000390
2023-04-27,89.321700,89.321700,89.294900,89.312700,320094,Calculation,0.000100,0.026800,0.034251,0.000383
2023-04-28,89.312700,89.321600,89.303800,89.321600,567227,Calculation,0.000100,0.017800,0.033076,0.000370
2023-05-01,89.319900,89.319900,89.302000,89.302000,1148705,Calculation,-0.000219,0.017900,0.031992,0.000358
2023-05-02,89.319900,89.337800,89.310900,89.337800,1491151,Calculation,0.000401,0.035800,0.032264,0.000361
2023-05-03,89.337800,89.346700,89.328800,89.337800,979660,Calculation,0.000000,0.017900,0.031238,0.000350
2023-05-04,89.373600,89.400500,89.355700,89.391500,769190,Calculation,0.000601,0.062700,0.033485,0.000375
2023-05-05,89.382600,89.382600,89.364600,89.382600,456110,Calculation,-0.000100,0.018000,0.032379,0.000362
2023-05-08,89.382600,89.382600,89.364600,89.382600,849358,Calculation,0.000000,0.018000,0.031352,0.000351
2023-05-09,89.382600,89.391500,89.373600,89.382600,589649,Calculation,0.000000,0.017900,0.030391,0.000340
2023-05-10,89.409400,89.427300,89.400500,89.409400,881962,Calculation,0.000300,0.044700,0.031413,0.000351
2023-05-11,89.472100,89.472100,89.454200,89.454200,666244,Calculation,0.000501,0.062700,0.033648,0.000376
2023-05-12,89.472100,89.472100,89.454200,89.463200,1010476,Calculation,0.000101,0.017900,0.032523,0.000364
2023-05-15,89.463200,89.476600,89.463200,89.472100,697843,Calculation,0.000099,0.013400,0.031157,0.000348
2023-05-16,89.472100,89.481100,89.463200,89.481100,796545,Calculation,0.000101,0.017900,0.030210,0.000338
2023-05-17,89.490000,89.490000,89.463200,89.463200,421050,Calculation,-0.000200,0.026800,0.029967,0.000335
2023-05-18,89.508000,89.508000,89.481100,89.490000,715819,Calculation,0.000300,0.044800,0.031026,0.000347
2023-05-19,89.490000,89.499000,89.481100,89.499000,377616,Calculation,0.000101,0.017900,0.030089,0.000336
2023-05-22,89.499000,89.499000,89.490000,89.490000,428196,Calculation,-0.000101,0.009000,0.028582,0.000319
2023-05-23,89.499000,89.516900,89.499000,89.507900,478217,Calculation,0.000200,0.026900,0.028462,0.000318
2023-05-24,89.508000,89.525900,89.508000,89.525900,742281,Calculation,0.000201,0.018000,0.027715,0.000310
2023-05-25,89.543800,89.570600,89.543800,89.570600,824794,Calculation,0.000499,0.044700,0.028928,0.000323
2023-05-26,89.570600,89.570600,89.561700,89.561700,624374,Calculation,-0.000099,0.008900,0.027497,0.000307
2023-05-30,89.588500,89.588500,89.561700,89.561700,608184,Calculation,0.000000,0.026800,0.027448,0.000306
2023-05-31,89.579600,89.588600,89.579600,89.579600,590431,Calculation,0.000200,0.026900,0.027409,0.000306
2023-06-01,89.630800,89.630800,89.621900,89.621900,878215,Calculation,0.000472,0.051200,0.029108,0.000325
2023-06-02,89.639800,89.639800,89.621900,89.630900,674789,Calculation,0.000100,0.017900,0.028307,0.000316
