Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,87.483500,87.554300,87.483500,87.536600,2038256,Calculation,,,,
2023-04-04,87.545500,87.607400,87.536600,87.589700,1586126,Calculation,0.000607,0.070800,0.070800,0.000808
2023-04-05,87.660500,87.722400,87.660500,87.695900,832275,Calculation,0.001212,0.132700,0.075221,0.000858
2023-04-06,87.695900,87.713600,87.678200,87.678200,1146427,Calculation,-0.000202,0.035400,0.072377,0.000825
2023-04-10,87.713600,87.713600,87.678200,87.695900,1562621,Calculation,0.000202,0.035400,0.069736,0.000795
2023-04-11,87.695900,87.713600,87.695900,87.704700,951382,Calculation,0.000100,0.017700,0.066019,0.000753
2023-04-12,87.740100,87.749000,87.713600,87.731300,605476,Calculation,0.000303,0.044300,0.064468,0.000735
2023-04-13,87.749000,87.775500,87.749000,87.757800,499365,Calculation,0.000302,0.044200,0.063020,0.000718
2023-04-14,87.722400,87.757800,87.722400,87.731300,664916,Calculation,-0.000302,0.035400,0.061047,0.000696
2023-04-17,87.740100,87.766700,87.740100,87.757800,619036,Calculation,0.000302,0.035400,0.059215,0.000675
2023-04-18,87.757800,87.775500,87.757800,87.766700,691020,Calculation,0.000101,0.017700,0.056250,0.000641
2023-04-19,87.749000,87.775500,87.749000,87.766700,430545,Calculation,0.000000,0.026500,0.054125,0.000617
2023-04-20,87.793200,87.802100,87.784400,87.793200,853407,Calculation,0.000302,0.035400,0.052787,0.000601
2023-04-21,87.819800,87.828600,87.802100,87.819800,465464,Calculation,0.000303,0.035400,0.051545,0.000587
2023-04-24,87.828600,87.846300,87.828600,87.846300,603894,Calculation,0.000302,0.026500,0.049756,0.000566
2023-04-25,87.881700,87.926000,87.881700,87.917100,763569,Calculation,0.000806,0.079700,0.051895,0.000590
2023-04-26,87.899400,87.961400,87.899400,87.917100,400147,Calculation,0.000000,0.062000,0.052617,0.000598
2023-04-27,87.881700,87.943600,87.881700,87.925900,550895,Calculation,0.000100,0.061900,0.053280,0.000606
2023-04-28,87.917100,87.961300,87.917100,87.961300,472131,Calculation,0.000403,0.044200,0.052631,0.000598
2023-05-01,87.961400,88.023500,87.961400,88.023500,6394939,Calculation,0.000707,0.062200,0.053315,0.000606
2023-05-02,87.996900,88.032400,87.988000,88.014700,1484225,Calculation,-0.000100,0.044400,0.052678,0.000599
2023-05-03,88.059100,88.085700,88.050200,88.067900,920801,Calculation,0.000604,0.071000,0.053987,0.000613
2023-05-04,88.076800,88.112300,88.067900,88.085700,1247101,Calculation,0.000202,0.044400,0.053302,0.000605
2023-05-05,87.988000,88.085700,87.988000,88.067900,605985,Calculation,-0.000202,0.097700,0.056473,0.000641
2023-05-08,88.112300,88.112300,88.094600,88.094600,688855,Calculation,0.000303,0.044400,0.055611,0.000631
2023-05-09,88.139000,88.156700,88.130100,88.156700,1558538,Calculation,0.000705,0.062100,0.056074,0.000636
2023-05-10,88.174500,88.192300,88.156800,88.174500,915959,Calculation,0.000202,0.035600,0.054612,0.000619
2023-05-11,88.192300,88.201100,88.174500,88.183400,2320018,Calculation,0.000101,0.026600,0.052611,0.000597
2023-05-12,88.183400,88.192300,88.174500,88.174500,428761,Calculation,-0.000101,0.017800,0.050125,0.000568
2023-05-15,88.236700,88.236700,88.218900,88.227800,471434,Calculation,0.000604,0.062200,0.050987,0.000578
2023-05-16,88.201100,88.254400,88.201100,88.227800,484946,Calculation,0.000000,0.053300,0.051152,0.000580
2023-05-17,88.254400,88.281100,88.254400,88.263300,818339,Calculation,0.000402,0.053300,0.051306,0.000581
2023-05-18,88.272200,88.272200,88.263300,88.272200,452406,Calculation,0.000101,0.008900,0.048277,0.000547
2023-05-19,88.263300,88.298900,88.263300,88.298900,1086765,Calculation,0.000302,0.035600,0.047371,0.000536
2023-05-22,88.316600,88.325500,88.307700,88.316600,423694,Calculation,0.000200,0.026600,0.045888,0.000520
2023-05-23,88.343300,88.343300,88.316600,88.325500,513995,Calculation,0.000101,0.026700,0.044517,0.000504
2023-05-24,88.334400,88.352200,88.325500,88.325500,672754,Calculation,0.000000,0.026700,0.043244,0.000490
2023-05-25,88.352200,88.378800,88.343300,88.352200,845925,Calculation,0.000302,0.053300,0.043963,0.000498
2023-05-26,88.352100,88.387600,88.352100,88.369900,668476,Calculation,0.000200,0.035500,0.043358,0.000491
2023-05-30,88.449800,88.458700,88.414300,88.458700,1321526,Calculation,0.001005,0.088800,0.046604,0.000527
2023-05-31,88.449800,88.476500,88.449800,88.449800,841646,Calculation,-0.000101,0.026700,0.045182,0.000511
2023-06-01,88.494400,88.503300,88.476600,88.503300,1430123,Calculation,0.000605,0.053500,0.045776,0.000517
2023-06-02,88.485500,88.530100,88.485500,88.530100,699475,Calculation,0.000303,0.044600,0.045692,0.000516
2023-06-05,88.530100,88.556900,88.530100,88.556900,558414,Calculation,0.000303,0.026800,0.044343,0.000501
2023-06-06,88.574700,88.574700,88.556900,88.574700,674694,Calculation,0.000201,0.017800,0.042447,0.000479
2023-06-07,88.574700,88.601400,88.574700,88.583600,841994,Calculation,0.000100,0.026700,0.041322,0.000466
2023-06-08,88.610400,88.646000,88.610400,88.646000,458505,Calculation,0.000704,0.062400,0.042828,0.000483
2023-06-09,88.646000,88.646000,88.637100,88.637100,448974,Calculation,-0.000100,0.008900,0.040404,0.000456
2023-06-12,88.655000,88.672800,88.655000,88.672800,434733,Calculation,0.000403,0.035700,0.040068,0.000452
2023-06-13,88.690600,88.699500,88.663900,88.663900,680749,Calculation,-0.000100,0.035600,0.039749,0.000448
2023-06-14,88.681700,88.708500,88.672800,88.681700,481379,Calculation,0.000201,0.044600,0.040096,0.000452
2023-06-15,88.699600,88.726300,88.699600,88.717400,482725,Calculation,0.000403,0.044600,0.040417,0.000456
2023-06-16,88.761900,88.761900,88.735200,88.753000,578373,Calculation,0.000401,0.044500,0.040709,0.000459
2023-06-20,88.770900,88.788700,88.770900,88.779800,689047,Calculation,0.000302,0.035700,0.040351,0.000455
2023-06-21,88.824400,88.842200,88.797600,88.815500,2518694,Calculation,0.000402,0.062400,0.041926,0.000472
2023-06-22,88.824400,88.851100,88.815500,88.842200,672115,Calculation,0.000301,0.035600,0.041474,0.000467
2023-06-23,88.851200,88.877900,88.851200,88.869000,4047493,Calculation,0.000302,0.035700,0.041062,0.000462
2023-06-26,88.869000,88.895700,88.869000,88.886800,483959,Calculation,0.000200,0.026700,0.040036,0.000450
2023-06-27,88.922500,88.922500,88.886800,88.904700,455813,Calculation,0.000201,0.035700,0.039726,0.000447
2023-06-28,88.904700,88.913600,88.904700,88.904700,516140,Calculation,0.000000,0.008900,0.037524,0.000422
2023-06-29,88.940300,88.940300,88.913600,88.922500,652716,Calculation,0.000200,0.035600,0.037387,0.000420
2023-06-30,88.940300,88.967100,88.940300,88.967100,501899,Calculation,0.000502,0.044600,0.037902,0.000426
2023-07-03,88.967100,89.002900,88.967100,88.994000,1427754,Forward,,,,
2023-07-05,89.038700,89.038700,89.011900,89.020800,1331291,Forward,,,,
2023-07-06,89.038700,89.047700,89.011900,89.038700,771934,Forward,,,,
2023-07-07,89.065600,89.110400,89.065600,89.092500,1581717,Forward,,,,
