Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,89.165600,89.165600,89.156700,89.165600,3525477,Calculation,,,,
2023-04-04,89.165600,89.183400,89.165600,89.183400,4160699,Calculation,0.000200,0.017800,0.017800,0.000200
2023-04-05,89.227900,89.236800,89.219000,89.219000,2815279,Calculation,0.000399,0.053400,0.020343,0.000228
2023-04-06,89.245700,89.245700,89.236800,89.245700,1661402,Calculation,0.000299,0.026700,0.020797,0.000233
2023-04-10,89.250100,89.254600,89.236800,89.254600,3901260,Calculation,0.000100,0.017800,0.020583,0.000231
2023-04-11,89.272400,89.272400,89.254600,89.254600,3066399,Calculation,0.000000,0.017800,0.020384,0.000228
2023-04-12,89.272400,89.281300,89.263500,89.272400,12022458,Calculation,0.000199,0.026700,0.020835,0.000233
2023-04-13,89.316800,89.325700,89.307900,89.325700,1698384,Calculation,0.000597,0.053300,0.023154,0.000259
2023-04-14,89.316800,89.334600,89.316800,89.334600,2013803,Calculation,0.000100,0.017800,0.022772,0.000255
2023-04-17,89.334600,89.343500,89.334600,89.334600,1587212,Calculation,0.000000,0.008900,0.021781,0.000244
2023-04-18,89.352400,89.361300,89.352400,89.352400,1240093,Calculation,0.000199,0.026700,0.022132,0.000248
2023-04-19,89.370200,89.379100,89.361300,89.379100,2189835,Calculation,0.000299,0.026700,0.022459,0.000251
2023-04-20,89.414700,89.414700,89.405800,89.414700,1597891,Calculation,0.000398,0.035600,0.023397,0.000262
2023-04-21,89.423600,89.423600,89.414700,89.423600,1453558,Calculation,0.000100,0.008900,0.022362,0.000250
2023-04-24,89.423600,89.432500,89.423600,89.432500,1696136,Calculation,0.000100,0.008900,0.021400,0.000239
2023-04-25,89.441400,89.441400,89.414700,89.432500,2160609,Calculation,0.000000,0.026700,0.021779,0.000244
2023-04-26,89.432500,89.441400,89.432500,89.432500,2183766,Calculation,0.000000,0.008900,0.020859,0.000233
2023-04-27,89.459200,89.477000,89.459200,89.459200,2594283,Calculation,0.000299,0.044500,0.022547,0.000252
2023-04-28,89.459200,89.468100,89.459200,89.459200,2657231,Calculation,0.000000,0.008900,0.021573,0.000241
2023-05-01,89.487800,89.496700,89.469900,89.469900,3974732,Calculation,0.000120,0.037500,0.022710,0.000254
2023-05-02,89.496700,89.496700,89.478900,89.487800,1845947,Calculation,0.000200,0.026800,0.023002,0.000257
2023-05-03,89.496700,89.496700,89.487800,89.487800,1792537,Calculation,0.000000,0.008900,0.021995,0.000246
2023-05-04,89.514600,89.532400,89.514600,89.532400,5168227,Calculation,0.000498,0.044600,0.023610,0.000264
2023-05-05,89.550300,89.550300,89.532400,89.541400,2385981,Calculation,0.000101,0.017900,0.023202,0.000259
2023-05-08,89.550300,89.559200,89.550300,89.550300,2567822,Calculation,0.000099,0.017800,0.022816,0.000255
2023-05-09,89.577100,89.577100,89.559200,89.559200,1895774,Calculation,0.000099,0.026800,0.023101,0.000258
2023-05-10,89.577100,89.594900,89.577100,89.577100,1794888,Calculation,0.000200,0.035700,0.024001,0.000268
2023-05-11,89.621700,89.639600,89.621700,89.630700,2912131,Calculation,0.000598,0.062500,0.026751,0.000298
2023-05-12,89.639600,89.648500,89.630600,89.648500,1999347,Calculation,0.000199,0.017900,0.026118,0.000291
2023-05-15,89.648500,89.657500,89.639600,89.639600,1607673,Calculation,-0.000099,0.017900,0.025531,0.000285
2023-05-16,89.657400,89.666400,89.657400,89.666400,1422586,Calculation,0.000299,0.026800,0.025622,0.000286
2023-05-17,89.675300,89.684200,89.666400,89.675300,1226638,Calculation,0.000099,0.017800,0.025063,0.000279
2023-05-18,89.702100,89.720000,89.702100,89.702100,2119044,Calculation,0.000299,0.044700,0.026466,0.000295
2023-05-19,89.711000,89.720000,89.702100,89.711000,1486969,Calculation,0.000099,0.017900,0.025854,0.000288
2023-05-22,89.720000,89.728900,89.711000,89.720000,1518657,Calculation,0.000100,0.017900,0.025286,0.000282
2023-05-23,89.737800,89.746700,89.728900,89.737800,2102696,Calculation,0.000198,0.026700,0.025387,0.000283
2023-05-24,89.746700,89.755700,89.737800,89.737800,2448686,Calculation,0.000000,0.017900,0.024852,0.000277
