Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,98.084700,98.093600,98.066800,98.075700,4631293,Calculation,,,,
2023-04-04,98.093600,98.138100,98.093600,98.111400,3046965,Calculation,0.000364,0.062400,0.062400,0.000636
2023-04-05,98.173700,98.182600,98.164800,98.164800,4765332,Calculation,0.000544,0.071200,0.063029,0.000642
2023-04-06,98.182600,98.191500,98.164800,98.164800,2481174,Calculation,0.000000,0.026700,0.060434,0.000616
2023-04-10,98.164800,98.164800,98.147000,98.155900,3735007,Calculation,-0.000091,0.017800,0.057388,0.000585
2023-04-11,98.173800,98.173800,98.164800,98.173800,3031697,Calculation,0.000182,0.017900,0.054568,0.000556
2023-04-12,98.200500,98.200500,98.182700,98.182700,2117338,Calculation,0.000091,0.026700,0.052577,0.000536
2023-04-13,98.236100,98.245000,98.227200,98.236100,2578615,Calculation,0.000544,0.062300,0.053272,0.000542
2023-04-14,98.236100,98.236100,98.218300,98.218300,1644049,Calculation,-0.000181,0.017800,0.050738,0.000517
2023-04-17,98.227200,98.227200,98.218300,98.227200,2183685,Calculation,0.000091,0.008900,0.047750,0.000486
2023-04-18,98.236100,98.253900,98.227200,98.245000,2042686,Calculation,0.000181,0.026700,0.046246,0.000471
2023-04-19,98.245000,98.253900,98.236100,98.253900,1809521,Calculation,0.000091,0.017800,0.044214,0.000450
2023-04-20,98.289500,98.307400,98.289500,98.307400,1462637,Calculation,0.000545,0.053500,0.044877,0.000457
2023-04-21,98.316300,98.325200,98.307400,98.316300,1941202,Calculation,0.000091,0.017800,0.042943,0.000437
2023-04-24,98.325100,98.334100,98.316200,98.325100,2436944,Calculation,0.000090,0.017900,0.041155,0.000419
2023-04-25,98.343000,98.351900,98.334100,98.351900,2127554,Calculation,0.000273,0.026800,0.040129,0.000408
2023-04-26,98.360800,98.360800,98.343000,98.360800,2187950,Calculation,0.000090,0.017800,0.038534,0.000392
2023-04-27,98.378600,98.378600,98.369700,98.378600,2437842,Calculation,0.000181,0.017800,0.037053,0.000377
2023-04-28,98.378600,98.387500,98.369700,98.387500,2305487,Calculation,0.000090,0.017800,0.035678,0.000363
2023-05-01,98.403600,98.403600,98.376800,98.376800,2290020,Calculation,-0.000109,0.026800,0.035044,0.000356
2023-05-02,98.394700,98.412600,98.385800,98.403600,2149081,Calculation,0.000272,0.035800,0.035098,0.000357
2023-05-03,98.430400,98.430400,98.412600,98.421500,2530621,Calculation,0.000182,0.026800,0.034505,0.000351
2023-05-04,98.457300,98.484100,98.457300,98.475100,3605107,Calculation,0.000545,0.062600,0.036512,0.000371
2023-05-05,98.466200,98.475100,98.457300,98.466200,2566080,Calculation,-0.000090,0.017800,0.035175,0.000357
2023-05-08,98.466200,98.484100,98.466200,98.475100,2134764,Calculation,0.000090,0.017900,0.033941,0.000345
2023-05-09,98.493000,98.493000,98.475100,98.475100,1667432,Calculation,0.000000,0.017900,0.032796,0.000333
2023-05-10,98.502000,98.510900,98.493000,98.510900,2004340,Calculation,0.000364,0.035800,0.033010,0.000335
