Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,44.388200,44.401600,44.383800,44.392700,675469,Calculation,,,,
2023-04-04,44.401600,44.401600,44.392700,44.401600,378546,Calculation,0.000200,0.008900,0.008900,0.000200
2023-04-05,44.428300,44.428300,44.419400,44.428300,236774,Calculation,0.000601,0.026700,0.010171,0.000229
2023-04-06,44.437200,44.437200,44.419400,44.428300,563940,Calculation,0.000000,0.017800,0.010716,0.000241
2023-04-10,44.437200,44.437200,44.410500,44.410500,501655,Calculation,-0.000401,0.026700,0.011858,0.000267
2023-04-11,44.428300,44.428300,44.410500,44.428300,423180,Calculation,0.000401,0.017800,0.012282,0.000276
2023-04-12,44.446100,44.446100,44.428300,44.437200,446678,Calculation,0.000200,0.017800,0.012677,0.000285
2023-04-13,44.463800,44.463800,44.446000,44.463800,705713,Calculation,0.000599,0.026600,0.013671,0.000307
2023-04-14,44.472700,44.472700,44.463800,44.472700,307716,Calculation,0.000200,0.008900,0.013330,0.000300
2023-04-17,44.472700,44.481600,44.463800,44.472700,392150,Calculation,0.000000,0.017800,0.013650,0.000307
2023-04-18,44.481600,44.481600,44.463800,44.472700,284331,Calculation,0.000000,0.017800,0.013946,0.000314
2023-04-19,44.472700,44.490500,44.472700,44.490500,237898,Calculation,0.000400,0.017800,0.014221,0.000320
2023-04-20,44.490500,44.499400,44.481600,44.490500,391363,Calculation,0.000000,0.017800,0.014477,0.000325
2023-04-21,44.499400,44.499400,44.481600,44.481600,389114,Calculation,-0.000200,0.017800,0.014714,0.000331
2023-04-24,44.499400,44.507400,44.490500,44.499400,430263,Calculation,0.000400,0.025800,0.015506,0.000348
2023-04-25,44.499400,44.499400,44.490500,44.499400,314799,Calculation,0.000000,0.008900,0.015034,0.000338
2023-04-26,44.508300,44.517200,44.499400,44.508300,315586,Calculation,0.000200,0.017800,0.015232,0.000342
2023-04-27,44.508300,44.517200,44.508300,44.517200,1067733,Calculation,0.000200,0.008900,0.014780,0.000332
2023-04-28,44.535000,44.535000,44.526100,44.535000,518295,Calculation,0.000400,0.017800,0.014995,0.000337
2023-05-01,44.551100,44.551100,44.533200,44.542100,744804,Calculation,0.000159,0.017900,0.015203,0.000341
2023-05-02,44.586800,44.586800,44.542100,44.551100,419267,Calculation,0.000202,0.044700,0.017310,0.000389
2023-05-03,44.551100,44.551100,44.533200,44.551100,476491,Calculation,0.000000,0.017900,0.017352,0.000389
2023-05-04,44.568900,44.568900,44.542200,44.568900,528675,Calculation,0.000400,0.026700,0.018020,0.000404
2023-05-05,44.577900,44.577900,44.560000,44.568900,604488,Calculation,0.000000,0.017900,0.018011,0.000404
2023-05-08,44.573400,44.577900,44.568900,44.577900,584667,Calculation,0.000202,0.009000,0.017367,0.000390
2023-05-09,44.577900,44.577900,44.568900,44.577900,687132,Calculation,0.000000,0.009000,0.016770,0.000376
2023-05-10,44.577900,44.604700,44.568900,44.586800,644354,Calculation,0.000200,0.035800,0.018129,0.000407
2023-05-11,44.613600,44.613600,44.604700,44.613600,402693,Calculation,0.000601,0.026800,0.018748,0.000420
2023-05-12,44.613600,44.622500,44.604700,44.613600,616918,Calculation,0.000000,0.017800,0.018681,0.000419
2023-05-15,44.631400,44.631400,44.613600,44.622500,362827,Calculation,0.000199,0.017800,0.018618,0.000417
2023-05-16,44.649300,44.649300,44.622500,44.631400,382872,Calculation,0.000199,0.026800,0.019202,0.000430
2023-05-17,44.635900,44.640400,44.622500,44.622500,325425,Calculation,-0.000199,0.017900,0.019109,0.000428
2023-05-18,44.658200,44.658200,44.640400,44.649300,985009,Calculation,0.000601,0.035700,0.020294,0.000455
2023-05-19,44.649300,44.649300,44.640400,44.649300,285558,Calculation,0.000000,0.008900,0.019480,0.000436
2023-05-22,44.658200,44.658200,44.649300,44.658200,354764,Calculation,0.000199,0.008900,0.018725,0.000419
2023-05-23,44.658200,44.658200,44.649300,44.658200,426770,Calculation,0.000000,0.008900,0.018023,0.000404
2023-05-24,44.685000,44.685000,44.658200,44.667200,369994,Calculation,0.000202,0.026800,0.018650,0.000418
2023-05-25,44.685000,44.693900,44.676100,44.693900,551968,Calculation,0.000598,0.026700,0.019225,0.000430
2023-05-26,44.702900,44.702900,44.686800,44.702900,330576,Calculation,0.000201,0.016100,0.019002,0.000425
2023-05-30,44.702900,44.711800,44.693900,44.711800,382872,Calculation,0.000199,0.017900,0.018923,0.000423
2023-05-31,44.720700,44.729700,44.702900,44.720700,534722,Calculation,0.000199,0.026800,0.019486,0.000436
2023-06-01,44.737800,44.737800,44.728800,44.737800,838603,Calculation,0.000382,0.017100,0.019315,0.000432
2023-06-02,44.755700,44.755700,44.728800,44.737800,878192,Calculation,0.000000,0.026900,0.019857,0.000444
2023-06-05,44.755700,44.764700,44.746700,44.755700,712924,Calculation,0.000400,0.026900,0.020360,0.000455
2023-06-06,44.764700,44.764700,44.755700,44.764700,519332,Calculation,0.000201,0.009000,0.019549,0.000437
2023-06-07,44.782600,44.782600,44.764700,44.773700,741027,Calculation,0.000201,0.017900,0.019431,0.000434
2023-06-08,44.791600,44.791600,44.773600,44.782600,309458,Calculation,0.000199,0.018000,0.019329,0.000432
2023-06-09,44.782600,44.791600,44.773600,44.791600,672221,Calculation,0.000201,0.018000,0.019234,0.000429
2023-06-12,44.791600,44.800500,44.791600,44.800500,519443,Calculation,0.000199,0.008900,0.018496,0.000413
2023-06-13,44.800500,44.809500,44.791600,44.800500,729875,Calculation,0.000000,0.017900,0.018453,0.000412
2023-06-14,44.836400,44.836400,44.800500,44.809500,334214,Calculation,0.000201,0.035900,0.019699,0.000440
2023-06-15,44.827500,44.836400,44.827500,44.836400,396441,Calculation,0.000600,0.026900,0.020214,0.000451
2023-06-16,44.845400,44.845400,44.827500,44.845400,516655,Calculation,0.000201,0.017900,0.020048,0.000447
2023-06-20,44.863300,44.863300,44.836400,44.845400,558474,Calculation,0.000000,0.026900,0.020538,0.000458
2023-06-21,44.854400,44.872300,44.840900,44.854400,415956,Calculation,0.000201,0.031400,0.021314,0.000475
2023-06-22,44.872300,44.872300,44.863300,44.872300,294515,Calculation,0.000399,0.017900,0.021070,0.000470
2023-06-23,44.881200,44.881200,44.872300,44.881200,638655,Calculation,0.000198,0.008900,0.020201,0.000450
2023-06-26,44.899200,44.899200,44.872300,44.881200,382167,Calculation,0.000000,0.026900,0.020679,0.000461
2023-06-27,44.890200,44.890200,44.881300,44.890200,514425,Calculation,0.000201,0.009000,0.019845,0.000442
2023-06-28,44.890200,44.899200,44.881200,44.881200,552787,Calculation,-0.000200,0.018000,0.019713,0.000439
2023-06-29,44.899200,44.908200,44.890200,44.899200,611444,Calculation,0.000401,0.027000,0.020234,0.000451
2023-06-30,44.917100,44.926100,44.908200,44.926100,489111,Calculation,0.000599,0.026900,0.020710,0.000461
2023-07-03,44.940500,44.949500,44.940500,44.949500,661439,Forward,,,,
2023-07-05,44.967500,44.967500,44.940500,44.949500,601369,Forward,,,,
2023-07-06,44.985500,44.985500,44.949500,44.958500,535636,Forward,,,,
2023-07-07,44.967500,44.967500,44.958500,44.967500,585269,Forward,,,,
