Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,44.784200,44.793000,44.775300,44.784200,1633600,Calculation,,,,
2023-04-04,44.784200,44.793100,44.784200,44.793100,1421378,Calculation,0.000199,0.008900,0.008900,0.000199
2023-04-05,44.801900,44.810800,44.801900,44.810800,1607480,Calculation,0.000395,0.017700,0.009529,0.000213
2023-04-06,44.828600,44.828600,44.810800,44.810800,1190355,Calculation,0.000000,0.017800,0.010119,0.000226
2023-04-10,44.819700,44.846300,44.819700,44.819700,4197936,Calculation,0.000199,0.035500,0.011932,0.000266
2023-04-11,44.828600,44.837500,44.828600,44.828600,1603652,Calculation,0.000199,0.017800,0.012351,0.000276
2023-04-12,44.828600,44.837500,44.828600,44.828600,1327708,Calculation,0.000000,0.008900,0.012105,0.000270
2023-04-13,44.846300,44.864100,44.846300,44.864100,1367788,Calculation,0.000792,0.035500,0.013776,0.000307
2023-04-14,44.864100,44.873000,44.855200,44.864100,1759807,Calculation,0.000000,0.017800,0.014063,0.000313
2023-04-17,44.873000,44.873000,44.864100,44.873000,1176282,Calculation,0.000198,0.008900,0.013695,0.000305
2023-04-18,44.873000,44.881900,44.864100,44.873000,1059644,Calculation,0.000000,0.017800,0.013988,0.000312
2023-04-19,44.881900,44.890800,44.873000,44.890800,1008869,Calculation,0.000397,0.017800,0.014260,0.000318
2023-04-20,44.899600,44.908500,44.899600,44.899600,1232686,Calculation,0.000196,0.017700,0.014506,0.000323
2023-04-21,44.917400,44.917400,44.908500,44.917400,1576181,Calculation,0.000396,0.017800,0.014741,0.000328
2023-04-24,44.917400,44.917400,44.908500,44.908500,1099274,Calculation,-0.000198,0.008900,0.014324,0.000319
2023-04-25,44.917400,44.926300,44.917400,44.926300,1230997,Calculation,0.000396,0.017800,0.014572,0.000324
2023-04-26,44.935200,44.935200,44.926300,44.926300,1037577,Calculation,0.000000,0.008900,0.014167,0.000315
2023-04-27,44.944000,44.961800,44.944000,44.961800,1228971,Calculation,0.000790,0.035500,0.015691,0.000349
2023-04-28,44.961800,44.979600,44.961800,44.970700,1864960,Calculation,0.000198,0.017800,0.015841,0.000352
2023-05-01,44.989400,44.989400,44.980500,44.980500,1640683,Calculation,0.000218,0.018700,0.016046,0.000357
2023-05-02,44.989400,44.989400,44.980500,44.980500,956869,Calculation,0.000000,0.008900,0.015535,0.000345
2023-05-03,44.980500,44.998300,44.980500,44.989400,1543348,Calculation,0.000198,0.017800,0.015697,0.000349
2023-05-04,45.016200,45.016200,45.007300,45.007300,1808441,Calculation,0.000398,0.026800,0.016490,0.000366
2023-05-05,45.016200,45.025100,45.016200,45.016200,2057610,Calculation,0.000198,0.017800,0.016584,0.000368
2023-05-08,45.025100,45.025100,45.016200,45.025100,938926,Calculation,0.000198,0.008900,0.016035,0.000356
2023-05-09,45.034000,45.034000,45.025100,45.034000,1360451,Calculation,0.000198,0.008900,0.015525,0.000345
2023-05-10,45.034000,45.042900,45.034000,45.034000,1655485,Calculation,0.000000,0.008900,0.015052,0.000334
2023-05-11,45.060800,45.060800,45.051800,45.051800,1812814,Calculation,0.000395,0.026800,0.015891,0.000353
2023-05-12,45.069700,45.069700,45.051800,45.060800,2520401,Calculation,0.000200,0.017900,0.016035,0.000356
2023-05-15,45.069700,45.069700,45.051800,45.051800,914369,Calculation,-0.000200,0.017900,0.016168,0.000359
2023-05-16,45.060800,45.069700,45.060800,45.069700,1374132,Calculation,0.000397,0.017900,0.016292,0.000361
2023-05-17,45.069700,45.078600,45.069700,45.078600,1107357,Calculation,0.000197,0.008900,0.015764,0.000350
2023-05-18,45.087500,45.096400,45.078600,45.096400,1367628,Calculation,0.000395,0.017800,0.015909,0.000353
2023-05-19,45.096400,45.096400,45.087500,45.096400,1429752,Calculation,0.000000,0.008900,0.015408,0.000342
2023-05-22,45.096400,45.105300,45.096400,45.105300,1221962,Calculation,0.000197,0.008900,0.014944,0.000331
2023-05-23,45.114300,45.114300,45.105300,45.114300,760067,Calculation,0.000200,0.009000,0.014519,0.000322
2023-05-24,45.114300,45.123200,45.105300,45.105300,1171836,Calculation,-0.000199,0.017900,0.014760,0.000327
2023-05-25,45.141000,45.149900,45.132100,45.132100,1151876,Calculation,0.000594,0.044600,0.016892,0.000374
2023-05-26,45.149900,45.149900,45.141000,45.141000,1536171,Calculation,0.000197,0.017800,0.016957,0.000376
2023-05-30,45.149900,45.167800,45.149900,45.167800,984118,Calculation,0.000594,0.026800,0.017660,0.000391
2023-05-31,45.176700,45.176700,45.167800,45.167800,1247305,Calculation,0.000000,0.008900,0.017034,0.000377
2023-06-01,45.202700,45.202700,45.184800,45.193700,2520334,Calculation,0.000573,0.034900,0.018310,0.000405
2023-06-02,45.202700,45.202700,45.193700,45.193700,2216416,Calculation,0.000000,0.009000,0.017645,0.000390
2023-06-05,45.202700,45.211700,45.202700,45.202700,1938959,Calculation,0.000199,0.018000,0.017671,0.000391
2023-06-06,45.220600,45.220600,45.211700,45.211700,1592166,Calculation,0.000199,0.017900,0.017687,0.000391
2023-06-07,45.220600,45.238500,45.211700,45.220600,1561573,Calculation,0.000197,0.026800,0.018338,0.000406
2023-06-08,45.238500,45.247500,45.238500,45.238500,1137963,Calculation,0.000396,0.026900,0.018949,0.000419
2023-06-09,45.247500,45.256400,45.238500,45.256400,2373511,Calculation,0.000396,0.017900,0.018875,0.000417
2023-06-12,45.256400,45.256400,45.247500,45.247500,1035466,Calculation,-0.000197,0.008900,0.018162,0.000401
2023-06-13,45.256400,45.265400,45.256400,45.256400,1496033,Calculation,0.000197,0.017900,0.018143,0.000401
2023-06-14,45.256400,45.265400,45.256400,45.265400,1056791,Calculation,0.000199,0.009000,0.017490,0.000386
2023-06-15,45.283300,45.292300,45.274300,45.274300,1365064,Calculation,0.000197,0.026900,0.018162,0.000401
2023-06-16,45.283300,45.292300,45.283300,45.292300,1009339,Calculation,0.000398,0.018000,0.018151,0.000401
2023-06-20,45.292300,45.301200,45.292300,45.301200,1152701,Calculation,0.000197,0.008900,0.017490,0.000386
2023-06-21,45.301200,45.310200,45.301200,45.310200,901371,Calculation,0.000199,0.009000,0.016884,0.000373
2023-06-22,45.310200,45.328100,45.310200,45.328100,848894,Calculation,0.000395,0.017900,0.016956,0.000374
2023-06-23,45.319100,45.328100,45.319100,45.319100,1446236,Calculation,-0.000199,0.009000,0.016388,0.000362
2023-06-26,45.328100,45.346000,45.328100,45.337100,1512781,Calculation,0.000397,0.026900,0.017139,0.000378
2023-06-27,45.337100,45.346000,45.337100,45.346000,1686624,Calculation,0.000196,0.008900,0.016550,0.000365
2023-06-28,45.355000,45.355000,45.337100,45.346000,1445008,Calculation,0.000000,0.017900,0.016647,0.000367
2023-06-29,45.363900,45.372900,45.363900,45.363900,1047971,Calculation,0.000395,0.026900,0.017379,0.000383
2023-06-30,45.381800,45.381800,45.372900,45.381800,1421226,Calculation,0.000395,0.017900,0.017416,0.000384
2023-07-03,45.387200,45.396200,45.378200,45.396200,1439515,Forward,,,,
2023-07-05,45.396200,45.405200,45.387200,45.387200,1324558,Forward,,,,
2023-07-06,45.423200,45.423200,45.414200,45.423200,1290427,Forward,,,,
2023-07-07,45.423200,45.432200,45.423200,45.423200,678288,Forward,,,,
