Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,44.654100,44.663000,44.645200,44.663000,8379494,Calculation,,,,
2023-04-04,44.671900,44.680700,44.663000,44.663000,3386635,Calculation,0.000000,0.017700,0.017700,0.000396
2023-04-05,44.689600,44.698500,44.680700,44.689600,3791316,Calculation,0.000596,0.035500,0.018971,0.000425
2023-04-06,44.689600,44.698500,44.689600,44.698500,4489091,Calculation,0.000199,0.008900,0.018252,0.000408
2023-04-10,44.689600,44.698500,44.689600,44.698500,4238333,Calculation,0.000000,0.008900,0.017584,0.000393
2023-04-11,44.707400,44.716300,44.698500,44.707400,7756034,Calculation,0.000199,0.017800,0.017599,0.000394
2023-04-12,44.707400,44.725100,44.707400,44.716300,3508805,Calculation,0.000199,0.017700,0.017607,0.000394
2023-04-13,44.725100,44.734000,44.725100,44.725100,2795266,Calculation,0.000197,0.017700,0.017613,0.000394
2023-04-14,44.734000,44.742900,44.725100,44.742900,4391580,Calculation,0.000398,0.017800,0.017627,0.000394
2023-04-17,44.734000,44.751800,44.734000,44.742900,4121343,Calculation,0.000000,0.017800,0.017639,0.000394
2023-04-18,44.742900,44.760700,44.742900,44.742900,3381230,Calculation,0.000000,0.017800,0.017651,0.000394
2023-04-19,44.760700,44.769500,44.751800,44.769500,3547990,Calculation,0.000595,0.026600,0.018290,0.000409
2023-04-20,44.778400,44.787300,44.769500,44.787300,4286976,Calculation,0.000398,0.017800,0.018255,0.000408
2023-04-21,44.787300,44.787300,44.778400,44.787300,3407804,Calculation,0.000000,0.008900,0.017587,0.000393
2023-04-24,44.791800,44.791800,44.782900,44.791800,4442247,Calculation,0.000100,0.008900,0.016966,0.000379
2023-04-25,44.800700,44.809600,44.791800,44.809600,3513382,Calculation,0.000397,0.017800,0.017026,0.000380
2023-04-26,44.809600,44.827400,44.800700,44.827400,2973534,Calculation,0.000397,0.026700,0.017717,0.000395
2023-04-27,44.845300,44.845300,44.836400,44.845300,2255718,Calculation,0.000399,0.017900,0.017730,0.000395
2023-04-28,44.854200,44.872000,44.845300,44.872000,5027623,Calculation,0.000595,0.026700,0.018371,0.000409
2023-05-01,44.889900,44.898800,44.880900,44.880900,4519064,Calculation,0.000198,0.026800,0.018973,0.000423
2023-05-02,44.880900,44.889900,44.880900,44.889900,4344012,Calculation,0.000201,0.009000,0.018260,0.000407
2023-05-03,44.898800,44.907700,44.889900,44.889900,3058313,Calculation,0.000000,0.017800,0.018227,0.000406
2023-05-04,44.916600,44.925500,44.907700,44.916600,4957310,Calculation,0.000595,0.035600,0.019468,0.000433
2023-05-05,44.916600,44.925500,44.907700,44.925500,6161820,Calculation,0.000198,0.017800,0.019349,0.000431
2023-05-08,44.925500,44.925500,44.916600,44.925500,3248056,Calculation,0.000000,0.008900,0.018603,0.000414
2023-05-09,44.916600,44.934400,44.916600,44.934400,4156959,Calculation,0.000198,0.017800,0.018545,0.000413
2023-05-10,44.934400,44.943400,44.934400,44.934400,3603094,Calculation,0.000000,0.009000,0.017864,0.000398
2023-05-11,44.943400,44.961200,44.943400,44.952300,3676772,Calculation,0.000398,0.026800,0.018502,0.000412
2023-05-12,44.952300,44.961200,44.952300,44.961200,4075657,Calculation,0.000198,0.008900,0.017816,0.000396
2023-05-15,44.970100,44.970100,44.952300,44.952300,4906849,Calculation,-0.000198,0.017800,0.017815,0.000396
2023-05-16,44.961200,44.970100,44.961200,44.961200,4471740,Calculation,0.000198,0.017800,0.017814,0.000396
2023-05-17,44.970100,44.979000,44.961200,44.970100,3853618,Calculation,0.000198,0.017800,0.017813,0.000396
2023-05-18,44.987900,44.996900,44.979000,44.996900,4035286,Calculation,0.000596,0.026800,0.018455,0.000410
2023-05-19,44.996900,44.996900,44.979000,44.987900,4327526,Calculation,-0.000200,0.017900,0.018415,0.000409
2023-05-22,44.996900,45.005800,44.987900,45.005800,3097226,Calculation,0.000398,0.017900,0.018378,0.000408
2023-05-23,45.005800,45.005800,44.996900,44.996900,5812163,Calculation,-0.000198,0.008900,0.017701,0.000393
2023-05-24,45.013900,45.013900,44.996000,44.996000,7113504,Calculation,-0.000020,0.017900,0.017716,0.000394
2023-05-25,45.022800,45.040800,45.022800,45.040800,5503446,Calculation,0.000996,0.044800,0.019650,0.000436
2023-05-26,45.040800,45.040800,45.031800,45.040800,3233958,Calculation,0.000000,0.009000,0.018889,0.000419
2023-05-30,45.049700,45.067600,45.049700,45.049700,5650383,Calculation,0.000198,0.026800,0.019454,0.000432
2023-05-31,45.067600,45.076600,45.058700,45.076600,5157207,Calculation,0.000597,0.026900,0.019986,0.000443
2023-06-01,45.085500,45.085500,45.076600,45.085500,7314148,Calculation,0.000197,0.008900,0.019194,0.000426
2023-06-02,45.085500,45.103400,45.076600,45.103400,3808644,Calculation,0.000397,0.026800,0.019738,0.000438
2023-06-05,45.103400,45.148200,45.094500,45.103400,3997228,Calculation,0.000000,0.053700,0.022164,0.000491
2023-06-06,45.112400,45.121300,45.103400,45.121300,8767220,Calculation,0.000397,0.017900,0.021859,0.000484
2023-06-07,45.112400,45.130300,45.112400,45.121300,2991111,Calculation,0.000000,0.017900,0.021576,0.000478
2023-06-08,45.139300,45.148200,45.130300,45.130300,3447219,Calculation,0.000199,0.026900,0.021956,0.000487
2023-06-09,45.139300,45.148200,45.139300,45.148200,2526964,Calculation,0.000397,0.017900,0.021667,0.000480
2023-06-12,45.148200,45.157200,45.148200,45.148200,2471136,Calculation,0.000000,0.009000,0.020762,0.000460
2023-06-13,45.157200,45.157200,45.148200,45.148200,3958262,Calculation,0.000000,0.009000,0.019922,0.000441
2023-06-14,45.157200,45.166100,45.148200,45.148200,3080323,Calculation,0.000000,0.017900,0.019777,0.000438
2023-06-15,45.175100,45.184000,45.166100,45.166100,12801629,Calculation,0.000396,0.035800,0.020922,0.000463
2023-06-16,45.175100,45.184100,45.166100,45.175100,4603959,Calculation,0.000199,0.018000,0.020713,0.000459
2023-06-20,45.184000,45.193000,45.184000,45.184000,6226187,Calculation,0.000197,0.017900,0.020512,0.000454
2023-06-21,45.193000,45.202000,45.184000,45.202000,3581093,Calculation,0.000398,0.018000,0.020333,0.000450
2023-06-22,45.219900,45.219900,45.210900,45.219900,3722558,Calculation,0.000396,0.017900,0.020159,0.000446
2023-06-23,45.219900,45.228800,45.210900,45.228800,4339896,Calculation,0.000197,0.017900,0.019998,0.000442
2023-06-26,45.225200,45.234200,45.225200,45.234200,4937476,Calculation,0.000119,0.009000,0.019212,0.000425
2023-06-27,45.243200,45.243200,45.234200,45.243200,3938441,Calculation,0.000199,0.009000,0.018483,0.000409
2023-06-28,45.243200,45.243200,45.234200,45.234200,3325856,Calculation,-0.000199,0.009000,0.017805,0.000394
2023-06-29,45.261200,45.261200,45.252200,45.252200,3165650,Calculation,0.000398,0.027000,0.018462,0.000408
2023-06-30,45.270200,45.279200,45.261200,45.261200,3799469,Calculation,0.000199,0.027000,0.019072,0.000421
2023-07-03,45.279200,45.279200,45.270200,45.279200,5952743,Forward,,,,
2023-07-05,45.288200,45.297200,45.279200,45.297200,2729836,Forward,,,,
2023-07-06,45.315200,45.324200,45.306200,45.324200,4875105,Forward,,,,
2023-07-07,45.315200,45.324200,45.315200,45.324200,3128517,Forward,,,,
