Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,Period,Daily_Return,True_Range,ATR_14,ATRP
2023-04-03,362.931000,365.163000,362.564000,364.825000,3648361,Calculation,,,,
2023-04-04,365.433000,365.636000,361.510000,362.767000,2808016,Calculation,-0.005641,4.126000,4.126000,0.011374
2023-04-05,362.071000,362.757000,360.312000,361.887000,3340372,Calculation,-0.002426,2.445000,4.005929,0.011070
2023-04-06,361.066000,363.501000,360.148000,363.269000,3183584,Calculation,0.003819,3.353000,3.959291,0.010899
2023-04-10,360.950000,363.694000,360.380000,363.665000,2764342,Calculation,0.001090,3.314000,3.913199,0.010760
2023-04-11,364.187000,365.018000,363.018000,363.714000,3176132,Calculation,0.000135,2.000000,3.776542,0.010383
2023-04-12,365.636000,365.849000,361.694000,362.264000,3750713,Calculation,-0.003987,4.155000,3.803574,0.010499
2023-04-13,363.230000,367.347000,362.776000,366.960000,2774485,Calculation,0.012963,5.083000,3.894962,0.010614
2023-04-14,366.477000,368.467000,364.013000,366.206000,3085785,Calculation,-0.002055,4.454000,3.934893,0.010745
2023-04-17,366.062000,367.492000,364.941000,367.453000,2815984,Calculation,0.003405,2.551000,3.836044,0.010440
2023-04-18,368.960000,369.038000,366.448000,367.704000,3124697,Calculation,0.000683,2.590000,3.747041,0.010190
2023-04-19,365.955000,368.468000,365.897000,367.685000,2764549,Calculation,-0.000052,2.571000,3.663038,0.009962
2023-04-20,365.037000,367.250000,364.226000,365.607000,3056290,Calculation,-0.005652,3.024000,3.617392,0.009894
2023-04-21,365.907000,366.313000,364.110000,365.820000,2858726,Calculation,0.000583,2.203000,3.516364,0.009612
2023-04-24,365.714000,366.670000,364.506000,366.303000,2391051,Calculation,0.001320,2.164000,3.419767,0.009336
2023-04-25,364.457000,364.960000,360.438000,360.515000,3927890,Calculation,-0.015801,4.522000,3.498498,0.009704
2023-04-26,361.056000,362.042000,358.467000,358.911000,3898395,Calculation,-0.004449,3.575000,3.503962,0.009763
2023-04-27,361.278000,366.342000,361.066000,366.033000,4452588,Calculation,0.019843,7.431000,3.784465,0.010339
2023-04-28,365.288000,369.231000,365.250000,369.163000,3505130,Calculation,0.008551,3.981000,3.798503,0.010290
2023-05-01,368.854000,370.700000,368.651000,368.912000,3176443,Calculation,-0.000680,2.049000,3.673539,0.009958
2023-05-02,368.207000,368.255000,362.032000,364.776000,4462109,Calculation,-0.011211,6.223000,3.855643,0.010570
2023-05-03,365.163000,367.376000,361.965000,362.235000,5705447,Calculation,-0.006966,5.411000,3.966740,0.010951
2023-05-04,361.230000,361.491000,358.409000,359.588000,4575845,Calculation,-0.007307,3.082000,3.903544,0.010856
2023-05-05,363.066000,367.269000,362.767000,366.187000,3248989,Calculation,0.018352,7.681000,4.173362,0.011397
2023-05-08,366.612000,366.815000,365.134000,366.390000,3060843,Calculation,0.000554,1.681000,3.995337,0.010905
2023-05-09,364.970000,365.810000,364.602000,364.805000,2350275,Calculation,-0.004326,1.208000,3.796241,0.010406
2023-05-10,367.453000,367.984000,362.969000,366.400000,3635528,Calculation,0.004372,5.015000,3.883295,0.010599
2023-05-11,365.704000,366.100000,363.965000,365.888000,2770034,Calculation,-0.001397,2.135000,3.758417,0.010272
2023-05-12,367.037000,367.192000,363.163000,365.395000,2619352,Calculation,-0.001347,4.029000,3.777744,0.010339
2023-05-15,365.965000,367.028000,364.197000,366.661000,4018134,Calculation,0.003465,2.831000,3.710120,0.010119
2023-05-16,365.627000,366.487000,364.197000,364.235000,2354726,Calculation,-0.006616,2.290000,3.608683,0.009908
2023-05-17,366.071000,369.202000,364.554000,368.583000,3335094,Calculation,0.011937,4.967000,3.705705,0.010054
2023-05-18,368.400000,372.565000,368.149000,372.188000,3457213,Calculation,0.009781,4.416000,3.756441,0.010093
2023-05-19,372.999000,373.502000,370.506000,371.598000,3776379,Calculation,-0.001585,2.996000,3.702123,0.009963
2023-05-22,371.685000,373.202000,370.535000,371.801000,2881183,Calculation,0.000546,2.667000,3.628186,0.009758
2023-05-23,370.265000,371.154000,367.260000,367.646000,2988089,Calculation,-0.011175,3.894000,3.647173,0.009920
2023-05-24,366.129000,366.458000,363.868000,364.892000,3737673,Calculation,-0.007491,2.590000,3.571660,0.009788
2023-05-25,368.139000,369.385000,366.139000,368.071000,3431651,Calculation,0.008712,4.493000,3.637470,0.009883
2023-05-26,368.767000,373.531000,368.670000,372.854000,3149017,Calculation,0.012995,5.460000,3.767651,0.010105
2023-05-30,374.681000,375.164000,371.782000,372.970000,4107031,Calculation,0.000311,3.382000,3.740105,0.010028
2023-05-31,371.347000,372.168000,369.521000,370.941000,4352098,Calculation,-0.005440,2.647000,3.662026,0.009872
2023-06-01,371.241000,375.463000,370.052000,374.497000,3687998,Calculation,0.009586,5.411000,3.786952,0.010112
