Date,Period,Adj Close,Daily_Return,Adj High,Adj Low,High_Minus_Low,Abs_High_vs_PrevClose,Abs_Low_vs_PrevClose,True_Range,ATR_14,ATRP,Volume,Adj Open
2023-05-01,Calculation,23.62000000,,24.21000000,23.36000000,0.85000000,,,,,,6330700,24.20000000
2023-05-02,Calculation,22.91000000,-0.03005927,23.32000000,22.26500000,1.05500000,0.30000000,1.35500000,1.35500000,1.35500000,0.05914448,6221800,23.17000000
2023-05-03,Calculation,22.74000000,-0.00742034,23.00000000,22.62000000,0.38000000,0.09000000,0.29000000,0.38000000,1.28535714,0.05652406,3543900,22.78000000
2023-05-04,Calculation,23.89000000,0.05057168,23.94000000,23.30000000,0.64000000,1.20000000,0.56000000,1.20000000,1.27926020,0.05354794,6932700,23.31000000
2023-05-05,Calculation,23.93000000,0.00167434,24.07000000,23.42500000,0.64500000,0.18000000,0.46500000,0.64500000,1.23395590,0.05156523,5103200,23.74000000
2023-05-08,Calculation,24.75000000,0.03426661,25.18000000,24.47000000,0.71000000,1.25000000,0.54000000,1.25000000,1.23510191,0.04990311,5538900,24.73000000
2023-05-09,Calculation,24.77000000,0.00080808,25.00500000,24.23000000,0.77500000,0.25500000,0.52000000,0.77500000,1.20223749,0.04853603,7752300,24.29000000
2023-05-10,Calculation,28.22000000,0.13928139,29.00000000,26.11000000,2.89000000,4.23000000,1.34000000,4.23000000,1.41850624,0.05026599,27811900,26.28000000
2023-05-11,Calculation,29.26500000,0.03703047,29.96000000,28.74000000,1.22000000,1.74000000,0.52000000,1.74000000,1.44147008,0.04925577,14659300,29.25000000
2023-05-12,Calculation,29.44000000,0.00597984,29.77500000,28.57500000,1.20000000,0.51000000,0.69000000,1.20000000,1.42422222,0.04837711,11333900,29.05000000
2023-05-15,Calculation,30.00000000,0.01902174,30.01000000,28.86000000,1.15000000,0.57000000,0.58000000,1.15000000,1.40463492,0.04682116,6351200,29.00000000
