Ticker,Date,Adj Close,Daily_Return,Adj High,Adj Low,High_Minus_Low,Abs_High_vs_PrevClose,Abs_Low_vs_PrevClose,True_Range,ATR_14,ATRP,Volume,Adj Open
ACHR,2023-05-01,2.030000,,2.060000,1.951000,0.109000,,,,,,875400,1.980000
ACHR,2023-05-02,1.950000,-0.039409,2.070000,1.930000,0.140000,0.040000,0.100000,0.140000,0.140000,0.071795,1291500,2.020000
ACHR,2023-05-03,2.060000,0.056410,2.115000,1.970000,0.145000,0.165000,0.020000,0.165000,0.141786,0.068828,1188400,1.970000
ACHR,2023-05-04,2.030000,-0.014563,2.129000,2.010000,0.119000,0.069000,0.050000,0.119000,0.140158,0.069043,970500,2.060000
ACHR,2023-05-05,2.120000,0.044335,2.120000,2.050000,0.070000,0.090000,0.020000,0.090000,0.136575,0.064422,999400,2.060000
ACHR,2023-05-08,2.140000,0.009434,2.230000,2.110000,0.120000,0.110000,0.010000,0.120000,0.135391,0.063267,1344000,2.120000
ACHR,2023-05-09,2.250000,0.051402,2.280000,2.120000,0.160000,0.140000,0.020000,0.160000,0.137149,0.060955,1495500,2.200000
ACHR,2023-05-10,2.380000,0.057778,2.420000,2.280000,0.140000,0.170000,0.030000,0.170000,0.139496,0.058612,2049300,2.320000
ACHR,2023-05-11,2.370000,-0.004202,2.420000,2.300000,0.120000,0.040000,0.080000,0.120000,0.138103,0.058271,1116400,2.380000
ACHR,2023-05-12,2.000000,-0.156118,2.330000,1.910000,0.420000,0.040000,0.460000,0.460000,0.161096,0.080548,2569400,2.270000
ACHR,2023-05-15,2.370000,0.185000,2.370000,2.100000,0.270000,0.370000,0.100000,0.370000,0.176018,0.074269,2289200,2.110000
ACHR,2023-05-16,2.600000,0.097046,2.620000,2.330000,0.290000,0.250000,0.040000,0.290000,0.184159,0.070830,3608100,2.350000
ACHR,2023-05-17,2.930000,0.126923,2.930000,2.590000,0.340000,0.330000,0.010000,0.340000,0.195291,0.066652,3528600,2.600000
ACHR,2023-05-18,3.150000,0.075085,3.180000,2.900000,0.280000,0.250000,0.030000,0.280000,0.201341,0.063918,3275400,2.960000
ACHR,2023-05-19,3.250000,0.031746,3.370000,3.100000,0.270000,0.220000,0.050000,0.270000,0.206245,0.063460,8614700,3.260000
ACHR,2023-05-22,3.240000,-0.003077,3.390000,3.200000,0.190000,0.140000,0.050000,0.190000,0.205085,0.063298,5013000,3.250000
ACHR,2023-05-23,3.140000,-0.030864,3.340000,3.040000,0.300000,0.100000,0.200000,0.300000,0.211865,0.067473,2775600,3.340000
ACHR,2023-05-24,3.040000,-0.031847,3.175000,2.990000,0.185000,0.035000,0.150000,0.185000,0.209946,0.069061,2331900,3.050000
ACHR,2023-05-25,2.900000,-0.046053,3.110000,2.795000,0.315000,0.070000,0.245000,0.315000,0.217450,0.074983,2953000,3.070000
ACHR,2023-05-26,3.060000,0.055172,3.130000,2.905000,0.225000,0.230000,0.005000,0.230000,0.218346,0.071355,2506800,2.950000
ACHR,2023-05-30,3.070000,0.003268,3.140000,3.001000,0.139000,0.080000,0.059000,0.139000,0.212679,0.069276,2003300,3.100000
ACHR,2023-05-31,2.980000,-0.029316,3.120000,2.879000,0.241000,0.050000,0.191000,0.241000,0.214702,0.072047,1835700,3.060000
ACHR,2023-06-01,2.990000,0.003356,3.033000,2.910000,0.123000,0.053000,0.070000,0.123000,0.208151,0.069616,1408000,2.970000
ACHR,2023-06-02,2.960000,-0.010033,3.120000,2.785000,0.335000,0.130000,0.205000,0.335000,0.217212,0.073382,2212300,3.050000
ACHR,2023-06-05,3.000000,0.013514,3.085000,2.930000,0.155000,0.125000,0.030000,0.155000,0.212768,0.070923,2002600,2.960000
ACHR,2023-06-06,3.120000,0.040000,3.160000,2.960000,0.200000,0.160000,0.040000,0.200000,0.211856,0.067903,2990800,2.990000
