Ticker,Price,Rel Volume,"Avg Volume, M",ROE %,RSI,Debt/Eq,Change %,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
AVTR,12.49,2.9,8.99,12.52,28.75,0.67,-3.4,7.365892714171338,-3.407336777196662,-3.3629199225498727,7.091635680040023,2.3033640872034513,3.5575805721989466,0.1,0.061522180858164945,0.20262278342558224
CART,39.92,1.18,4.17,12.68,45.11,0.01,-4.75,4.609218436873747,-0.9690949457397723,-4.57151912462693,1.3682178692652431,0.28112775271626955,2.1847457232097676,0.1,0.09831727221208746,0.12443267286010587
KHC,28.81,1.73,11.14,5.56,43.17,0.42,-2.31,2.7073932662270046,-1.258226312061677,-2.3870879742061746,3.198380541315318,-1.1140098569741872,2.02693709415423,0.1,0.16738084909792794,0.11544464770680793
SPOT,597.73,1.53,2.56,28.91,55.68,0.36,-3.7,5.351914744115235,0.6062238903543186,-3.6314975230114412,2.5328668423880183,0.8259536214676313,1.4828237777608335,0.1,0.08467358046788256,0.08445455417860741
IR,74.8,2.44,2.89,8.4,48.32,0.49,-0.24,4.1310160427807485,-0.4906868602277541,-0.533902531021353,5.560954172507233,-0.06967113003081458,1.4777642344417155,0.1,0.10969838389638517,0.08416638677680817
TMO,421.34,1.12,2.25,13.75,34.33,0.69,-0.68,4.219869938766792,-2.5757115070542755,-0.9278163450316532,1.1685637595870537,-0.004489843143388332,1.4603964844618247,0.1,0.10738856654798248,0.08317720275937075
FI,178.03,1.36,3.62,11.88,31.12,1.1,0.28,5.4092006965118244,-3.0541195925662934,-0.06836802355463449,1.9671801982998136,0.8679773510558987,1.3995089701966974,0.1,0.08377684785024095,0.07970934100167082
UNH,420.0,1.11,5.92,15.88,28.25,0.88,0.32,5.226190476190476,-3.4818551705785965,-0.032557676826425394,1.1352880746406886,0.7337250310904294,1.3837296084108524,0.1,0.08671053720824472,0.07881062398294397
LKQ,37.21,1.02,2.76,11.37,34.97,0.95,-0.53,4.084923407686106,-2.4803279635254,-0.7935275448008691,0.8358069101234034,-0.10348368532915776,1.3233591784717904,0.1,0.11093617640184422,0.0753722128766873
LYB,58.72,1.25,3.65,7.19,41.82,1.04,-1.21,5.057901907356949,-1.4594259741928999,-1.402303439180424,1.6011476638897983,0.6102721946865485,1.2608076079899684,0.1,0.08959560545923957,0.07180957443141543
