Ticker,"Avg Volume, M",ATR/Price %,Price,Rel Volume,ROE %,RSI,Debt/Eq,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FTNT,5.05,4.481276856967465,97.74,3.08,205.91,45.13,0.51,-8.41,-1.057352354789386,-3.813812803760442,4.324877527660793,0.7564474815223954,2.4942385628723587,0.1,0.06654400382737925,0.14505632437933993
TAP,2.5,3.1722611582441904,54.22,2.51,8.54,29.16,0.49,-4.62,-2.800749157444473,-2.273453083365922,3.201183275590434,-0.4152115957091397,2.457728598972639,0.1,0.09400301218788698,0.14293303062334214
EVRG,2.43,2.1343754697129116,66.53,2.31,8.91,42.52,1.43,-4.47,-1.342278194171338,-2.212488978337115,2.8069045906534664,-1.344190666993331,1.9399684952079848,0.1,0.13971398591912199,0.11282188621224927
ARM,5.21,5.698592516306213,116.52,3.0,14.11,53.6,0.04,-6.18,-0.13270796415140296,-2.907479775665513,4.167166053686006,1.8460287168822396,1.7128960479848978,0.1,0.05232908011378247,0.09961613474472686
IBN,5.37,1.9795855242808538,32.33,2.0,17.89,47.36,0.7,-4.35,-0.8139099709496339,-2.1637176943140695,2.1957726290011657,-1.482738313753054,1.6295980400178347,0.1,0.15063865676120272,0.09477180948904301
BDX,2.5,4.025007442691277,167.95,1.69,5.97,24.01,0.76,0.48,-3.3629591470295512,-0.20067351238648926,1.5846406673488649,0.34805497605342606,1.5293940666600445,0.1,0.07408734233847765,0.08894429151227513
UNH,6.68,4.344443003501492,385.55,1.05,24.33,24.52,0.86,-1.41,-3.3072839830123884,-0.9688212357494556,0.32294887555056734,0.6339717719932082,1.4978294244774377,0.1,0.06863989332608278,0.08710860063510208
HDB,3.15,2.3436376707404745,69.55,1.5,14.51,48.01,1.22,-4.5,-0.7429514285748183,-2.2246817993428767,1.2100759166587454,-1.1568866051745688,1.396375473620399,0.1,0.12723899604642036,0.08120838827204059
AZN,6.09,2.6741940276333382,67.31,1.0,19.81,40.17,0.77,-3.95,-1.5988206166033643,-2.001146747570585,0.22437920431632521,-0.8610159319138461,1.3909660115155318,0.1,0.1115110202327009,0.08089379258681562
OHI,2.53,2.58644925499016,35.57,1.18,10.53,34.87,0.94,-0.25,-2.177405654428785,-0.49736549019334925,0.5792300207595964,-0.939553538030616,1.1459712585727277,0.1,0.11529400924694483,0.06664574154506518
