Ticker,Change %,"Avg Volume, M",Debt/Eq,RSI,Rel Volume,Price,ATR/Price %,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
AKAM,-10.72,2.71,1.01,43.2,1.83,76.28,3.867330886208705,9.82,-1.2491371543598393,-4.120512777086553,2.4296537768602184,0.27999732950390516,2.3373084984278902,0.1,0.08978108779814291,0.16210278948313742
BDX,-0.63,2.53,0.76,23.53,1.33,166.9,3.906530856800479,5.97,-3.3331335943902656,-0.34951825008788634,1.3962307722295415,0.3154144429787814,1.5366328557153832,0.1,0.08888018207631607,0.10657235554931944
LTH,-7.1,2.44,1.47,40.09,1.11,28.57,5.950297514875744,8.24,-1.5786353205263175,-2.767589071661858,0.9415246501920437,2.1619544926901937,1.4932880180352506,0.1,0.05835223750932464,0.10356619735395528
UNH,-1.23,6.69,0.86,23.65,1.08,380.8,4.235819327731092,24.33,-3.320419838782556,-0.5737597482245761,0.8795192699142029,0.6129260728310076,1.477574102152236,0.1,0.08197072324733869,0.10247636706409265
PAA,-2.95,3.79,0.82,38.3,1.46,16.44,3.64963503649635,7.56,-1.768282175007989,-1.21658537621642,1.6649207534335173,0.08330946224591176,1.3693568473906554,0.1,0.09513640963193357,0.0949710168380276
BTI,-3.81,5.6,0.74,44.99,1.35,41.65,2.0408163265306123,5.87,-1.0594902998781688,-1.537998190212342,1.4375676924147687,-1.370255781584082,1.3336600881730407,0.1,0.17013445518119505,0.09249528706227254
SNY,-4.03,2.84,0.23,37.84,0.63,50.03,2.7983210073955624,7.34,-1.8170182381708755,-1.6202200728624618,-0.05056143425340671,-0.6858514609957963,1.2615062681105664,0.1,0.12407910776552754,0.08749109719522737
TMO,-2.07,2.35,0.69,31.61,0.81,402.28,3.619369593318087,13.73,-2.477074050137808,-0.8876978456159417,0.3214708474136372,0.055964680624139396,1.2363678649341259,0.1,0.09593194750825738,0.08574763659480013
MRK,-2.28,17.23,0.72,32.61,0.7,75.88,3.4264628360569325,39.31,-2.371126086740227,-0.966182369963783,0.094117786394888,-0.1183262795181224,1.1987141450771932,0.1,0.1013328293496788,0.08313618285331462
GILD,-1.39,9.78,1.3,34.31,1.13,96.79,3.6780659159004028,32.51,-2.191014548964338,-0.6335574810610267,0.9828615703772703,0.10899671830357742,1.1742728527539739,0.1,0.09440101993228543,0.08144107000585286
