Ticker,Price,ROE %,RSI,Rel Volume,Debt/Eq,ATR/Price %,"Avg Volume, M",Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
UNH,310.04,24.33,14.71,8.04,0.86,6.312088762740291,6.96,-18.14,-4.042941735319349,-5.722754343863067,11.410091841788715,2.6870906492408726,5.431302931147501,0.1,0.044584515140800744,0.30645357316505994
CVS,60.34,7.0,32.81,1.49,1.06,3.960888299635399,10.39,-6.9,-2.4302528088642394,-2.3619697510264768,1.0456093067673247,0.4388992556679291,1.8425098317484228,0.1,0.07105007657963434,0.10396100690553127
ED,100.28,8.33,29.36,1.01,1.1,2.5927403270841642,3.05,-3.15,-2.737643792083584,-1.2407115461210307,0.2860747087810244,-0.869308421767671,1.5365701523045872,0.1,0.10854207576157987,0.08669879392881409
CNC,59.16,12.59,44.61,1.46,0.66,3.803245436105477,4.94,-5.9,-1.3788865474183671,-2.062967563051691,0.998138394393181,0.2881629256069251,1.375460324982464,0.1,0.07399507124647949,0.0776084001723312
JNJ,148.48,29.45,35.12,0.8,0.67,2.337015086206897,9.69,-3.68,-2.224434498360853,-1.399182705747667,-0.0462216778379819,-1.1138300160261323,1.3704046874729985,0.1,0.12041917002308918,0.07732314298836565
MRK,76.62,39.31,39.19,1.08,0.72,3.7588097102584177,17.19,-4.74,-1.8618022369977427,-1.7161250250009399,0.39684017098736,0.24567398517663866,1.3070751773793472,0.1,0.07486982281769326,0.0737498651025579
KHC,27.62,5.36,35.83,1.16,0.44,2.2809558291093412,11.15,-1.88,-2.161174325002669,-0.8609787673930529,0.5234292706517432,-1.1674332460843575,1.279182761077287,0.1,0.12337872282356342,0.07217607502891754
PPL,33.88,7.0,33.73,0.82,1.21,2.1546635182998815,5.87,-1.99,-2.3482818800057483,-0.8938690080702795,-0.014574402921886203,-1.2881925308376967,1.260657183326002,0.1,0.13061037819702162,0.0711307955501629
BTI,40.74,5.87,39.98,1.74,0.74,2.1354933726067746,5.7,-0.59,-1.7914141567822988,-0.47526594490557944,1.441200243218523,-1.3065228081735003,1.212230365051812,0.1,0.1317828566561855,0.06839838093708127
MDLZ,64.37,13.27,38.97,0.83,0.78,2.3302780798508618,9.7,-2.22,-1.8814039808552079,-0.9626395113044801,0.0012492345361617347,-1.1202718656028727,1.1076922557234103,0.1,0.12076731075395249,0.06249996622117811
