Ticker,Rel Volume,RSI,"Avg Volume, M",ROE %,Debt/Eq,Price,Change %,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
UNH,4.45,14.52,7.89,24.33,0.86,307.96,-1.1,6.250811793739447,-3.6612086091111156,-0.36093949214531107,7.6950030559617435,2.733319535279648,2.6734204931041337,0.1,0.055393000738230315,0.19644851003926914
TECH,1.09,41.07,2.14,6.53,0.21,47.89,-7.21,5.637920233869284,-1.4662596697816974,-2.827326049534226,0.6750486560499785,2.137120445735156,1.4240526883970532,0.1,0.06141470754145753,0.10464235969411337
TMO,1.1,38.78,2.38,13.73,0.69,406.27,-5.29,3.874270805129594,-1.6555791828161368,-2.052291321189428,0.6959413774782874,0.42150507013263167,1.394792444884342,0.1,0.08937197210032556,0.10249225601372149
MRK,1.06,34.57,17.24,39.31,0.72,73.65,-3.89,4.032586558044807,-2.0036294666043424,-1.4871618317713458,0.6123704917650521,0.5755089982803713,1.2867001529564641,0.1,0.08586330815748869,0.09454940910627309
BDX,1.08,31.8,2.66,5.97,0.76,170.98,-2.49,3.766522400280735,-2.232631672327223,-0.9220323423532639,0.6541559346216698,0.3166912579072358,1.2032944662717806,0.1,0.09192862420766178,0.08842058540634569
EVRG,1.38,33.72,2.58,8.95,1.45,64.22,-0.84,2.1488632824665213,-2.0739009015734573,-0.25598687268195297,1.2809375774709342,-1.2569099407101707,1.1973392305545976,0.1,0.1611322717133087,0.08798298227335899
AGI,1.15,36.69,4.06,7.85,0.08,23.82,-3.84,5.331654072208228,-1.828364240563726,-1.4669786357207,0.8004049846198312,1.8391956272251908,1.1295314409009962,0.1,0.06494255208904429,0.08300032455794688
ED,0.74,27.85,3.1,8.33,1.1,99.21,-1.36,2.6509424453180124,-2.5591871642425223,-0.46589211160866917,-0.0561965939408304,-0.7685052058909593,1.1243889483488467,0.1,0.1306143869387594,0.08262244348672608
PFE,0.89,39.7,53.77,8.62,0.69,22.03,-3.67,3.2228778937812073,-1.579520688496624,-1.3983557691485042,0.257194227483802,-0.2121467634216039,1.1149102820147156,0.1,0.1074354144701748,0.08192593132812534
KHC,0.82,32.81,11.15,5.36,0.44,27.2,-1.43,2.2794117647058822,-2.1491326731286273,-0.4941485860795732,0.1109451774856401,-1.129917024917676,1.0603291787117657,0.1,0.15190376204354877,0.0779151980941199
