Ticker,"Avg Volume, M",Price,Rel Volume,ROE %,Change %,RSI,Debt/Eq,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BF-B,3.01,27.25,7.04,27.99,-17.92,18.32,0.75,4.403669724770642,-3.3745093121493976,-8.582312968111793,11.737097839631744,1.441984579518225,6.388108908065943,0.1,0.07943601382081528,0.319000491523725
TSLA,123.63,284.7,2.29,9.16,-14.26,37.55,0.18,6.666666666666667,-1.60118644238732,-6.818175726734375,2.7023380337918512,3.5784466001080184,3.1293997059401617,0.1,0.05247149536787797,0.15627160693967415
LTH,2.08,28.71,4.07,8.24,-3.88,44.59,1.47,4.04040404040404,-0.9519824380646452,-1.814966829057441,6.0879953926118535,1.0990308071712966,2.076128241297971,0.1,0.08657796735699867,0.10367480250753153
PLTR,104.41,119.91,1.25,12.41,-7.77,49.03,0.05,5.770994912851305,-0.5425412762475043,-3.6899651539093945,0.7242011499869064,2.7328561136541074,1.352931869186885,0.1,0.06061519277034921,0.06756082863956601
CAVA,3.69,78.33,0.92,21.73,-4.52,31.6,0.57,4.72360525979829,-2.1498744858134438,-2.1234498439431095,0.09652310031802978,1.7440309972438086,1.3405650357540186,0.1,0.07405571589488075,0.06694327092405881
TAP,2.6,51.86,1.13,7.9,-1.72,28.97,0.49,2.4296182028538373,-2.3924038226555795,-0.7738366538183102,0.4959545864709511,-0.4216883336803062,1.2495439174280822,0.1,0.14397734125810327,0.06239798500253189
CPRT,5.79,50.14,1.06,18.54,-0.48,21.6,0.01,2.7124052652572797,-3.0720392646808787,-0.1761508124773277,0.36281075775331084,-0.1547132408050508,1.2249000026365395,0.1,0.12896670479144126,0.06116735148567924
TTD,10.89,71.11,1.12,16.88,-6.5,51.79,0.12,4.528195753058642,-0.2880237972800924,-3.0778191712456464,0.47693403951128854,1.559547765347942,1.117477070351472,0.1,0.07725151212442655,0.055803014607109756
COST,2.45,1010.81,1.34,32.08,-3.89,48.43,0.3,2.240777198484384,-0.5978711629795506,-1.8197868761650298,0.895386072623873,-0.5999703394117594,1.0852545621665537,0.1,0.15611099994938846,0.05419393184145161
LKQ,2.6,38.97,1.2,11.37,-2.38,38.91,0.95,2.4890941750064153,-1.475772032461349,-1.0919597629191558,0.6290984151885917,-0.36553794598460904,1.0610796060193557,0.1,0.14053705666571853,0.05298671652867206
