Ticker,Price,Change %,"Avg Volume, M",ROE %,RSI,Rel Volume,Debt/Eq,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FSLR,143.9,-17.89,4.53,16.77,40.87,4.55,0.08,7.817929117442668,-1.0257754024204682,-9.733466631015546,9.43818023695878,5.035944413068664,5.149776317787494,0.1,0.042000105018324206,0.30673182927634934
LEN,104.61,-4.46,2.94,13.06,41.75,2.78,0.12,3.431794283529299,-0.9490090936954512,-2.004123215542461,4.891062985829171,0.6729913708651263,1.944509768312591,0.1,0.09567993207935636,0.11581921261708353
ADBE,382.68,-4.74,3.75,52.25,37.18,1.81,0.57,2.683704400543535,-1.3476704924151401,-2.1652711050683333,2.3991399724982565,-0.07114467474347401,1.7164720210932143,0.1,0.12235097274196992,0.10223679057924473
CPRT,48.0,-0.81,6.1,18.54,18.6,1.71,0.01,2.4791666666666665,-2.9684864198137886,0.0965546300626586,2.1422406927734197,-0.2746013768410927,1.4610844026516885,0.1,0.1324452479832229,0.08702535098554313
BF-B,25.81,-0.42,3.74,23.14,19.68,1.79,0.71,4.184424641611779,-2.8742732227421772,0.32101061904512346,2.347760116553289,1.4216438940528229,1.2210295451993443,0.1,0.07847048807931924,0.0727271638392972
ANET,89.68,-5.69,10.68,33.68,46.4,1.1,0.0,3.969669937555754,-0.5433689396371243,-2.712022873102543,0.575155086451916,1.2080242209538132,1.1336157296538851,0.1,0.08271565372525257,0.0675206076916695
TMO,390.26,-3.66,2.6,13.73,37.85,1.11,0.69,2.9365038692153953,-1.289223416454048,-1.5437006740399692,0.6008450144243997,0.1803186871170328,1.0936605658460825,0.1,0.11181795038674328,0.06514079161277059
TAP,49.34,-0.56,2.58,7.9,21.07,1.16,0.49,2.2091609241994323,-2.753017348733344,0.24043667428218735,0.7292946542868176,-0.543180073145966,1.0795801742298647,0.1,0.14863283175144762,0.06430213299716195
LULU,235.2,-2.52,2.92,42.49,26.86,1.14,0.4,4.770408163265307,-2.2479299310994274,-0.887598552398918,0.6779147983418502,2.0045303499619664,1.0325648938965943,0.1,0.06883139402764461,0.0615018010893947
ROST,129.05,-1.6,3.45,39.57,29.84,1.15,0.9,2.805114296784192,-1.987971294735166,-0.35811262967105223,0.7036047263143339,0.04962354060210402,0.9568879647448327,0.1,0.11705542420671931,0.0569943193114853
