Ticker,Price,Debt/Eq,ATR/Price %,ROE %,Change %,Rel Volume,"Avg Volume, M",RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ACN,285.37,0.27,2.6316711637523214,27.27,-6.86,3.32,3.5,26.81,-2.253543238444651,-4.8649592004259254,2.782950228692704,-0.07807998424817264,3.05587389776806,0.1,0.09528801797717912,0.17654004739909124
CTSH,75.47,0.08,1.9875447197561946,16.61,-4.64,3.06,3.81,33.98,-1.6111633756822847,-3.2614798317797935,2.3792974934758893,-0.756150977435511,2.2568997190504563,0.1,0.12616910033220072,0.13038273067065026
INFY,17.68,0.09,1.9230769230769231,29.0,-4.07,3.24,11.52,40.22,-1.0521047503493461,-2.849775669559842,2.6587493870875307,-0.8240161354807469,1.9798096379337966,0.1,0.13039869916406066,0.11437503608289869
BF-B,25.68,0.71,3.9719626168224305,23.14,0.12,4.05,3.87,19.61,-2.89861088305958,0.17661106675875723,3.916282908339915,1.3328429257095724,1.602672224802314,0.1,0.06313421181246374,0.09258753469456228
TAP,48.05,0.49,2.289281997918835,7.9,-1.56,1.77,2.61,17.53,-3.0849637581705593,-1.036832779784261,0.3765589225924606,-0.4385125730625086,1.5617918301089297,0.1,0.10953946669288658,0.09022584469742766
BHP,46.14,0.44,2.1022973558734286,26.13,-3.11,1.94,3.01,33.3,-1.672086431007028,-2.156379185820974,0.640485711003455,-0.635351040298718,1.531595212120363,0.1,0.1192822359125646,0.08848136421513832
SONY,24.75,0.51,2.181818181818182,14.32,-4.37,1.31,6.35,39.96,-1.0753988597382185,-3.0664620707282375,-0.3375959166372891,-0.5516395797151176,1.4372961003073135,0.1,0.11493475086575856,0.08303363625708123
ANET,86.25,0.0,4.197101449275363,33.68,-4.42,1.71,10.76,41.48,-0.9392179125417338,-3.10257647092297,0.2834082913885801,1.5698462550237708,1.3143250669879851,0.1,0.0597475977629634,0.07592951063633312
GOOG,167.73,0.08,2.7842365706790675,34.79,-3.59,2.09,26.28,44.18,-0.6973175458111354,-2.5030774276904078,0.8733622890131558,0.08252540304046233,1.286558158224125,0.1,0.09006660274579102,0.07432539621496305
GOOGL,166.64,0.08,2.7424387902064336,34.79,-3.85,1.89,39.55,44.55,-0.6641682362962017,-2.690872308703018,0.5628601850002212,0.03852493887340562,1.2829837338624306,0.1,0.09143931673413172,0.07411889913185406
