Ticker,ROE %,Change %,Rel Volume,"Avg Volume, M",Debt/Eq,Price,RSI,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PAYX,44.25,-9.4,4.46,2.08,0.21,137.94,23.88,2.4575902566333188,-2.6575974218841854,-5.309840939400832,8.24930948783853,-0.24506936621653114,4.462972260639115,0.1,0.09239925491460602,0.24360878923003906
SHEL,7.4,-1.0,4.78,5.12,0.43,69.44,51.17,1.886520737327189,-0.18840089475960606,-0.2436181129553504,8.983256610120362,-0.7699168822536414,2.0248496629496713,0.1,0.1203694738707399,0.11052526118398587
TOST,11.06,-7.1,1.87,7.12,0.01,41.5,47.18,3.8795180722891573,-0.5494157039654352,-3.922660879778855,2.3089249668699696,1.0617685174404656,1.9208349459404488,0.1,0.05853291681260889,0.10484767732441395
EQR,9.01,-2.81,2.1,2.0,0.74,65.64,32.64,2.148080438756855,-1.8649934798683805,-1.3352685077013413,2.836449461010035,-0.5295276565117959,1.7403343535025892,0.1,0.10571275847087475,0.09499515568387057
TAP,7.9,-2.03,1.08,2.57,0.49,47.24,16.94,2.265029635901778,-3.28552794215698,-0.864833530959975,0.4969930087367021,-0.42204425291738473,1.594229542630013,0.1,0.10025454192695661,0.08702010811495399
AMH,5.81,-2.35,2.05,2.03,0.69,35.81,37.18,1.926836079307456,-1.4542147245314223,-1.0578324957769458,2.7217702231534986,-0.7328646383828091,1.4968570355769095,0.1,0.11785097395515401,0.08170508548828342
NVO,87.53,-4.78,1.32,10.27,0.86,67.35,39.82,3.875278396436526,-1.2153477831020016,-2.5234183848558174,1.0474533504480745,1.057871998251769,1.4122716290496746,0.1,0.05859695365554196,0.07708803943304321
ED,8.33,-2.14,1.5,2.93,1.1,98.05,31.75,1.8969913309535953,-1.9455205926987533,-0.9311769251158089,1.4602986067316037,-0.7602937718082958,1.374933229762247,0.1,0.11970508504335856,0.07504994425543719
LKQ,11.37,-1.89,1.39,2.36,0.95,36.94,33.47,2.165674066053059,-1.7898951611614038,-0.7803964838525501,1.2080042834472244,-0.5133580462063554,1.1925387370649643,0.1,0.10485396309527152,0.06509404515203356
KHC,5.36,-1.15,1.54,11.37,0.44,25.73,34.49,1.8655266226195102,-1.6976056610636727,-0.3340863777133054,1.5520419970168324,-0.7892117466847033,1.1004217876437792,0.1,0.12172407825488796,0.06006589413393915
