Ticker,RSI,Change %,Rel Volume,Debt/Eq,"Avg Volume, M",ROE %,ATR/Price %,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
TAP,16.94,0.0,1.02,0.49,2.59,7.9,2.265029635901778,47.24,-3.459132906429317,-0.6638670660249723,0.3201130808289382,-0.3909573682500749,1.5461683433497961,0.1,0.1010408884166347,0.12377956949875767
ROST,28.01,-0.52,1.22,0.9,3.42,39.57,2.4956562944242617,126.62,-2.4643936259659194,-0.994658023847072,0.8889166574600018,-0.16446124900107253,1.4048975338266545,0.1,0.09170357601438844,0.11247003773869664
FDX,47.33,-0.42,2.32,1.33,2.03,14.69,2.4698059438186997,221.07,-0.7283174833685533,-0.9310443781120528,4.017336328930852,-0.18984861805413933,1.4032287791097964,0.1,0.09266339619689658,0.1123364444328059
ABT,49.6,-2.71,1.4,0.27,6.76,30.66,1.989975312336351,133.67,-0.5243375225147217,-2.3877968654439923,1.400839876427959,-0.6610854500136806,1.3655235560725099,0.1,0.11500675675861832,0.10931792688555192
CPRT,27.35,0.21,1.09,0.01,6.52,18.54,2.238805970149254,48.24,-2.523700574936637,-0.5302784099814319,0.5191943326498107,-0.41671136635021483,1.2144026478863075,0.1,0.10222440432667992,0.09721983870647093
BF-B,27.61,0.5,1.4,0.7,4.15,23.14,3.4364261168384878,26.19,-2.500337231402718,-0.34579883734987626,1.400839876427959,0.7594593213636157,1.200369667212638,0.1,0.06659843655014298,0.09609641879295235
KHC,35.88,0.23,1.4,0.44,11.5,5.36,1.8611865063978286,25.79,-1.7572031889969093,-0.517555680834428,1.400839876427959,-0.7875676396038507,1.1550903436869449,0.1,0.12296489680900541,0.09247155142497694
EBAY,42.95,-1.13,1.21,1.45,5.77,36.48,2.1579804560260585,73.68,-1.1218999629014963,-1.382701262830689,0.8604764786284486,-0.4960892899714102,1.0983146537290955,0.1,0.10605314152055446,0.08792633454015056
ZTS,38.98,-0.92,1.04,1.45,3.0,51.85,2.4327620514795556,155.79,-1.4786402468617217,-1.2491126067871487,0.37699343849204464,-0.22622905174054256,1.0527350916495677,0.1,0.09407439028503999,0.0842774313683764
ZBH,44.75,-1.13,1.22,0.58,2.31,7.31,2.1255722694571615,91.74,-0.9601537384359033,-1.382701262830689,0.8889166574600018,-0.5279170436958879,1.0505742863048964,0.1,0.10767011312203924,0.0841044466112609
