Ticker,ROE %,RSI,Debt/Eq,Change %,Rel Volume,ATR/Price %,"Avg Volume, M",Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FTV,7.7,18.09,0.38,-27.19,3.29,5.44791866487627,3.3,52.13,-3.4565553741603408,-11.250650833807239,3.5327250411443063,2.8357451485545364,5.5704926661620595,0.1,0.052114394433343605,0.3596476224615131
YPF,15.54,34.74,0.88,-5.64,2.47,4.801271860095389,2.11,31.45,-1.9502369589818092,-2.4546327468310696,2.293607445138878,2.187239121681498,1.781701973894133,0.1,0.059133286015696666,0.1150319939811528
NXT,39.33,42.85,0.02,-6.77,2.0,5.168291337134449,2.35,54.37,-1.2165287099068611,-2.915862465544901,1.583381505965035,2.5553138435851706,1.5074818282426063,0.1,0.05493401273689668,0.09732752342081902
BEKE,6.53,38.62,0.32,-4.32,1.07,3.1003382187147692,9.16,17.74,-1.599215009979245,-1.915851128510488,0.1780408178125372,0.4814150000882369,1.2177398120250902,0.1,0.09157548696730006,0.07862091459736109
JHX,21.05,58.93,0.56,-2.54,3.96,3.607288955001859,4.16,26.89,0.23822204781510734,-1.1893122795630366,4.545174784221913,0.9898233079608845,1.1429342071600692,0.1,0.07870591618352635,0.0737912416135106
TAP,7.9,27.58,0.49,1.37,1.44,2.1418174256602205,2.63,48.09,-2.5979991122958204,0.4066241807653537,0.7371548550344985,-0.479861707046554,0.9623983677472184,0.1,0.13255797564286748,0.062135309310011114
KVUE,10.22,33.05,0.88,0.24,1.14,2.2455805064500716,19.05,20.93,-2.1031305398617928,-0.054605537948477785,0.283819149178854,-0.3758002893427516,0.8495514860036406,0.1,0.12643277821776425,0.054849578019526266
HLN,8.9,36.43,0.63,-0.1,1.01,1.446480231436837,16.26,10.37,-1.7973433781018264,-0.19338262145529436,0.08737367664140822,-1.1771981167047634,0.83194864684375,0.1,0.19627989098759713,0.05371308621676641
ROST,39.57,31.87,0.9,-0.25,0.73,2.3906568427653236,3.49,127.58,-2.2098846377543246,-0.2546078053553605,-0.33573964882386,-0.230306833314648,0.8184551086550826,0.1,0.11876024072686489,0.05284190314212978
BIRK,9.35,35.25,0.5,-0.53,1.17,3.1720211468076456,2.15,49.18,-1.904097475994359,-0.3688948153021506,0.32915271976441846,0.5533040290735254,0.8060474429993095,0.1,0.0895060180881428,0.05204082723720975
