Ticker,RSI,Change %,ROE %,Rel Volume,"Avg Volume, M",Price,Debt/Eq,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
UGI,42.69,-3.68,10.84,1.95,2.0,35.08,1.4,1.8244013683010263,-1.5810059226425115,-1.81308314794259,2.1831204043600483,-0.8304918960059683,1.707604445177392,0.1,0.14662088434643084,0.12944098428655776
SE,42.04,-5.9,11.13,1.32,4.9,150.5,0.46,3.5415282392026577,-1.6512599195205573,-2.7695439558688006,0.7302691493457908,0.8592272233966558,1.6074124639157676,0.1,0.0755310487326113,0.12184616412270081
AM,45.09,-4.06,19.71,1.38,2.89,18.18,1.49,2.145214521452145,-1.3216065495543414,-1.9768016646146436,0.8686359355376245,-0.514799370414863,1.3796499991081559,0.1,0.12469398251232292,0.10458116009235169
RRC,43.76,-4.2,6.96,1.27,3.0,38.96,0.46,3.2597535934291577,-1.465357035474036,-2.0371190128622425,0.614963494185929,0.5819500958909969,1.2906643061657834,0.1,0.0820599883875696,0.09783580655663546
AMH,38.04,-0.91,5.81,1.56,2.08,35.74,0.69,1.8746502518186905,-2.08359220800084,-0.61966132904367,1.283736294113127,-0.7810450550955761,1.2809905022977612,0.1,0.14269079886428124,0.09710250634884535
HWM,57.0,-5.32,28.29,1.82,3.3,176.22,0.73,2.638747020769493,-0.034337160604300566,-2.519657798843034,1.883325700944408,-0.029144341497166534,1.2734778101451654,0.1,0.10137210574476738,0.09653302418942587
TSLA,41.42,-5.34,9.16,1.17,122.56,300.71,0.18,5.799607595357655,-1.7182714242350008,-2.528274562878405,0.3843521838662054,3.081264468215967,1.2550350854413361,0.1,0.04612300705262437,0.09513501632798482
BRO,47.39,-1.75,16.18,1.9,2.8,108.93,0.59,2.157348756081887,-1.0730154836781793,-0.981565418529263,2.0678147492001866,-0.5028588151765501,1.182952147130297,0.1,0.1239926281131068,0.08967093680324523
DXCM,49.82,-4.25,23.72,1.36,4.11,83.58,1.14,3.254367073462551,-0.8103736184264076,-2.058660922950671,0.8225136734736803,0.576649552332535,1.11099986894346,0.1,0.08219581134666772,0.08421676166539771
SPOT,53.52,-5.86,24.28,1.19,2.29,722.35,0.34,3.579982003184052,-0.410466251582146,-2.7523104277980575,0.4304744459301501,0.8970672114100284,1.1033600058280983,0.1,0.07471974489961777,0.0836376396068555
