Ticker,Rel Volume,Debt/Eq,RSI,ROE %,Change %,ATR/Price %,"Avg Volume, M",Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CNC,5.07,0.66,15.68,12.59,-1.39,8.70609426598619,6.65,33.31,-4.123907668815219,-1.2376612344068088,9.807837849857751,6.155010372168805,3.22261564888238,0.1,0.026105403781506564,0.23023171139900514
AZN,1.27,0.77,42.43,19.81,-2.36,1.7998560115190785,5.33,69.45,-1.583971355431796,-1.850246928827443,1.5574856185839885,-0.7983692120826879,1.5933104444158002,0.1,0.12627460458995687,0.1138300779166693
LEN,1.03,0.2,50.28,13.04,-4.5,3.3599709407918636,3.07,110.12,-0.8386068672052588,-3.2017246464152347,1.0364107408193297,0.7723949142887951,1.5441586865021593,0.1,0.06764228327518364,0.11031855356015732
BABA,0.64,0.25,35.2,13.04,-1.82,2.677092916283349,18.54,108.7,-2.2704662917219696,-1.5092198412118323,0.18966406445175935,0.08485562890717886,1.3523373965264645,0.1,0.0848966073575659,0.09661436147346367
SNY,0.58,0.23,43.32,7.34,-2.05,1.8426501035196687,2.67,48.3,-1.4994650631360484,-1.6544721192703329,0.059395345010594555,-0.7552830116535304,1.1912853840097055,0.1,0.12334197672108536,0.08510840342387538
RIO,1.29,0.25,51.7,20.93,-1.93,1.8807184005421893,3.42,59.02,-0.7037766030929423,-1.5786883220224197,1.6009085250643769,-0.716954864032443,1.1907399152064966,0.1,0.12084536744464637,0.08506943377010326
HLN,0.5,0.63,32.6,8.9,-0.1,1.3658536585365855,16.7,10.25,-2.5173386062938166,-0.4229854139917382,-0.11429628091095827,-1.2353340241196324,1.1297875533297157,0.1,0.1663985777341173,0.08071484479093985
JD,0.45,0.37,42.27,19.81,-1.23,2.463361396944185,13.25,32.07,-1.5991634978669864,-1.1366161714095906,-0.2228535471119288,-0.13033480158842636,0.9259856549832588,0.1,0.09226259145546646,0.0661547281170996
BIRK,0.33,0.5,33.97,9.35,-0.47,3.031544448996313,2.21,48.82,-2.3872558866924973,-0.656652122172805,-0.48339098599425817,0.4417266142918479,0.9245169444748194,0.1,0.07497040204991068,0.06604979976983455
GSK,0.54,1.3,42.68,22.26,-0.86,1.9381875327396543,5.6,38.18,-1.560233632876811,-0.902949463228524,-0.027450467950181735,-0.6590934529686081,0.9225333353436915,0.1,0.1172621855905608,0.0659080857788519
