Ticker,RSI,Price,Debt/Eq,Rel Volume,ATR/Price %,Change %,"Avg Volume, M",ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CNC,15.53,33.05,0.66,3.25,8.350983358547655,-0.78,7.06,12.59,-4.005786166443865,0.027014416707938572,7.022867184370732,5.701261558981512,2.2270173933835693,0.1,0.04146346398701936,0.1522027535337403
TSLA,40.41,293.94,0.18,1.09,5.861740491256719,-6.79,119.59,9.16,-1.5589896774997476,-3.708518206087722,0.7125826250131558,3.223239296518437,1.663820354606402,0.1,0.05907131137241844,0.11371174742907016
FLS,56.96,52.15,0.81,2.0,3.2790028763183128,-5.68,2.41,14.0,0.06860203841766246,-3.0185945436412687,3.3710821384462086,0.6521437268509349,1.6414994318324103,0.1,0.10559938822991292,0.1121862515269237
PGR,35.83,253.54,0.24,1.48,2.311272383055928,-3.1,3.39,34.34,-2.009404786798946,-1.4149881930900534,1.8519395593416068,-0.311224588020803,1.6000479136315513,0.1,0.14981388618745065,0.10935329870532978
LULU,37.31,237.57,0.4,1.1,3.9146356863240315,-4.08,3.0,42.49,-1.8638557995144884,-2.0241099851598947,0.741796905380552,1.2849113344810978,1.3806562722640345,0.1,0.0884528537235322,0.09435924791002392
JHX,60.4,27.9,0.56,2.64,3.7275985663082443,-3.02,4.93,21.09,0.40690508994369784,-1.3652639651659848,5.240796081959565,1.0987173100263807,1.2737130917170756,0.1,0.09289109102922256,0.08705034830319466
MFC,40.94,30.64,0.28,0.78,1.9582245430809397,-3.89,2.46,10.17,-1.5068674050262594,-1.9060149438402318,-0.19306006637612613,-0.6626810162658461,1.2221649104546313,0.1,0.17682379631426495,0.08352735151335816
YPF,34.72,30.9,0.88,0.71,4.5954692556634305,-4.28,2.23,15.54,-2.118566527262289,-2.1484205549700666,-0.3975600289478996,1.9626759528010997,1.2176658777116343,0.1,0.07534827859344481,0.0832198706765416
ARM,51.79,146.88,0.05,1.24,4.139433551198257,-5.29,5.37,13.05,-0.43983597797466445,-2.776188932511434,1.1507968305240983,1.5086958920396554,1.2048984955709885,0.1,0.08364929487589076,0.0823472997109995
BABA,31.8,106.27,0.25,0.95,2.7288980897713375,-2.24,18.23,13.04,-2.4057307454181096,-0.8804527429063151,0.30358269986960884,0.10451861334224216,1.2004288995532462,0.1,0.1268866356868434,0.0820418306908181
