Ticker,Rel Volume,ROE %,ATR/Price %,Price,RSI,Debt/Eq,"Avg Volume, M",Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
DDOG,15.93,6.48,3.6658900918185555,145.94,68.16,0.64,5.42,-4.25,1.1580118885902857,-2.261093863598071,16.085323493235425,1.0182918408844739,3.5013142058113624,0.1,0.07697402228166388,0.23386166458878574
CNC,2.48,12.59,8.006134969325153,32.6,15.27,0.66,7.29,-1.36,-4.084566452549038,-0.8598664353688724,1.6080889260167623,5.314438541930641,1.5207254417815568,0.1,0.03524525962788727,0.10157311292064941
AGI,1.06,7.85,3.486590038314176,26.1,46.22,0.08,3.91,-5.84,-1.0167313294962481,-3.032011376014827,0.0796373954999964,0.8408135291531859,1.348906073113557,0.1,0.08093245908148415,0.09009686108966548
HLN,0.77,8.9,1.3930348258706469,10.05,26.9,0.63,16.54,-0.99,-2.9317741268267787,-0.6804705362530235,-0.2325111565069488,-1.231470540810238,1.3409304548575645,0.1,0.20256371224130085,0.08956414929865417
GFI,1.03,25.72,3.809931506849315,23.36,46.39,0.57,3.59,-5.88,-0.9998805388365073,-3.0514055272705947,0.047346165982036524,1.1608697523763996,1.311332381096253,0.1,0.07406387886566608,0.08758721881153785
AEM,0.88,11.45,3.2460823144480804,116.14,44.93,0.06,3.61,-4.92,-1.1445990939142803,-2.585945897132176,-0.11410998160776273,0.6027494351620104,1.2225938070285058,0.1,0.08692888173347202,0.08166014416902954
BIRK,1.67,9.35,2.937525858502275,48.34,31.99,0.5,2.13,-0.98,-2.4272416300145427,-0.6756219984390817,0.7362257290318465,0.29732800441094015,1.203514615324044,0.1,0.09605985417729858,0.08038579651876487
KGC,1.12,18.12,3.620803159973667,15.19,48.49,0.17,21.2,-5.36,-0.7917237130397103,-2.799281560945618,0.14421985453591615,0.9736630056522582,1.1883295162368224,0.1,0.07793251749477165,0.07937154520033447
AU,0.79,19.42,3.9584254754533394,45.22,47.29,0.33,3.95,-5.65,-0.9106704706378802,-2.9398891575499317,-0.21098367016164224,1.3078549781754392,1.1747136380158618,0.1,0.07128549150655812,0.07846210612734099
PG,1.44,30.29,1.4250427512825385,157.89,39.33,0.65,8.33,-1.63,-1.6996839627057385,-0.9907769563453028,0.488659636060821,-1.1997878254228453,1.159372031422313,0.1,0.19801392298989756,0.07743740127523754
