Ticker,Debt/Eq,RSI,"Avg Volume, M",ATR/Price %,ROE %,Rel Volume,Change %,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
MNST,0.04,33.22,5.57,1.9305019305019304,20.0,1.79,-3.28,59.57,-2.286239283375933,-2.41115060483455,3.0525563590785167,-0.7002200839865559,2.3246197410880285,0.1,0.12670081023264312,0.1343205581904741
BABA,0.25,30.95,16.19,2.879707213714726,13.04,1.51,-3.85,103.83,-2.505847408983398,-2.788417876996904,2.1502364588851335,0.28187500685803085,2.2548526411843293,0.1,0.08493785673257921,0.13028929422211025
CNC,0.66,16.91,7.49,7.615593834995465,12.59,2.9,1.5,33.09,-3.8641285030489496,0.7525995020707996,6.629610249130856,5.181859324068868,1.896771267761637,0.1,0.032117805131137475,0.1095987317590918
PG,0.65,38.4,8.33,1.4283900457084813,30.29,2.02,-0.23,157.52,-1.7851070848531725,-0.3924397625623082,3.7937477056659383,-1.2197300633677175,1.6428639440653776,0.1,0.17123905300597123,0.09492752646700894
CPRT,0.01,31.21,6.44,2.0990764063811924,18.54,1.12,-1.79,47.64,-2.4806940553895913,-1.4249607179540122,0.8934337407586359,-0.525804530122,1.5982463718341884,0.1,0.11652561002863161,0.09234944580234415
CHWY,1.43,33.54,7.37,3.7483953786906286,76.24,1.17,-2.62,38.95,-2.2552813097220175,-1.9743148160149833,1.0545622943645967,1.1806630745034234,1.5732047954305273,0.1,0.06525356426933741,0.09090250011008445
ADBE,0.57,38.0,3.72,2.538968343242809,52.25,1.27,-2.32,373.38,-1.823804551920567,-1.7757530938242707,1.3768194015765194,-0.0706704096800472,1.5422760972940015,0.1,0.0963368288546183,0.08911538631922489
JD,0.37,40.59,12.3,2.6898734177215187,19.81,1.05,-3.36,31.6,-1.5732384526591863,-2.4641003974187403,0.66785376571029,0.08546350091877625,1.5380930005774547,0.1,0.09093221901774978,0.0888736797398648
MDLZ,0.78,45.36,7.37,1.795063575168287,13.27,1.55,-1.97,66.85,-1.1117711578805054,-1.5440977512684397,2.2791393017699026,-0.8403513561545981,1.469417114171571,0.1,0.1362604434371331,0.08490546797893983
RRC,0.46,36.57,2.9,3.069121964238057,6.96,1.09,-2.52,37.47,-1.962147996686503,-1.9081275752847457,0.796756608595059,0.47785294747049584,1.4661624771618993,0.1,0.07969580929019872,0.08471740941085683
