Ticker,ATR/Price %,Change %,"Avg Volume, M",ROE %,Debt/Eq,Price,Rel Volume,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CAG,3.0271934325295025,-4.37,7.18,13.27,0.9,19.49,4.11,25.44,-2.826797826898372,-2.405675926605744,6.463960326950846,0.44057523655328806,3.080100355461281,0.1,0.09343642442659895,0.16020139510758932
PANW,2.7802363721559846,-6.79,4.86,21.16,0.1,192.07,1.89,43.19,-1.2567334906173133,-3.6195337613105822,1.9316610745748464,0.1816556909987748,2.074860183989855,0.1,0.10173600101630866,0.1079170993695055
WDAY,2.5468818142171825,-4.53,2.1,5.7,0.38,229.3,1.98,33.67,-2.0988187008367882,-2.485930990057304,2.1154029361576576,-0.06300245322761339,2.034043224367225,0.1,0.11105742276862471,0.10579413806274111
VRT,4.821073558648112,-5.96,7.62,32.82,1.18,120.72,3.24,52.88,-0.39961104450106166,-3.203210619655617,4.687788998317009,2.3213500819106163,1.9664103739271774,0.1,0.05866953219908019,0.10227643547347731
INFY,1.767955801104972,-3.83,11.38,29.0,0.09,18.1,2.4,42.86,-1.2859234191228204,-2.134815087456731,2.972864956877441,-0.8796592802507667,1.8797973967034076,0.1,0.15998710499801988,0.09777154336466426
FTNT,3.3133732534930136,-6.92,4.73,205.91,0.51,100.2,1.26,42.86,-1.2859234191228204,-3.6847410003649745,0.6454680434951714,0.7406174749840223,1.79476440802136,0.1,0.08536621404939941,0.09334882921741962
DT,2.7277893540443263,-6.05,2.82,20.86,0.03,52.79,1.23,41.67,-1.3911840704002545,-3.2483540928471193,0.5842207563009011,0.1266681637152014,1.728015692025241,0.1,0.103692072103689,0.08987711200364165
ZM,2.1452365089940044,-3.01,2.42,12.19,0.01,75.05,1.49,35.22,-1.96171449118971,-1.7235078872674878,1.1150305786512433,-0.48410327028949607,1.5612442752192175,0.1,0.13185032475318087,0.0812030395536896
CNC,7.472324723247232,-1.72,7.76,12.59,0.66,32.52,1.98,16.51,-3.616694983123153,-1.0764514381892891,2.1154029361576576,5.101026620214967,1.5555791726693897,0.1,0.03785302979449774,0.08090838768291507
ACN,2.4309890414759328,-3.04,3.18,27.27,0.27,288.36,1.63,36.58,-1.8414166040154993,-1.7385557116646555,1.4008512522245042,-0.18450901799572328,1.5516114627325275,0.1,0.1163518738906005,0.08070202016435661
