Ticker,RSI,"Avg Volume, M",Rel Volume,Debt/Eq,Change %,Price,ATR/Price %,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PYPL,43.44,9.42,2.3,0.66,-5.73,71.36,2.7606502242152464,22.2,-1.044445596945474,-3.0460881400391786,2.676323193531542,0.17463554863252082,1.9494878917876846,0.1,0.0982161925724075,0.12856975925596698
EXLS,32.87,2.09,0.87,0.38,-6.31,42.29,2.8139039962165997,23.81,-1.9598485019156093,-3.387512205040958,0.022134956709464092,0.23157484487301416,1.85284575428939,0.1,0.09635742882882406,0.1221961590892361
CNC,15.75,7.91,1.96,0.66,-3.32,31.44,7.442748091603053,12.59,-3.4425067548095276,-1.6274122837386795,2.0452574589025168,5.180766522630038,1.6654465030093717,0.1,0.03643016674882317,0.10983707918762858
CAG,24.84,7.55,2.67,0.93,-0.46,19.4,3.0412371134020617,13.27,-2.6552775773091937,0.05616155402871773,3.3630711988631288,0.4746409642902241,1.53484075149177,0.1,0.0891546906526058,0.10122356068320512
HRL,49.1,2.99,2.79,0.36,-3.27,30.51,2.196001311045559,9.39,-0.5542676932433954,-1.597979174686802,3.5858002816733734,-0.42909092050894065,1.5133555521611377,0.1,0.12347012393972084,0.09980660040499956
ZM,30.09,2.43,1.67,0.01,-2.2,73.4,2.2343324250681196,12.19,-2.2006072602710467,-0.9681106409766219,1.5069955087777596,-0.38810703195916346,1.4492610703881523,0.1,0.12135193089645922,0.0955795353763309
ACN,32.38,3.19,1.59,0.27,-2.53,281.06,2.5154771223226358,27.27,-2.0022843981725025,-1.1623691607190136,1.3585094535709301,-0.08750520411095182,1.3880811567373117,0.1,0.1077889167190001,0.09154468765938695
WDAY,29.19,2.13,1.17,0.38,-2.59,223.37,2.636880512154721,5.7,-2.278550743191872,-1.1976888915812667,0.5789576637350747,0.042300128327725645,1.328245392084841,0.1,0.10282625731304856,0.08759848728098384
XYZ,49.3,9.02,1.41,0.28,-5.26,65.14,3.346638010439055,12.93,-0.5369469192609901,-2.769416914951529,1.0244158293555634,0.8011776863849496,1.2819927392069994,0.1,0.0810187875715345,0.08454810032012881
T,36.28,32.21,1.32,1.38,-2.35,26.97,1.8909899888765296,11.38,-1.6645293055155939,-1.0564099681322545,0.8573690172478804,-0.7552111064977488,1.199323659876098,0.1,0.14338550475757622,0.0790960307421332
