Ticker,ROE %,"Avg Volume, M",RSI,Change %,ATR/Price %,Rel Volume,Debt/Eq,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CNC,12.59,8.1,15.19,-2.54,7.310704960835509,1.78,0.66,30.64,-3.680999174866457,-1.5183386257756988,2.302808610971866,5.173425243956787,1.762987428023449,0.1,0.03632708246281502,0.12139398712886838
DECK,41.82,3.2,34.83,-3.29,3.4356576539947143,1.6,0.11,98.38,-1.8818032543048002,-1.9570638404529677,1.8374289652552849,0.9423453142409839,1.6168547447921775,0.1,0.07730007140402673,0.11133173212619231
HRL,9.39,3.07,42.03,-2.43,2.3177695666778635,2.11,0.36,29.77,-1.222220228436983,-1.453992260956366,3.1560046281189313,-0.27825239086699183,1.5957005359981575,0.1,0.11458282384570359,0.10987511722965744
PG,30.29,8.4,31.42,-2.09,1.5543704474505724,1.37,0.65,153.76,-2.1941891040560852,-1.2551034969693373,1.2427771957285423,-1.1117912965787349,1.5669869791624798,0.1,0.17085797173329717,0.10789798846882323
LULU,42.49,2.81,33.7,-3.22,3.6174581676787976,1.2,0.4,228.89,-1.98532114586461,-1.916116153749756,0.803251974773993,1.140849343676398,1.4120685154521868,0.1,0.07341524619315612,0.09723077117008408
CPRT,18.54,6.36,30.51,-0.7,2.0369191597708465,1.63,0.01,47.13,-2.27755306982549,-0.4419994324341323,1.9149922395413812,-0.5849068458510732,1.3933325082842514,0.1,0.1303815032126556,0.095940666330516
HBAN,10.3,23.93,59.06,-1.84,1.9917984768599886,2.88,0.92,17.07,0.33787684524758993,-1.1088617587435812,5.146795334795417,-0.634173138817918,1.3626211005644722,0.1,0.13333506630261913,0.09382597159464706
CAG,13.27,7.75,24.7,-0.1,2.9927760577915374,1.63,0.93,19.38,-2.8097999281993817,-0.09101926069231715,1.9149922395413812,0.458772525431996,1.3524079114771712,0.1,0.08873920963186253,0.0931227222549745
MU,13.11,21.48,52.2,-4.75,3.5578787623303265,1.49,0.32,118.61,-0.29055920439869126,-2.8111155916913844,1.5530302928729294,1.075795885942011,1.2886126486119112,0.1,0.07464464072958911,0.08872997322225415
DHR,7.22,3.81,47.57,-3.47,2.644753476611884,1.29,0.35,197.75,-0.7147077335331349,-2.062357891975512,1.0359417976322838,0.07877423335498551,1.1712839051189845,0.1,0.10041638448427516,0.0806510704739827
