Ticker,Price,"Avg Volume, M",ROE %,ATR/Price %,RSI,Debt/Eq,Rel Volume,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CPRT,45.9,6.46,18.54,2.178649237472767,25.63,0.01,2.88,-2.61,-2.391025477290875,-0.8340707769466292,3.5390377462098908,-0.4766629142770087,1.8842575296528055,0.1,0.1291139737709836,0.14112562226981787
OXY,42.69,11.35,9.43,3.2560318575778875,44.6,0.75,2.64,-5.28,-0.6877895038682628,-2.166038793399818,3.092680603708202,0.6993080666226631,1.5474452181232023,0.1,0.08639167944520132,0.11589932156265846
CAG,19.0,7.88,13.27,3.052631578947368,22.16,0.93,1.88,-1.96,-2.702582083921157,-0.5098089002819952,1.67921631911952,0.47729518028794543,1.4124505902662126,0.1,0.092148054302783,0.10578860126058247
NEM,57.35,12.44,16.65,3.173496076721883,48.81,0.26,2.31,-5.71,-0.30979143069434617,-2.3805504964241146,2.4789395327683796,0.609219660367246,1.3764856150084126,0.1,0.0886385404937383,0.10309492513972289
DECK,95.32,3.24,41.82,3.5879143936214857,30.72,0.11,2.07,-3.11,-1.9340159303893938,-1.0835029897655784,2.03258239026669,1.0615602731939744,1.356492072788181,0.1,0.07840043814961432,0.10159746471151489
PGR,242.2,3.28,34.34,2.2047894302229563,29.72,0.24,1.59,-2.09,-2.0238016959888987,-0.574661275614922,1.1398681052633128,-0.4481307034025216,1.1822487314542518,0.1,0.12758318624322632,0.08854712547436504
EXLS,41.4,2.12,23.81,2.9468599033816427,32.14,0.38,1.2,-3.79,-1.8065201432380964,-1.4227307991993494,0.41453774869806803,0.36184462563328457,1.176960917029391,0.1,0.09545552544945751,0.08815108295394944
LULU,222.19,2.84,42.49,3.7355416535397636,30.47,0.4,1.68,-2.93,-1.95646237178927,-0.9937073931507568,1.307252033701446,1.2226965031776076,1.1717401741515379,0.1,0.07530208108820864,0.08776006390493254
HBAN,16.56,24.8,10.3,2.1739130434782608,48.43,0.92,2.58,-2.99,-0.34391002162215834,-1.0236392586890308,2.98109131808278,-0.4818325045353953,1.1230437621790117,0.1,0.12939526783148686,0.08411283875986628
BIRK,46.48,2.09,9.35,2.882960413080895,27.45,0.5,0.99,-3.03,-2.227615383899775,-1.0435938357145464,0.023975249009090267,0.29209786632448165,1.1205084900343825,0.1,0.09757125322530026,0.08392295396259014
