Ticker,Price,Change %,Rel Volume,"Avg Volume, M",ROE %,Debt/Eq,ATR/Price %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BIDU,86.32,-7.48,4.61,2.95,9.85,0.38,3.104726598702503,48.06,-0.43871204875478187,-4.858189060866283,8.174672236770883,0.5569071589507842,3.433159119826471,0.1,0.08696206988140082,0.235120556794892
YMM,12.54,-5.86,2.62,6.66,10.3,0.0,3.827751196172249,53.59,0.07611655775745729,-3.837554310168977,3.7161041626706406,1.3637642385773265,1.9233476220204273,0.1,0.0705357891884416,0.13172082854768227
FTI,32.95,-3.54,1.32,4.21,27.24,0.6,2.670713201820941,41.21,-1.0764292195701233,-2.375904543738268,0.8034717524544023,0.07257124126258173,1.361754043522559,0.1,0.10109413891949327,0.09325998526596198
COST,951.37,-1.69,1.42,2.07,32.08,0.31,1.662865131336914,34.1,-1.7383517136572877,-1.210364859299987,1.0275203993941127,-1.0521337185738842,1.342768252271257,0.1,0.16236641586316802,0.09195973973279736
FTV,50.32,-1.62,1.15,4.36,7.7,0.38,2.2257551669316378,33.02,-1.838896902632553,-1.1662633577266466,0.4225890526568938,-0.42397831160677407,1.1787217328177761,0.1,0.12130420068224132,0.08072498257533824
PR,13.1,-3.25,0.96,11.16,14.35,0.44,3.435114503816794,38.83,-1.2980010249045049,-2.193198322934429,-0.003103376528556367,0.9256025272651418,1.1287388437114014,0.1,0.07859809364113428,0.07730189488649783
BBY,66.85,-2.93,1.16,3.68,30.21,1.47,3.440538519072551,40.94,-1.10156551681394,-1.9915914585991592,0.44499391735086485,0.931655440436319,1.0784381808211259,0.1,0.07847418360303425,0.07385704439948879
CF,92.6,-3.44,1.12,2.78,26.14,0.69,2.894168466522679,45.92,-0.6379404787613265,-2.312902398633496,0.355374458574981,0.3219354578264096,1.0716763530205429,0.1,0.09328878210168808,0.07339395933353804
ZTS,151.54,-0.86,1.33,2.96,51.85,1.45,2.3360168932295107,34.07,-1.7411446355732674,-0.6874470549303797,0.8258766171483733,-0.30093207668389443,1.0452756227743407,0.1,0.11557855263013476,0.0715859002897753
CAG,19.04,0.21,1.19,8.05,13.27,0.93,2.9411764705882355,23.06,-2.7661469787377797,-0.01332410230932,0.5122085114327781,0.3743938956335615,1.0378171910896843,0.1,0.0917977734892637,0.07107510817402807
