Ticker,ATR/Price %,RSI,Debt/Eq,ROE %,Price,Rel Volume,"Avg Volume, M",Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
NFLX,2.624789123747147,41.37,0.58,42.55,1209.24,2.96,3.6,-5.1,-1.1206018819799577,-2.88841216035399,3.1458886626611213,0.06440673548185366,2.025891973800921,0.1,0.09942768739394789,0.1419351102136606
CNC,7.04830053667263,14.51,0.66,12.59,27.95,2.54,8.83,-4.08,-3.4658604567671607,-2.3184504459564534,2.466079109668738,5.067643274716652,2.010960310415347,0.1,0.03702689905362179,0.1408889896328438
SLB,3.3913565426170464,39.76,0.64,19.2,33.32,2.27,15.58,-3.89,-1.2611776937970611,-2.212281107000049,2.0290586827450627,0.9314369659611971,1.5283786202318814,0.1,0.0769534872525007,0.10707904997709013
CP,2.231682146542828,37.6,0.47,8.5,77.52,1.9,2.83,-3.41,-1.4497762984709386,-1.9440638296365027,1.4301788384422487,-0.3802190399665351,1.5119017165227078,0.1,0.11694170376155642,0.10592466900604866
CVX,2.2394028259130896,55.15,0.2,10.11,150.04,5.08,9.01,-0.89,0.08258736450431862,-0.5359231234778831,6.577308311098867,-0.37148652375325303,1.5112778302358463,0.1,0.11653852958078482,0.10588095918833298
XOM,2.0599424700751605,41.69,0.14,14.18,107.77,1.96,16.46,-3.48,-1.092661347954198,-1.98317884925202,1.5272944888697322,-0.5744661310961428,1.439449579905737,0.1,0.12669126262610797,0.10084863231261562
ZTS,2.34185733512786,29.75,1.45,51.85,148.6,1.58,2.97,-0.95,-2.135192523790356,-0.5694502831483265,0.9122287028290046,-0.25560479626072724,1.1546312026204124,0.1,0.11144005595742962,0.08089409954697023
CVS,2.340219496449322,32.38,1.06,7.0,61.96,1.02,8.46,-2.12,-1.9055562597661433,-1.2232298967219712,0.00581596550582663,-0.2574572825678475,1.1219840761287903,0.1,0.11151804899793819,0.07860682383993736
PBR,2.414654454621149,40.14,0.94,11.25,12.01,1.25,22.7,-2.36,-1.2279983096414713,-1.3573385354037444,0.37809262547784606,-0.173267220023078,0.9978131428637024,0.1,0.10808035575090685,0.0699073396985163
DHR,2.736122073138648,38.79,0.35,7.22,190.05,1.11,3.82,-2.43,-1.345872437562645,-1.3964535550192618,0.15148944114705176,0.1903304708177027,0.9710789385513074,0.1,0.09538196962520584,0.06803432658398427
