Ticker,"Avg Volume, M",ATR/Price %,ROE %,Debt/Eq,RSI,Rel Volume,Price,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
RRC,2.81,3.342776203966006,6.96,0.46,32.02,2.17,35.3,-7.78,-1.8708662355652907,-3.9775913032218324,2.7206534982463566,0.8619789643505763,2.5048929417897066,0.1,0.09650939206447375,0.15858110600543301
CNC,9.05,6.963179001093693,12.59,0.66,14.11,3.01,27.43,-1.86,-3.42851403208072,-0.896527744815813,4.55697274957372,4.889041623698945,1.936255009458636,0.1,0.04633074910205195,0.12258147076302821
CTRA,7.34,2.901689042875704,9.4,0.32,28.79,1.22,23.09,-5.33,-2.1517820581641094,-2.702488985976098,0.6438638687689817,0.3713469171778189,1.7906329474850866,0.1,0.1111798316378616,0.11336235115065163
AVTR,12.57,4.2139384116693686,12.52,0.67,35.69,1.25,12.34,-7.15,-1.5516832420861386,-3.6497078502157865,0.7094466991735304,1.8309940141845378,1.779276820721926,0.1,0.07655766832257656,0.11264341138600316
SE,4.29,3.986090540279478,11.13,0.46,49.08,1.8,155.29,-7.87,-0.3871436555232354,-4.02443179650841,1.9117985899235899,1.5775532490812185,1.768655801287672,0.1,0.08093376103537513,0.11197101019045115
CAG,8.25,2.8800000000000003,13.27,0.93,22.56,1.72,18.75,-1.68,-2.6936104094924804,-0.8028467582426568,1.7369110421781264,0.3472216638355534,1.536420050759368,0.1,0.11201711779595434,0.09726850472270564
AM,2.57,2.32288037166086,19.71,1.49,37.72,1.02,17.22,-4.23,-1.3751324309791413,-2.129994068029034,0.20664499940532383,-0.2724761371534856,1.2953708882492747,0.1,0.13888330332813603,0.08200803504162531
KMI,13.42,2.250092216894135,8.86,1.06,39.43,1.44,27.11,-2.76,-1.226412289603296,-1.3649326776815929,1.1248046250690054,-0.3534401835674652,1.1672756819202588,0.1,0.14337603447100278,0.0738985150079524
LTH,2.77,3.144436765722184,8.24,1.47,45.01,0.95,28.94,-4.68,-0.7411149861663284,-2.3641965344619233,0.05361839512804343,0.6413611518073116,1.0334465960647656,0.1,0.10259684747651612,0.06542599145351385
LULU,2.93,3.52134760987411,42.49,0.4,35.39,1.02,223.21,-2.86,-1.5777744949590935,-1.416977670222235,0.20664499940532383,1.0606083106018804,0.9834314266343418,0.1,0.0916152947660518,0.062259604278635694
