Ticker,ROE %,ATR/Price %,RSI,Debt/Eq,"Avg Volume, M",Change %,Price,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ONON,15.84,3.5791543756145523,39.51,0.27,4.93,-4.44,50.85,1.17,-1.5278684150077475,-2.548498014068845,1.174871453529408,1.1266436068806056,1.5490381801946282,0.1,0.08667112601792286,0.12446067787456179
MU,13.11,3.77826806398235,37.87,0.32,21.83,-3.93,108.78,1.21,-1.6819983983226097,-2.3111999127081044,1.276621788587368,1.3477077535318056,1.518172991225043,0.1,0.08210358150171157,0.12198075040021229
ELV,12.48,4.586173667868232,21.57,0.69,2.0,1.35,280.19,1.59,-3.213900061756909,0.14553337196780025,2.243249971637986,2.244677541805988,1.2981105815731864,0.1,0.0676401205867727,0.10429938074117762
NFLX,43.55,2.7155086270068614,41.25,0.68,3.65,-2.63,1200.88,1.18,-1.3643402619785645,-1.7063223994356278,1.200309037293898,0.16778883406241812,1.298014855547505,0.1,0.11423618280617051,0.10429168943556691
CVS,7.0,2.314130969965534,29.12,1.06,8.42,-1.15,60.93,0.64,-2.504338248325684,-1.0176926150946546,-0.17332048598855837,-0.27783702906156194,1.225830407905563,0.1,0.13405003604057425,0.0984918806249228
SPOT,24.28,3.7258285764856853,41.38,0.34,2.08,-4.09,677.97,0.72,-1.3521226413499472,-2.385646375880101,0.030180184127361034,1.2894872934052115,1.1853064635154678,0.1,0.08325915526126748,0.09523590046030955
CNC,12.59,6.6115702479338845,16.02,0.66,9.42,1.48,27.83,1.39,-3.735498480901717,0.20602112329504785,1.7344982963481868,4.493355522073291,1.1328811822246425,0.1,0.04691916266388144,0.09102368275603007
ZM,12.19,1.9261424017003186,43.36,0.01,2.71,1.07,75.28,1.92,-1.1660388810063944,0.015252061416805301,3.082690235866153,-0.7085977791489088,1.0901732119444778,0.1,0.1610521317908006,0.08759222251206882
DHR,7.22,2.8787638249457586,38.32,0.35,3.84,0.48,188.97,1.59,-1.6397066346081655,-0.25926927152993406,2.243249971637986,0.3490414205348799,1.078387419422444,0.1,0.10775782898144963,0.08664526862459462
LRCX,53.14,2.6670754138565296,54.03,0.47,10.28,-3.81,97.86,1.17,-0.16325417248835894,-2.255365065329107,1.174871453529408,0.11401630329157347,1.0700893936128373,0.1,0.11631067434944906,0.08597854657055558
